tradingday,A.DCE,AL.SHF,AP.CZC,BU.SHF,C.DCE,CF.CZC,CJ.CZC,CS.DCE,CU.SHF,EB.DCE,EG.DCE,FG.CZC,FU.SHF,HC.SHF,I.DCE,IC.CFE,IF.CFE,IH.CFE,J.DCE,JD.DCE,JM.DCE,L.DCE,LH.DCE,M.DCE,MA.CZC,NI.SHF,OI.CZC,P.DCE,PB.SHF,PF.CZC,PG.DCE,PK.CZC,PP.DCE,RB.SHF,RM.CZC,RU.SHF,SA.CZC,SF.CZC,SM.CZC,SN.SHF,SP.SHF,SR.CZC,SS.SHF,T.CFE,TA.CZC,TF.CFE,TS.CFE,UR.CZC,V.DCE,Y.DCE,ZC.CZC,ZN.SHF
2020-01-02,7777.0,28165.0,15396.0,6358.0,3881.0,28550.0,21860.0,4631.0,98630.0,14594.0,9234.0,2951.0,4433.0,7009.0,1262.5,10728.0,8338.599999999999,6204.6,3717.0,7694.0,2321.5,14675.0,,5644.0,4396.0,221750.0,15283.0,12322.0,30005.0,,,,15155.0,6968.0,4698.0,26125.0,3317.0,11638.0,12706.0,276380.0,,11201.0,28515.0,195.58499999999998,9988.0,199.35,200.555,3425.0,12955.0,13404.0,1107.0,35850.0
2020-01-03,7803.0,27960.0,15336.0,6420.0,3895.0,28475.0,21845.0,4648.0,98010.0,14609.0,9294.0,2976.0,4528.0,6981.0,1274.0,10757.6,8322.8,6175.4,3702.0,7588.0,2330.0,14685.0,,5636.0,4437.0,219820.0,15397.0,12426.0,29595.0,,,,15094.0,6942.0,4710.0,25890.0,3312.0,11646.0,12754.0,276380.0,,11173.0,28075.0,195.605,10038.0,199.25,200.48,3413.0,12945.0,13560.0,1099.8,35720.0
2020-01-06,7813.0,28105.0,15068.0,6642.0,3883.0,28400.0,21715.0,4626.0,97490.0,14732.0,9419.0,2993.0,4742.0,6973.0,1276.5,10826.0,8264.8,6116.6,3709.5,7498.0,2333.0,14865.0,,5576.0,4509.0,215770.0,15399.0,12400.0,29425.0,,,,15189.0,6936.0,4664.0,26175.0,3330.0,11610.0,12568.0,274540.0,,11193.0,27895.0,196.015,10198.0,199.535,200.505,3435.0,13015.0,13544.0,1101.8,35870.0
2020-01-07,7875.0,28100.0,15151.0,6634.0,3902.0,28760.0,21270.0,4637.0,97630.0,14637.0,9377.0,2994.0,4747.0,7005.0,1280.0,10966.2,8326.0,6147.2,3725.5,7522.0,2353.5,14850.0,,5577.0,4524.0,215890.0,15328.0,12288.0,29600.0,,,,15162.0,6974.0,4689.0,26385.0,3313.0,11604.0,12546.0,274370.0,,11353.0,28155.0,195.645,10090.0,199.37,200.5,3453.0,12980.0,13460.0,1102.6,36205.0
2020-01-08,7882.0,28125.0,15162.0,6762.0,3902.0,28715.0,20955.0,4639.0,97500.0,14747.0,9536.0,2997.0,4903.0,7082.0,1302.0,10853.2,8249.2,6091.4,3766.0,7575.0,2378.0,14965.0,,5553.0,4618.0,217220.0,15361.0,12340.0,29755.0,,,,15261.0,7037.0,4699.0,26535.0,3315.0,11560.0,12558.0,275200.0,,11459.0,28225.0,195.775,10122.0,199.45499999999998,200.55,3475.0,13045.0,13576.0,1107.0,36725.0
2020-01-09,7984.0,28115.0,15106.0,6552.0,3893.0,28975.0,20965.0,4630.0,97820.0,14646.0,9491.0,2989.0,4765.0,7063.0,1287.0,10952.8,8329.8,6137.6,3743.0,7448.0,2389.5,14870.0,,5528.0,4540.0,221120.0,15434.0,12344.0,29910.0,,,,15292.0,7008.0,4662.0,26385.0,3308.0,11572.0,12566.0,277010.0,,11450.0,28115.0,196.135,9946.0,199.75,200.645,3450.0,13035.0,13620.0,1109.8,36810.0
2020-01-10,8126.0,28205.0,15037.0,6462.0,3881.0,29000.0,20750.0,4612.0,97730.0,14737.0,9564.0,2991.0,4717.0,7020.0,1272.5,10945.0,8344.8,6147.6,3725.0,7395.0,2394.5,14840.0,,5479.0,4461.0,223080.0,15475.0,12458.0,29945.0,,,,15318.0,6973.0,4633.0,26255.0,3362.0,11552.0,12544.0,276090.0,,11540.0,28205.0,196.565,9856.0,199.945,200.77499999999998,3458.0,13100.0,13634.0,1107.8000000000002,36595.0
2020-01-13,8156.0,28075.0,14932.0,6528.0,3881.0,29150.0,21030.0,4607.0,97680.0,15038.0,9666.0,2967.0,4782.0,6989.0,1269.0,11082.4,8401.2,6173.6,3682.5,7412.0,2399.0,14945.0,,5427.0,4582.0,224730.0,15548.0,12444.0,30040.0,,,,15435.0,6941.0,4580.0,26770.0,3347.0,11550.0,12534.0,276090.0,,11725.0,28165.0,196.495,9850.0,199.9,200.75,3477.0,13055.0,13594.0,1102.2,36540.0
2020-01-14,8150.0,27960.0,14911.0,6492.0,3895.0,28880.0,21045.0,4625.0,98220.0,15008.0,9608.0,2963.0,4729.0,6985.0,1283.5,11099.0,8407.4,6176.0,3675.5,7426.0,2399.5,14915.0,,5412.0,4632.0,221990.0,15493.0,12212.0,29720.0,,,,15414.0,6938.0,4551.0,26800.0,3349.0,11528.0,12396.0,276090.0,,11755.0,28115.0,196.37,9818.0,199.78,200.655,3488.0,12985.0,13450.0,1104.8,36360.0
2020-01-15,8149.0,27975.0,14956.0,6340.0,3896.0,28530.0,21120.0,4628.0,98560.0,15009.0,9534.0,2986.0,4627.0,7016.0,1285.5,11062.6,8349.4,6127.200000000001,3674.5,7449.0,2395.0,14795.0,,5442.0,4605.0,218180.0,15500.0,12082.0,30015.0,,,,15228.0,6958.0,4556.0,26625.0,3381.0,11530.0,12416.0,280700.0,,11724.0,28065.0,196.59,9764.0,199.96,200.695,3475.0,12925.0,13334.0,1100.0,36345.0
2020-01-16,8105.0,28315.0,15040.0,6258.0,3919.0,28415.0,21145.0,4647.0,98370.0,14962.0,9472.0,2984.0,4572.0,7019.0,1281.0,11059.0,8313.8,6094.8,3678.5,7566.0,2417.5,14705.0,,5452.0,4577.0,221930.0,15367.0,11952.0,30435.0,,,,15158.0,6962.0,4565.0,26545.0,3371.0,11528.0,12426.0,280700.0,9494.0,11745.0,28105.0,196.47,9802.0,199.88,200.70499999999998,3476.0,12920.0,13148.0,1098.0,36440.0
2020-01-17,8069.0,28685.0,15148.0,6236.0,3932.0,28410.0,21160.0,4664.0,98450.0,14947.0,9462.0,2985.0,4568.0,7071.0,1284.5,11032.130000000001,8322.27,6109.38,3695.5,7643.0,2419.0,14650.0,,5441.0,4545.0,218900.0,15373.0,11930.0,30515.0,,,,15108.0,7013.0,4554.0,26560.0,3383.0,11532.0,12536.0,282710.0,9480.0,11711.0,28040.0,196.725,9808.0,200.125,200.805,3467.0,12930.0,13102.0,1097.8000000000002,36700.0
2020-01-20,8074.0,28580.0,15108.0,6268.0,3928.0,28555.0,21195.0,4656.0,98060.0,15031.0,9425.0,2977.0,4634.0,7108.0,1292.0,11159.2,8398.2,6148.200000000001,3716.0,7693.0,2422.0,14585.0,,5451.0,4564.0,216330.0,15362.0,11900.0,30645.0,,,,15069.0,7044.0,4574.0,26150.0,3359.0,11572.0,12722.0,282710.0,9530.0,11538.0,28010.0,197.25,9838.0,200.45,201.0,3466.0,12930.0,13076.0,1097.0,36745.0
2020-01-21,8049.0,28380.0,15099.0,6242.0,3916.0,28215.0,21135.0,4639.0,97120.0,14945.0,9313.0,2967.0,4613.0,7027.0,1288.0,11028.400000000001,8260.4,6051.2,3688.5,7682.0,2414.5,14540.0,,5472.0,4563.0,216880.0,15213.0,11782.0,30540.0,,,,14993.0,6991.0,4602.0,25700.0,3353.0,11630.0,12744.0,282080.0,9496.0,11410.0,28000.0,197.78,9754.0,200.62,201.065,3445.0,12915.0,12946.0,1093.2,36525.0
2020-01-22,8020.0,28315.0,14982.0,6220.0,3886.0,27530.0,21205.0,4605.0,96810.0,14764.0,9251.0,2965.0,4622.0,6941.0,1283.0,11144.6,8284.6,6047.6,3644.0,7506.0,2405.5,14435.0,,5440.0,4462.0,215400.0,15050.0,11708.0,30285.0,,,,14771.0,6921.0,4575.0,24960.0,3312.0,11638.0,12762.0,280300.0,9328.0,11363.0,27970.0,197.79000000000002,9686.0,200.58499999999998,201.01999999999998,3409.0,12895.0,12842.0,1088.4,36550.0
2020-01-23,8041.0,28310.0,15039.0,6106.0,3881.0,27440.0,21280.0,4596.0,96170.0,14661.0,9257.0,2949.0,4561.0,6912.0,1271.0,10651.4,7981.2,5853.6,3649.5,7492.0,2404.5,14375.0,,5408.0,4442.0,213080.0,15049.0,11912.0,30005.0,,,,14721.0,6886.0,4533.0,24730.0,3277.0,11634.0,12744.0,280320.0,9258.0,11329.0,27815.0,198.69,9628.0,200.985,201.15499999999997,3402.0,12855.0,12902.0,1089.0,36290.0
2020-02-03,7857.0,27305.0,14297.0,5664.0,3882.0,25780.0,20390.0,4571.0,90140.0,13789.0,8776.0,2812.0,4144.0,6447.0,1178.5,9586.4,7227.6,5336.0,3496.0,7102.0,2338.5,13565.0,,5226.0,4171.0,203570.0,14253.0,11122.0,28525.0,,,,13867.0,6455.0,4350.0,22500.0,3089.0,11688.0,12914.0,273080.0,8882.0,10932.0,26195.0,201.505,8958.0,202.465,201.66,3290.0,12325.0,12080.0,1108.6,34715.0
2020-02-04,7948.0,27180.0,14390.0,5718.0,3911.0,25585.0,20480.0,4587.0,90270.0,13375.0,8737.0,2791.0,4081.0,6519.0,1154.0,9898.8,7530.799999999999,5554.0,3506.0,7118.0,2339.0,13575.0,,5351.0,4117.0,207070.0,14390.0,11106.0,28550.0,,,,13875.0,6545.0,4474.0,22060.0,3137.0,11950.0,13106.0,272490.0,9036.0,11284.0,26205.0,201.175,8750.0,202.29000000000002,201.675,3354.0,12400.0,12092.0,1116.0,34640.0
2020-02-05,7951.0,27265.0,14615.0,5778.0,3887.0,26240.0,20625.0,4580.0,90940.0,13795.0,8868.0,2791.0,4194.0,6557.0,1153.5,10086.8,7593.6,5581.4,3525.5,7435.0,2359.5,13810.0,,5368.0,4187.0,209900.0,14567.0,11250.0,28415.0,,,,13977.0,6592.0,4503.0,22745.0,3158.0,11966.0,13106.0,272490.0,9086.0,11322.0,26890.0,201.255,8922.0,202.32,201.76999999999998,3383.0,12490.0,12242.0,1121.0,34640.0
2020-02-06,7974.0,27345.0,14664.0,5890.0,3897.0,26520.0,20630.0,4590.0,92010.0,13893.0,8877.0,2823.0,4288.0,6576.0,1161.5,10440.400000000001,7778.6,5692.200000000001,3560.5,7483.0,2405.5,13800.0,,5350.0,4207.0,210600.0,14923.0,11532.0,28355.0,,,,13942.0,6607.0,4497.0,22840.0,3178.0,11798.0,12940.0,271060.0,9110.0,11470.0,26890.0,201.26999999999998,8946.0,202.41,201.79000000000002,3387.0,12500.0,12452.0,1121.4,34730.0
2020-02-07,7991.0,27420.0,14822.0,5928.0,3926.0,26660.0,20720.0,4610.0,91570.0,13902.0,8885.0,2844.0,4308.0,6599.0,1167.0,10509.2,7762.4,5666.200000000001,3571.5,7552.0,2426.5,13795.0,,5360.0,4241.0,209980.0,15136.0,11546.0,28270.0,,,,13908.0,6646.0,4502.0,22890.0,3193.0,11752.0,12930.0,271060.0,9104.0,11501.0,26805.0,201.765,8960.0,202.695,201.92000000000002,3391.0,12525.0,12438.0,1120.2,34645.0
2020-02-10,8176.0,27410.0,14813.0,5950.0,3902.0,26585.0,20760.0,4600.0,91090.0,13908.0,8908.0,2850.0,4300.0,6606.0,1159.5,10593.2,7786.2,5666.2,3589.5,7649.0,2412.5,13805.0,,5389.0,4272.0,208910.0,15201.0,11516.0,27990.0,,,,13859.0,6665.0,4536.0,23015.0,3186.0,11746.0,12950.0,269010.0,9064.0,11563.0,26805.0,201.71,8972.0,202.74,201.98,3415.0,12545.0,12444.0,1121.4,34320.0
2020-02-11,8238.0,27525.0,14755.0,6024.0,3891.0,26710.0,20880.0,4593.0,91350.0,13892.0,8923.0,2871.0,4309.0,6736.0,1195.5,10616.400000000001,7877.799999999999,5740.4,3672.0,7655.0,2453.5,13805.0,,5391.0,4264.0,211740.0,15220.0,11388.0,28140.0,,,,13856.0,6817.0,4526.0,23225.0,3195.0,11790.0,13028.0,269010.0,9100.0,11481.0,26620.0,201.065,9004.0,202.48000000000002,201.84500000000003,3434.0,12610.0,12362.0,1125.2,34245.0
2020-02-12,8221.0,27530.0,14757.0,6066.0,3895.0,26515.0,21015.0,4608.0,91390.0,13755.0,8917.0,2870.0,4382.0,6762.0,1216.5,10791.2,7923.0,5758.6,3721.5,7567.0,2486.5,13790.0,,5385.0,4233.0,210120.0,15082.0,11166.0,28330.0,,,,13872.0,6838.0,4529.0,23205.0,3203.0,11768.0,12902.0,269010.0,9142.0,11547.0,26620.0,201.04500000000002,9018.0,202.59,201.88,3447.0,12675.0,12200.0,1120.8,34160.0
2020-02-13,8297.0,27455.0,14782.0,6102.0,3896.0,26590.0,21015.0,4598.0,91590.0,13734.0,8942.0,2855.0,4446.0,6770.0,1227.0,10750.400000000001,7901.8,5737.2,3742.5,7527.0,2486.0,13755.0,,5420.0,4225.0,211030.0,15015.0,11126.0,28330.0,,,,13831.0,6832.0,4578.0,23225.0,3203.0,11700.0,12776.0,269010.0,9126.0,11550.0,27000.0,201.18,9022.0,202.64499999999998,201.995,3435.0,12640.0,12138.0,1117.6,34195.0
2020-02-14,8222.0,27425.0,14686.0,6028.0,3885.0,26435.0,20970.0,4583.0,91920.0,13747.0,8925.0,2850.0,4449.0,6767.0,1229.0,10739.0,7938.8,5763.4,3737.0,7564.0,2487.5,13740.0,,5422.0,4217.0,210900.0,15006.0,10986.0,28650.0,,,,13801.0,6825.0,4603.0,23095.0,3200.0,11656.0,12624.0,269010.0,9124.0,11382.0,27105.0,200.53,9048.0,202.345,201.91,3434.0,12680.0,11990.0,1113.8000000000002,34340.0
2020-02-17,8239.0,27325.0,14631.0,6078.0,3899.0,27150.0,21155.0,4592.0,92290.0,13866.0,8992.0,2849.0,4512.0,6825.0,1245.0,11133.0,8148.799999999999,5887.799999999999,3724.5,7649.0,2488.5,13825.0,,5439.0,4265.0,209680.0,15165.0,11066.0,28710.0,,,,13919.0,6893.0,4648.0,23460.0,3214.0,11562.0,12522.0,275320.0,9164.0,11539.0,27105.0,200.10500000000002,9100.0,202.11,201.84,3462.0,12690.0,12020.0,1101.2,34340.0
2020-02-18,8233.0,27395.0,14753.0,6080.0,3881.0,26965.0,21215.0,4574.0,92450.0,13938.0,8997.0,2849.0,4504.0,6844.0,1263.0,11206.599999999999,8094.200000000001,5835.6,3699.5,7680.0,2474.5,13965.0,,5407.0,4260.0,208530.0,15250.0,11060.0,28830.0,,,,14074.0,6890.0,4618.0,23575.0,3222.0,11546.0,12536.0,273700.0,9188.0,11519.0,27065.0,200.715,9082.0,202.365,201.95999999999998,3471.0,12690.0,11968.0,1098.8,34345.0
2020-02-19,8267.0,27400.0,14833.0,6258.0,3867.0,27010.0,21210.0,4565.0,92600.0,13930.0,8997.0,2857.0,4552.0,6800.0,1267.0,11183.0,8101.0,5840.200000000001,3689.5,7771.0,2490.5,14005.0,,5404.0,4265.0,208130.0,15164.0,10952.0,29005.0,,,,14175.0,6838.0,4622.0,23560.0,3228.0,11526.0,12468.0,273700.0,9198.0,11564.0,26785.0,200.79500000000002,9076.0,202.385,201.97,3470.0,12655.0,11904.0,1097.0,34285.0
2020-02-20,8214.0,27340.0,15154.0,6312.0,3863.0,27100.0,21320.0,4556.0,92610.0,13968.0,9032.0,2879.0,4662.0,6862.0,1295.0,11363.0,8270.2,5938.4,3707.5,7808.0,2489.5,14145.0,,5418.0,4306.0,207440.0,14914.0,10850.0,28955.0,,,,14321.0,6920.0,4626.0,23605.0,3218.0,11572.0,12524.0,273700.0,9262.0,11557.0,26785.0,200.23000000000002,9124.0,202.075,201.895,3461.0,12675.0,11898.0,1098.4,34260.0
2020-02-21,8169.0,27210.0,15256.0,6276.0,3866.0,27060.0,21290.0,4558.0,92260.0,14018.0,9091.0,2899.0,4633.0,6903.0,1313.5,11534.79,8308.14,5939.42,3725.0,7873.0,2478.5,14155.0,,5421.0,4287.0,205830.0,14858.0,10980.0,29085.0,,,,14339.0,6969.0,4630.0,23795.0,3214.0,11612.0,12562.0,273700.0,9360.0,11623.0,26770.0,200.92000000000002,9176.0,202.38,201.91000000000003,3504.0,12730.0,12012.0,1098.8,34120.0
2020-02-24,8198.0,26980.0,15198.0,6202.0,3875.0,26470.0,21120.0,4564.0,91600.0,13967.0,9035.0,2895.0,4468.0,6921.0,1319.5,11615.2,8263.599999999999,5856.6,3723.5,7895.0,2491.0,14020.0,,5355.0,4218.0,203530.0,14842.0,10868.0,28970.0,,,,14247.0,6965.0,4561.0,23185.0,3217.0,11554.0,12344.0,273700.0,9300.0,11639.0,26930.0,201.41000000000003,9094.0,202.685,202.075,3538.0,12710.0,11944.0,1101.0,33495.0
2020-02-25,8193.0,26955.0,15286.0,6210.0,3877.0,26250.0,21180.0,4561.0,91560.0,13862.0,8974.0,2905.0,4436.0,6902.0,1302.0,11637.8,8218.0,5810.8,3703.0,7843.0,2494.5,13950.0,,5334.0,4237.0,204130.0,14792.0,10630.0,29020.0,,,,14228.0,6950.0,4531.0,23090.0,3280.0,11482.0,12196.0,273700.0,9314.0,11611.0,26930.0,201.34,9024.0,202.635,202.09500000000003,3540.0,12720.0,11766.0,1095.0,32990.0
2020-02-26,8244.0,26975.0,15360.0,6124.0,3876.0,26205.0,21125.0,4557.0,91180.0,13810.0,9007.0,2895.0,4359.0,6900.0,1287.5,11407.2,8158.6,5817.200000000001,3708.0,7893.0,2494.0,13965.0,,5356.0,4278.0,202890.0,14865.0,10480.0,29040.0,,,,14240.0,6962.0,4564.0,23105.0,3246.0,11502.0,12246.0,273700.0,9264.0,11577.0,27940.0,201.23,8966.0,202.64499999999998,202.04000000000002,3527.0,12730.0,11700.0,1089.8,32840.0
2020-02-27,8250.0,26855.0,14891.0,5864.0,3887.0,25845.0,20880.0,4558.0,90880.0,13600.0,8896.0,2882.0,4162.0,6848.0,1253.5,11389.2,8156.8,5816.0,3644.5,7783.0,2486.0,13895.0,,5393.0,4214.0,201770.0,14907.0,10476.0,28975.0,,,,14140.0,6898.0,4601.0,22900.0,3218.0,11490.0,12138.0,273700.0,9200.0,11497.0,26530.0,201.76,8806.0,203.07,202.165,3474.0,12680.0,11716.0,1089.8,32920.0
2020-02-28,8245.0,26445.0,14652.0,5658.0,3894.0,24965.0,20900.0,4560.0,89480.0,13350.0,8781.0,2849.0,4041.0,6734.0,1219.0,10800.2,7871.0,5648.6,3587.5,7555.0,2443.0,13715.0,,5366.0,4145.0,198230.0,14705.0,10238.0,28770.0,,,,13928.0,6770.0,4600.0,21880.0,3199.0,11488.0,12130.0,273700.0,9100.0,11366.0,26530.0,202.3,8654.0,203.37,202.305,3461.0,12580.0,11516.0,1086.4,31985.0
2020-03-02,8181.0,26490.0,14723.0,5788.0,3921.0,25190.0,21205.0,4581.0,90170.0,13389.0,8825.0,2871.0,4156.0,6831.0,1259.5,11217.8,8146.8,5826.8,3650.0,7756.0,2472.5,13785.0,,5459.0,4140.0,202160.0,14607.0,10144.0,29135.0,,,,13984.0,6846.0,4672.0,22130.0,3230.0,11498.0,12196.0,270780.0,9158.0,11463.0,26120.0,201.31,8682.0,202.495,201.78,3482.0,12625.0,11428.0,1090.1999999999998,32225.0
2020-03-03,8220.0,26650.0,14780.0,5948.0,3931.0,25645.0,21150.0,4600.0,91420.0,13384.0,8876.0,2874.0,4264.0,6906.0,1286.5,11217.400000000001,8150.799999999999,5837.0,3669.5,7832.0,2493.5,14010.0,,5518.0,4197.0,206100.0,14617.0,10158.0,29300.0,,,,14266.0,6927.0,4753.0,22495.0,3229.0,11538.0,12204.0,272260.0,9176.0,11422.0,26440.0,201.245,8820.0,202.425,201.75,3486.0,12690.0,11474.0,1090.6,32420.0
2020-03-04,8265.0,26400.0,14748.0,5906.0,3921.0,25405.0,21110.0,4589.0,90690.0,13352.0,8844.0,2857.0,4230.0,6905.0,1281.5,11195.0,8174.799999999999,5877.200000000001,3654.5,7794.0,2490.0,13990.0,,5510.0,4161.0,204780.0,14522.0,10196.0,29000.0,,,,14286.0,6956.0,4766.0,22280.0,3218.0,11340.0,12178.0,272370.0,9164.0,11392.0,26480.0,202.0,8810.0,203.005,201.98000000000002,3529.0,12645.0,11516.0,1087.2,31880.0
