,tickers,normalize_method,normed_method,outlier_method,period,mean,median,range,IQR,IC,IC_2sigma,count_2sigma,normal_test_p_value
0,A.DCE,None,minmax,None,20,0.48169625470869576,0.4624294624294625,1.0,0.7472373475712206,-0.011731809464302249,,0,3.416235113301045e-35
1,A.DCE,None,ts_zscore,None,20,-0.03380399677906754,-0.14542995090018554,7.5481696891957,2.132134873017208,-0.011697795313269687,0.03691359300301809,49,6.173557707932079e-15
0,A.DCE,None,minmax,None,40,0.48761549983518354,0.48287617707967023,1.0,0.6512753952945796,-0.020944059336816905,,0,5.682587015886351e-31
1,A.DCE,None,ts_zscore,None,40,0.006515845343038402,-0.05588827755954334,9.987335880611662,2.071638330040966,-0.020510301158571047,-0.2049296625037789,46,5.773604250941533e-12
0,A.DCE,None,minmax,None,60,0.4767718457258417,0.4560669456066946,1.0,0.605814328263205,-0.03381158438523385,,0,2.524362720797637e-29
1,A.DCE,None,ts_zscore,None,60,-0.009576888444900246,-0.05305035190924659,9.9460029905569,2.053287381484265,-0.02732224162207293,-0.13106874391682094,55,2.648253361395292e-12
0,A.DCE,None,minmax,None,90,0.47482471683819044,0.4360113862030456,1.0,0.5355614154246291,-0.03642210480511022,,0,3.998076798301142e-26
1,A.DCE,None,ts_zscore,None,90,0.009866050115664661,-0.12699665621866169,9.432224960648284,1.9331471695148674,-0.0345459739183489,-0.22127480699200952,54,2.483369846567607e-12
0,A.DCE,None,minmax,None,180,0.48230646783846987,0.4648956356736243,1.0,0.47895206233215826,-0.02592696903667348,,0,8.151634841761253e-23
1,A.DCE,None,ts_zscore,None,180,0.04982054205562645,-0.07305288524832299,8.984971505297619,1.921138506617299,-0.023575229864299198,-0.28010463892465404,59,1.3184037195301812e-11
0,A.DCE,None,minmax,None,256,0.4958344131650283,0.46153035827979394,1.0,0.48998820685963246,-0.014761585497010038,,0,9.438966855571835e-24
1,A.DCE,None,ts_zscore,None,256,0.0845128941221916,-0.07740418089210671,9.209932833457032,2.0242045618775277,-0.014681598598837031,-0.171063026946056,63,3.066802047773168e-14
0,A.DCE,None,minmax,None,512,0.5188641022504072,0.4804549147034931,1.0,0.5581878585413499,-0.009864488333662038,,0,8.086942280848088e-28
1,A.DCE,None,ts_zscore,None,512,0.09827745339686994,-0.1713450756126748,7.914349494993697,2.223559755982212,-0.003527802952846329,-0.019291587678026707,41,8.847207435282882e-19
