Fut_code,Trade_DT,amount,close,high,low,open,position,position_range,twap,t_vwap,volume
A.DCE,1/2/2018 12:00,2186897480,3633,3664,3583,3583,231302,3878,3638.444444,36383.43099,60174
A.DCE,1/2/2018 16:00,1166450560,3639,3647,3627,3633,233118,3016,3638.344444,36383.1176,32068
AL.SHF,1/2/2018 12:00,14459144700,15075,15370,15010,15255,301488,7912,15168.25926,75844.28162,190316
AL.SHF,1/2/2018 16:00,4542876250,15075,15120,15045,15070,296254,5274,15080.83333,75405.77521,60236
AP.CZC,1/2/2018 12:00,971478060,8100,8106,8088,8088,13528,614,8097.348148,80978.91487,11998
AP.CZC,1/2/2018 16:00,358699420,8101,8103,8094,8102,12360,1204,8099.944444,81007.89815,4428
BU.SHF,1/2/2018 12:00,7233640,2632,2636,2588,2588,272,56,2618.228571,26183.43916,276
BU.SHF,1/2/2018 16:00,7310520,2646,2662,2628,2628,244,36,2647.692308,26476.26713,276
C.DCE,1/2/2018 12:00,5166535760,1830,1834,1815,1818,1002474,25234,1828.822222,18287.52673,282798
C.DCE,1/2/2018 16:00,1644777080,1829,1834,1828,1830,999692,9064,1830,18299.84822,89872
CF.CZC,1/2/2018 12:00,3643200000,15035,15045,14910,14910,289678,3618,15006.11111,74982.32274,48576
CF.CZC,1/2/2018 16:00,1580580200,15040,15045,15005,15035,287494,2176,15026.16667,75050.07781,21028
CS.DCE,1/2/2018 12:00,2966194340,2145,2151,2120,2122,354020,32056,2141.592593,21415.66326,138662
CS.DCE,1/2/2018 16:00,1151850980,2139,2145,2136,2144,345946,7986,2140.4,21403.6507,53824
CU.SHF,1/2/2018 12:00,24729714600,55040,55600,54850,55400,160564,4506,55103.55556,275524.4796,89690
CU.SHF,1/2/2018 16:00,11309061000,55250,55330,54940,55010,157116,3610,55106.33333,275530.7687,41026
FG.CZC,1/2/2018 12:00,4845723600,1469,1487,1456,1487,388064,39854,1463.407407,29324.41921,165122
FG.CZC,1/2/2018 16:00,2387452120,1462,1469,1460,1469,390406,3018,1463.966667,29451.56919,81300
FU.SHF,1/2/2018 12:00,0,,,,,0,0,,,0
FU.SHF,1/2/2018 16:00,0,,,,,0,0,,,0
HC.SHF,1/2/2018 12:00,13746496520,3920,3922,3842,3850,628906,15166,3870.244444,38702.59571,354886
HC.SHF,1/2/2018 16:00,8477788840,3927,3940,3918,3924,635242,13080,3926.755556,39268.62586,215864
IC.CFE,1/2/2018 12:00,6453481720,6321.2,6334.2,6267.8,6293,17877,945,6302.24,1260428.706,5124
IC.CFE,1/2/2018 16:00,4763928640,6345,6354.8,6320.4,6321.8,18840,958,6339.246667,1267843.092,3756
I.DCE,1/2/2018 12:00,75701589500,543.5,544.5,531,531.5,1703906,114842,539.0222222,53906.36093,1405520
I.DCE,1/2/2018 16:00,34351043900,543.5,546.5,542,543.5,1799524,95174,543.7444444,54376.91831,631456
IF.CFE,1/2/2018 12:00,11421676080,4086.8,4095.2,4051.6,4051.6,23080,1620,4080.063333,1223971.259,9340
IF.CFE,1/2/2018 16:00,6080051880,4104,4105,4082.6,4088.4,24471,1369,4092.593333,1227756.16,4950
IH.CFE,1/2/2018 12:00,5910896280,2908.8,2916.2,2873.2,2873.2,12996,1040,2903.81,871105.7718,6794
IH.CFE,1/2/2018 16:00,2761392480,2918.4,2920,2904.4,2910,14161,1156,2911.695,873493.9097,3160
J.DCE,1/2/2018 12:00,36562847600,2011,2014,1965,1965,241486,59358,1996.685185,199669.1078,183098
J.DCE,1/2/2018 16:00,28537684300,2014.5,2034.5,2004,2012,256096,16748,2014.861111,201493.9276,141456
JD.DCE,1/2/2018 12:00,2873743600,3851,3856,3820,3820,187802,8274,3842.874074,38429.80248,74802
JD.DCE,1/2/2018 16:00,1088595840,3848,3854,3836,3851,185916,2240,3843.5,38434.69266,28312
JM.DCE,1/2/2018 12:00,13697539140,1329,1330.5,1308,1314,234626,38998,1317.133333,79029.62647,173142
JM.DCE,1/2/2018 16:00,11347884000,1338,1341.5,1323.5,1330.5,249922,15308,1332.416667,79950.06199,141690
L.DCE,1/2/2018 12:00,27494848600,10085,10095,9810,9810,568974,94896,10015.92593,50080.38966,550858
L.DCE,1/2/2018 16:00,13266643350,9955,10085,9945,10085,576250,30786,10012.33333,50061.37972,265234
