Trade_DT,IC.CFE,IH.CFE,IF.CFE
2018-01-02 12:00:00,,,
2018-01-02 16:00:00,,,
2018-01-03 12:00:00,,,
2018-01-03 16:00:00,,,
2018-01-04 12:00:00,,,
2018-01-04 16:00:00,,,
2018-01-05 12:00:00,,,
2018-01-05 16:00:00,,,
2018-01-08 12:00:00,,,
2018-01-08 16:00:00,,,
2018-01-09 12:00:00,,,
2018-01-09 16:00:00,,,
2018-01-10 12:00:00,,,
2018-01-10 16:00:00,,,
2018-01-11 12:00:00,,,
2018-01-11 16:00:00,,,
2018-01-12 12:00:00,,,
2018-01-12 16:00:00,,,
2018-01-15 12:00:00,,,
2018-01-15 16:00:00,,,
2018-01-16 12:00:00,,,
2018-01-16 16:00:00,,,
2018-01-17 12:00:00,,,
2018-01-17 16:00:00,,,
2018-01-18 12:00:00,,,
2018-01-18 16:00:00,,,
2018-01-19 12:00:00,,,
2018-01-19 16:00:00,,,
2018-01-22 12:00:00,,,
2018-01-22 16:00:00,,,
2018-01-23 12:00:00,,,
2018-01-23 16:00:00,,,
2018-01-24 12:00:00,,,
2018-01-24 16:00:00,,,
2018-01-25 12:00:00,,,
2018-01-25 16:00:00,,,
2018-01-26 12:00:00,,,
2018-01-26 16:00:00,,,
2018-01-29 12:00:00,,,
2018-01-29 16:00:00,,,
2018-01-30 12:00:00,,,
2018-01-30 16:00:00,,,
2018-01-31 12:00:00,,,
2018-01-31 16:00:00,,,
2018-02-01 12:00:00,,,
2018-02-01 16:00:00,,,
2018-02-02 12:00:00,,,
2018-02-02 16:00:00,,,
2018-02-05 12:00:00,,,
2018-02-05 16:00:00,,,
2018-02-06 12:00:00,,,
2018-02-06 16:00:00,,,
2018-02-07 12:00:00,,,
2018-02-07 16:00:00,,,
2018-02-08 12:00:00,,,
2018-02-08 16:00:00,,,
2018-02-09 12:00:00,,,
2018-02-09 16:00:00,,,
2018-02-12 12:00:00,,,
2018-02-12 16:00:00,,,
2018-02-13 12:00:00,,,
2018-02-13 16:00:00,,,
2018-02-14 12:00:00,,,
2018-02-14 16:00:00,,,
2018-02-22 12:00:00,,,
2018-02-22 16:00:00,,,
2018-02-23 12:00:00,,,
2018-02-23 16:00:00,,,
2018-02-26 12:00:00,,,
2018-02-26 16:00:00,,,
2018-02-27 12:00:00,,,
2018-02-27 16:00:00,,,
2018-02-28 12:00:00,,,
2018-02-28 16:00:00,,,
2018-03-01 12:00:00,,,
2018-03-01 16:00:00,,,
2018-03-02 12:00:00,,,
2018-03-02 16:00:00,,,
2018-03-05 12:00:00,,,
2018-03-05 16:00:00,,,
2018-03-06 12:00:00,,,
2018-03-06 16:00:00,,,
2018-03-07 12:00:00,,,
2018-03-07 16:00:00,,,
2018-03-08 12:00:00,,,
2018-03-08 16:00:00,,,
2018-03-09 12:00:00,,,
2018-03-09 16:00:00,,,
2018-03-12 12:00:00,,,
2018-03-12 16:00:00,,,
2018-03-13 12:00:00,,,
2018-03-13 16:00:00,,,
2018-03-14 12:00:00,,,
2018-03-14 16:00:00,,,
2018-03-15 12:00:00,,,
2018-03-15 16:00:00,,,
2018-03-16 12:00:00,,,
2018-03-16 16:00:00,,,
2018-03-19 12:00:00,,,
2018-03-19 16:00:00,,,
2018-03-20 12:00:00,,,
2018-03-20 16:00:00,,,
2018-03-21 12:00:00,,,
2018-03-21 16:00:00,,,
2018-03-22 12:00:00,,,
2018-03-22 16:00:00,,,
2018-03-23 12:00:00,,,
2018-03-23 16:00:00,,,
2018-03-26 12:00:00,,,
2018-03-26 16:00:00,,,
2018-03-27 12:00:00,,,
2018-03-27 16:00:00,,,
2018-03-28 12:00:00,,,
2018-03-28 16:00:00,,,
2018-03-29 12:00:00,,,
2018-03-29 16:00:00,,,
2018-03-30 12:00:00,,,
2018-03-30 16:00:00,,,
2018-04-02 12:00:00,,,
2018-04-02 16:00:00,,,
2018-04-03 12:00:00,,,
2018-04-03 16:00:00,,,
2018-04-04 12:00:00,,,
2018-04-04 16:00:00,,,
2018-04-09 12:00:00,,,
2018-04-09 16:00:00,,,
2018-04-10 12:00:00,,,
2018-04-10 16:00:00,,,
2018-04-11 12:00:00,,,
2018-04-11 16:00:00,,,
2018-04-12 12:00:00,,,
2018-04-12 16:00:00,,,
2018-04-13 12:00:00,,,
2018-04-13 16:00:00,,,
2018-04-16 12:00:00,,,
2018-04-16 16:00:00,,,
2018-04-17 12:00:00,,,
2018-04-17 16:00:00,,,
2018-04-18 12:00:00,,,
2018-04-18 16:00:00,,,
2018-04-19 12:00:00,,,
2018-04-19 16:00:00,,,
2018-04-20 12:00:00,,,
2018-04-20 16:00:00,,,
2018-04-23 12:00:00,,,
2018-04-23 16:00:00,,,
2018-04-24 12:00:00,,,
2018-04-24 16:00:00,,,
2018-04-25 12:00:00,,,
2018-04-25 16:00:00,,,
2018-04-26 12:00:00,,,
2018-04-26 16:00:00,,,
2018-04-27 12:00:00,,,
2018-04-27 16:00:00,,,
2018-05-02 12:00:00,,,
2018-05-02 16:00:00,,,
2018-05-03 12:00:00,,,
2018-05-03 16:00:00,,,
2018-05-04 12:00:00,,,
2018-05-04 16:00:00,,,
2018-05-07 12:00:00,,,
2018-05-07 16:00:00,,,
2018-05-08 12:00:00,,,
2018-05-08 16:00:00,,,
2018-05-09 12:00:00,,,
2018-05-09 16:00:00,,,
2018-05-10 12:00:00,,,
2018-05-10 16:00:00,,,
2018-05-11 12:00:00,,,
2018-05-11 16:00:00,,,
2018-05-14 12:00:00,,,
2018-05-14 16:00:00,,,
2018-05-15 12:00:00,,,
2018-05-15 16:00:00,,,
2018-05-16 12:00:00,,,
2018-05-16 16:00:00,,,
2018-05-17 12:00:00,,,
2018-05-17 16:00:00,,,
2018-05-18 12:00:00,,,
2018-05-18 16:00:00,,,
2018-05-21 12:00:00,,,
2018-05-21 16:00:00,,,
2018-05-22 12:00:00,,,
2018-05-22 16:00:00,,,
2018-05-23 12:00:00,,,
2018-05-23 16:00:00,,,
2018-05-24 12:00:00,,,
2018-05-24 16:00:00,,,
2018-05-25 12:00:00,,,
2018-05-25 16:00:00,,,
2018-05-28 12:00:00,,,
2018-05-28 16:00:00,,,
2018-05-29 12:00:00,,,
2018-05-29 16:00:00,,,
2018-05-30 12:00:00,,,
2018-05-30 16:00:00,,,
2018-05-31 12:00:00,,,
2018-05-31 16:00:00,,,
2018-06-01 12:00:00,,,
2018-06-01 16:00:00,,,
2018-06-04 12:00:00,,,
2018-06-04 16:00:00,,,
2018-06-05 12:00:00,,,
2018-06-05 16:00:00,,,
2018-06-06 12:00:00,,,
2018-06-06 16:00:00,,,
2018-06-07 12:00:00,,,
2018-06-07 16:00:00,,,
2018-06-08 12:00:00,,,
2018-06-08 16:00:00,,,
2018-06-11 12:00:00,,,
2018-06-11 16:00:00,,,
2018-06-12 12:00:00,,,
2018-06-12 16:00:00,,,
2018-06-13 12:00:00,,,
2018-06-13 16:00:00,,,
2018-06-14 12:00:00,,,
2018-06-14 16:00:00,,,
2018-06-15 12:00:00,,,
2018-06-15 16:00:00,,,
2018-06-19 12:00:00,,,
2018-06-19 16:00:00,,,
2018-06-20 12:00:00,,,
2018-06-20 16:00:00,,,
2018-06-21 12:00:00,,,
2018-06-21 16:00:00,,,
2018-06-22 12:00:00,,,
2018-06-22 16:00:00,,,
2018-06-25 12:00:00,,,
2018-06-25 16:00:00,,,
2018-06-26 12:00:00,,,
2018-06-26 16:00:00,,,
2018-06-27 12:00:00,,,
2018-06-27 16:00:00,,,
2018-06-28 12:00:00,,,
2018-06-28 16:00:00,,,
2018-06-29 12:00:00,,,
2018-06-29 16:00:00,,,
2018-07-02 12:00:00,,,
2018-07-02 16:00:00,,,
2018-07-03 12:00:00,,,
2018-07-03 16:00:00,,,
2018-07-04 12:00:00,,,
2018-07-04 16:00:00,,,
2018-07-05 12:00:00,,,
2018-07-05 16:00:00,,,
2018-07-06 12:00:00,,,
2018-07-06 16:00:00,,,
2018-07-09 12:00:00,,,
2018-07-09 16:00:00,,,
2018-07-10 12:00:00,,,
2018-07-10 16:00:00,,,
2018-07-11 12:00:00,,,
2018-07-11 16:00:00,,,
2018-07-12 12:00:00,,,
2018-07-12 16:00:00,,,
2018-07-13 12:00:00,,,
2018-07-13 16:00:00,,,
2018-07-16 12:00:00,,,
2018-07-16 16:00:00,,,
2018-07-17 12:00:00,,,
2018-07-17 16:00:00,,,
2018-07-18 12:00:00,,,
2018-07-18 16:00:00,,,
2018-07-19 12:00:00,,,
2018-07-19 16:00:00,,,
2018-07-20 12:00:00,,,
2018-07-20 16:00:00,,,
2018-07-23 12:00:00,,,
2018-07-23 16:00:00,,,
2018-07-24 12:00:00,,,
2018-07-24 16:00:00,,,
2018-07-25 12:00:00,,,
2018-07-25 16:00:00,,,
2018-07-26 12:00:00,,,
2018-07-26 16:00:00,,,
2018-07-27 12:00:00,,,
2018-07-27 16:00:00,,,
2018-07-30 12:00:00,,,
2018-07-30 16:00:00,,,
2018-07-31 12:00:00,,,
2018-07-31 16:00:00,,,
2018-08-01 12:00:00,,,
2018-08-01 16:00:00,,,
2018-08-02 12:00:00,,,
2018-08-02 16:00:00,,,
2018-08-03 12:00:00,,,
2018-08-03 16:00:00,,,
2018-08-06 12:00:00,,,
2018-08-06 16:00:00,,,
2018-08-07 12:00:00,,,
2018-08-07 16:00:00,,,
2018-08-08 12:00:00,,,
2018-08-08 16:00:00,,,
2018-08-09 12:00:00,,,
2018-08-09 16:00:00,,,
2018-08-10 12:00:00,,,
2018-08-10 16:00:00,,,
2018-08-13 12:00:00,,,
2018-08-13 16:00:00,,,
2018-08-14 12:00:00,,,
2018-08-14 16:00:00,,,
2018-08-15 12:00:00,,,
2018-08-15 16:00:00,,,
2018-08-16 12:00:00,,,
2018-08-16 16:00:00,,,
2018-08-17 12:00:00,,,
2018-08-17 16:00:00,,,
2018-08-20 12:00:00,,,
2018-08-20 16:00:00,,,
2018-08-21 12:00:00,,,
2018-08-21 16:00:00,,,
2018-08-22 12:00:00,,,
2018-08-22 16:00:00,,,
2018-08-23 12:00:00,,,
2018-08-23 16:00:00,-0.009561965482538057,-0.004247216014873252,-0.0034385198186153636
2018-08-24 12:00:00,-0.004354966847125317,-0.003491623148674713,-0.0020281907302854684
2018-08-24 16:00:00,-0.007492749160964257,-0.008002185142189,-0.004388870531534401
2018-08-27 12:00:00,-0.02378332395906918,-0.015200453454060413,-0.013629247528199058
2018-08-27 16:00:00,-0.024334279312099936,-0.016405996112934005,-0.01480389124818104
2018-08-28 12:00:00,-0.024022369270161208,-0.016208829226496572,-0.01437081442917416
2018-08-28 16:00:00,-0.025122513180930554,-0.014869219270211075,-0.01340101780576838
