Trade_DT,IC.CFE,IF.CFE,IH.CFE
2018-01-02,6345.0,4104.0,2918.4
2018-01-03,6388.2,4121.6,2923.0
2018-01-04,6406.8,4135.8,2929.2
2018-01-05,6400.8,4148.2,2942.8
2018-01-08,6433.0,4163.8,2950.2
2018-01-09,6405.0,4201.4,2986.4
2018-01-10,6380.0,4215.6,3006.4
2018-01-11,6392.0,4210.8,3004.2
2018-01-12,6371.8,4233.6,3032.6
2018-01-15,6235.8,4224.0,3058.0
2018-01-16,6253.4,4273.6,3090.6
2018-01-17,6223.4,4254.0,3082.4
2018-01-18,6259.8,4287.4,3126.4
2018-01-19,6232.0,4303.6,3133.8
2018-01-22,6348.6,4354.8,3145.6
2018-01-23,6345.8,4400.0,3195.0
2018-01-24,6409.6,4404.6,3188.0
2018-01-25,6387.0,4373.0,3164.8
2018-01-26,6397.0,4397.8,3189.0
2018-01-29,6312.2,4315.2,3127.0
2018-01-30,6302.8,4267.6,3087.2
2018-01-31,6186.6,4280.0,3125.0
2018-02-01,5970.0,4239.4,3140.6
2018-02-02,5986.2,4270.4,3158.0
2018-02-05,5979.8,4264.0,3193.2
2018-02-06,5686.8,4119.8,3110.0
2018-02-07,5663.0,4023.0,3018.4
2018-02-08,5719.0,4000.6,2939.0
2018-02-09,5486.2,3774.6,2771.2
2018-02-12,5637.8,3855.0,2788.6
2018-02-13,5688.0,3904.6,2837.2
2018-02-14,5708.0,3952.4,2867.2
2018-02-22,5825.0,4025.4,2916.0
2018-02-23,5833.4,4049.6,2953.8
2018-02-26,6004.6,4108.2,2972.0
2018-02-27,5979.6,4042.0,2917.6
2018-02-28,5983.4,4002.0,2868.8
2018-03-01,6057.8,4035.0,2886.2
2018-03-02,6035.2,4010.0,2861.2
2018-03-05,6019.2,3992.0,2856.2
2018-03-06,6111.8,4064.0,2895.8
2018-03-07,6031.0,4009.4,2873.0
2018-03-08,6053.4,4059.6,2899.8
2018-03-09,6162.0,4098.4,2908.8
2018-03-12,6245.2,4118.0,2910.6
2018-03-13,6202.0,4067.0,2871.4
2018-03-14,6135.2,4054.4,2866.0
2018-03-15,6124.6,4081.0,2899.0
2018-03-16,6084.6,4027.2,2864.6
2018-03-19,6080.4,4049.2,2897.4
2018-03-20,6103.2,4049.6,2900.0
2018-03-21,6040.0,4025.0,2884.0
2018-03-22,6037.4,3983.4,2859.0
2018-03-23,5665.6,3816.4,2734.4
2018-03-26,5846.0,3854.0,2729.6
2018-03-27,6005.6,3898.0,2738.2
2018-03-28,5915.2,3809.2,2669.4
2018-03-29,6012.0,3886.4,2733.6
2018-03-30,6101.0,3884.2,2712.4
2018-04-02,6075.0,3856.4,2696.0
2018-04-03,6023.4,3853.6,2702.0
2018-04-04,5976.0,3841.6,2698.0
2018-04-09,5981.8,3845.8,2717.8
2018-04-10,6048.0,3925.8,2781.8
2018-04-11,6011.6,3921.6,2778.6
2018-04-12,5982.0,3883.6,2746.0
2018-04-13,5958.0,3847.8,2716.4
2018-04-16,5942.6,3785.2,2653.0
2018-04-17,5839.2,3727.0,2628.6
2018-04-18,5906.2,3737.0,2644.8
2018-04-19,5950.0,3798.2,2687.8
2018-04-20,5837.0,3732.6,2636.2
2018-04-23,5779.2,3748.0,2665.0
2018-04-24,5913.2,3835.4,2729.0
2018-04-25,5913.0,3818.0,2707.2
2018-04-26,5806.4,3735.4,2666.6
2018-04-27,5852.2,3746.0,2654.0
2018-05-02,5827.8,3758.8,2659.6
2018-05-03,5892.4,3786.0,2665.0
2018-05-04,5881.0,3763.4,2643.0
2018-05-07,6001.0,3827.2,2682.0
2018-05-08,6028.6,3880.0,2724.2
2018-05-09,5966.6,3849.2,2706.0
2018-05-10,5987.2,3878.0,2722.6
2018-05-11,5947.4,3855.6,2718.0
2018-05-14,5919.6,3892.0,2746.4
2018-05-15,5973.8,3904.2,2740.8
2018-05-16,5966.0,3873.0,2704.8
2018-05-17,5925.0,3840.8,2687.2
2018-05-18,5975.2,3903.0,2735.2
2018-05-21,6027.4,3907.4,2734.2
2018-05-22,6066.0,3895.0,2714.6
2018-05-23,5992.4,3835.4,2664.6
2018-05-24,5966.8,3805.2,2649.0
2018-05-25,5874.8,3789.2,2646.8
2018-05-28,5878.4,3821.2,2664.0
2018-05-29,5794.4,3775.0,2645.4
2018-05-30,5653.2,3699.2,2588.4
2018-05-31,5738.0,3784.0,2642.0
2018-06-01,5664.0,3752.8,2631.6
2018-06-04,5671.0,3786.0,2676.2
2018-06-05,5770.2,3822.8,2685.4
2018-06-06,5765.6,3823.6,2677.6
2018-06-07,5732.0,3817.2,2685.0
2018-06-08,5614.0,3720.2,2617.2
2018-06-11,5598.6,3733.2,2634.0
2018-06-12,5642.8,3780.8,2661.2
2018-06-13,5555.8,3741.2,2641.0
2018-06-14,5543.0,3734.0,2645.6
2018-06-15,5436.6,3722.0,2640.0
2018-06-19,5057.8,3569.6,2561.8
2018-06-20,5142.2,3596.4,2573.0
2018-06-21,5010.0,3546.6,2553.0
2018-06-22,5110.8,3572.4,2559.0
2018-06-25,5028.8,3509.2,2503.6
2018-06-26,5095.0,3492.0,2481.2
2018-06-27,5001.0,3388.2,2415.0
2018-06-28,5007.2,3380.2,2405.6
2018-06-29,5185.4,3477.2,2457.2
2018-07-02,5100.0,3352.6,2344.4
2018-07-03,5144.0,3364.8,2362.6
2018-07-04,5085.4,3330.6,2346.0
2018-07-05,4920.2,3303.4,2347.6
2018-07-06,4948.0,3328.2,2382.0
2018-07-09,5047.2,3420.4,2453.0
2018-07-10,5068.6,3427.4,2444.8
2018-07-11,4961.0,3355.6,2405.6
2018-07-12,5137.6,3458.2,2460.2
2018-07-13,5145.8,3454.4,2459.2
2018-07-16,5151.8,3430.2,2441.0
2018-07-17,5140.0,3419.2,2427.2
2018-07-18,5111.2,3393.8,2414.8
2018-07-19,5067.6,3404.2,2431.8
2018-07-20,5145.2,3482.4,2499.2
2018-07-23,5191.0,3509.2,2522.4
2018-07-24,5299.0,3574.2,2559.0
2018-07-25,5297.8,3568.2,2555.4
2018-07-26,5261.6,3525.0,2525.0
2018-07-27,5230.0,3520.0,2529.6
2018-07-30,5140.4,3503.2,2542.2
2018-07-31,5157.4,3512.6,2547.6
2018-08-01,5074.8,3423.2,2485.0
2018-08-02,4946.4,3345.0,2435.0
2018-08-03,4878.2,3283.6,2406.0
2018-08-06,4806.0,3259.8,2408.8
2018-08-07,4929.0,3358.8,2480.8
2018-08-08,4811.4,3284.0,2441.6
2018-08-09,4944.2,3370.2,2501.0
2018-08-10,4975.6,3378.4,2500.8
2018-08-13,5006.0,3358.2,2474.6
2018-08-14,4995.8,3345.0,2468.8
2018-08-15,4878.0,3255.4,2401.2
2018-08-16,4820.4,3249.0,2405.0
2018-08-17,4738.0,3202.2,2369.8
2018-08-20,4783.6,3251.0,2411.0
2018-08-21,4825.0,3301.0,2448.6
2018-08-22,4806.0,3300.2,2449.8
2018-08-23,4826.2,3302.2,2455.4
2018-08-24,4809.4,3309.8,2474.6
2018-08-27,4931.4,3397.8,2519.0
2018-08-28,4936.8,3387.0,2508.0
2018-08-29,4918.2,3379.8,2505.0
2018-08-30,4846.0,3343.0,2483.2
2018-08-31,4783.4,3321.2,2471.0
2018-09-03,4819.6,3310.4,2461.0
2018-09-04,4857.6,3357.2,2502.0
2018-09-05,4785.0,3277.8,2433.8
2018-09-06,4767.8,3248.6,2413.0
2018-09-07,4765.0,3273.2,2441.6
2018-09-10,4650.0,3216.8,2419.0
2018-09-11,4652.2,3207.2,2402.0
2018-09-12,4638.0,3186.0,2383.8
2018-09-13,4670.2,3226.2,2422.2
2018-09-14,4620.0,3228.6,2428.8
2018-09-17,4565.8,3195.4,2401.6
2018-09-18,4645.2,3260.0,2466.2
2018-09-19,4690.0,3301.8,2486.8
2018-09-20,4714.4,3312.0,2496.8
2018-09-21,4827.8,3428.2,2595.0
2018-09-25,4793.2,3389.2,2557.2
2018-09-26,4800.0,3422.2,2592.6
2018-09-27,4764.6,3415.8,2582.8
2018-09-28,4820.4,3448.8,2609.6
2018-10-08,4654.8,3288.8,2483.6
2018-10-09,4624.8,3287.0,2499.4
2018-10-10,4639.2,3289.0,2500.4
2018-10-11,4258.2,3106.8,2386.8
2018-10-12,4267.2,3169.0,2446.6
2018-10-15,4153.4,3117.2,2422.4
