,ADAUSDT,BNBUSDT,BTCUSDT,BTTUSDT,DASHUSDT,DOGEUSDT,EOSUSDT,ETCUSDT,ETHUSDT,LINKUSDT,LTCUSDT,NEOUSDT,QTUMUSDT,TRXUSDT,XLMUSDT,XMRUSDT,XRPUSDT,ZECUSDT
0,0.12332,23.2208,11629.09,0.0004499,86.37,,3.2084,6.6164,436.37,15.718,60.81,20.71,3.427,0.03007,0.09669,92.82,0.28159,79.42
1,0.12364,23.237,11630.17,0.0004456,86.48,,3.205,6.6109,436.85,15.8011,61.26,20.847,3.421,0.03047,0.09649,93.31,0.28159,80.13
2,0.12338,23.1598,11691.49,0.0004438,86.8,,3.2255,6.6603,443.64,15.7845,61.71,21.123,3.423,0.03014,0.09669,93.74,0.28322,79.57
3,0.12369,23.2391,11692.66,0.000444,86.7,,3.2338,6.6562,445.35,15.7926,61.76,20.948,3.427,0.03041,0.09682,93.68,0.28315,79.23
4,0.12533,23.1855,11794.55,0.0004443,87.22,,3.3024,6.7043,455.55,15.9885,62.65,20.855,3.438,0.0302,0.09815,94.25,0.29088,79.8
5,0.12459,23.3912,11861.85,0.0004444,88.26,,3.3012,6.7604,463.52,16.3567,63.17,20.97,3.455,0.03012,0.09938,94.82,0.29417,80.94
6,0.12532,23.3278,11923.74,0.0004444,88.33,,3.332,6.7242,463.4,16.469,63.01,20.877,3.437,0.02981,0.09934,94.97,0.29458,81.51
7,0.12425,23.3713,11912.85,0.0004484,88.26,,3.3138,6.69,461.01,16.199,62.73,20.856,3.492,0.02978,0.09935,95.23,0.29212,80.8
8,0.12385,23.6437,11938.96,0.0004495,88.21,,3.3317,6.6827,470.33,16.2165,63.12,20.886,3.449,0.02989,0.09905,95.23,0.29083,80.98
9,0.1231,23.556,11919.9,0.0004515,88.53,,3.3395,6.7127,471.12,16.1776,63.37,21.074,3.526,0.03045,0.09968,96.52,0.29294,80.68
10,0.12198,23.0576,11868.99,0.0004429,88.13,,3.3073,6.6518,468.5,15.9417,62.32,20.84,3.462,0.03005,0.09848,95.7,0.28981,80.16
11,0.12348,23.0792,11899.94,0.0004404,88.3,,3.3219,6.678,469.79,16.0643,62.59,20.832,3.505,0.03032,0.0985,95.55,0.29019,80.27
12,0.12188,23.4051,11864.38,0.0004393,87.96,,3.309,6.6577,468.55,15.9263,62.06,20.98,3.488,0.03112,0.09844,96.79,0.28913,80.02
13,0.12238,23.7146,11894.06,0.0004364,88.17,,3.3305,6.6706,472.32,15.9965,62.51,21.092,3.519,0.03125,0.09919,96.73,0.29217,80.24
14,0.12164,23.5283,12039.33,0.0004386,88.52,,3.3576,6.7214,481.96,15.6764,63.53,21.057,3.439,0.03093,0.09939,96.44,0.29431,81.1
15,0.12361,23.6553,11996.22,0.0004408,88.96,,3.3935,6.7555,478.15,16.0811,63.8,21.787,3.464,0.03258,0.10054,96.85,0.29382,82.22
16,0.12442,23.5711,11957.05,0.0004471,88.4,,3.3923,6.7131,474.92,16.0827,63.42,22.046,3.461,0.03332,0.09952,96.06,0.28995,82.1
17,0.12467,24.0,11983.57,0.0004487,89.11,,3.4105,6.7134,477.58,16.1598,63.57,22.297,3.511,0.03469,0.0991,96.19,0.29169,84.13
18,0.12413,24.85,11957.41,0.0004482,89.13,,3.4262,6.6954,475.71,16.0851,63.29,22.352,3.5,0.03391,0.0994,96.36,0.29202,84.2
19,0.12512,24.7311,12003.6,0.000446,89.28,,3.4713,6.7001,481.65,16.0101,63.62,22.1,3.538,0.03406,0.09871,96.29,0.29377,84.09
20,0.12713,24.8631,12016.05,0.0004518,90.08,,3.4887,6.7411,482.75,16.1311,63.64,21.85,3.555,0.03554,0.09901,96.14,0.29521,85.03
21,0.1257,24.9423,11973.04,0.000456,89.28,,3.4867,6.7162,481.45,16.3389,62.98,21.79,3.547,0.03478,0.09924,96.61,0.29674,84.47
22,0.12445,24.7028,11921.97,0.0004534,89.05,,3.4724,6.7359,475.4,16.0333,62.69,21.517,3.518,0.03466,0.09881,96.99,0.29521,83.17
23,0.12486,25.0617,11899.11,0.000454,88.39,,3.458,6.7367,469.07,16.1102,62.69,21.271,3.479,0.03351,0.09899,96.27,0.29986,82.42
24,0.12486,25.4534,11887.83,0.0004441,88.63,,3.4387,6.7189,471.22,16.1132,62.71,21.362,3.517,0.03403,0.09882,96.0,0.29942,83.42
25,0.12359,25.0879,11858.0,0.0004421,88.07,,3.442,6.7189,469.97,15.9007,62.29,21.27,3.507,0.03429,0.09797,95.51,0.29818,82.8
26,0.12306,25.1574,11835.01,0.0004391,87.88,,3.4247,6.7013,470.01,15.8638,62.36,21.033,3.501,0.03512,0.09765,95.54,0.29812,82.52
