,type,Ret,IR,Calmar,Turnover,PNL,Cost,Asset,threshold,Sample,fee
0,ALL,0.3881281903545325,2.885774811623351,0.05289319463495242,0.03519571436517344,83890629.63667479,0.0,183890629.63667485,0.05,all_sample,0.0
1,ADAUSDT,0.539336612746142,2.772773364644966,8.32088002896649,0.03661313710471612,6476280.7114,0.0,12031836.266955514,0.05,all_sample,0.0
2,BNBUSDT,0.5518752072741786,3.194976004000847,8.357130029721302,0.03648204510181691,6626842.449599999,0.0,12182398.005155569,0.05,all_sample,0.0
3,BTCUSDT,0.26310134779380806,2.212651998720954,4.353553903818892,0.03704233082165511,3159285.209999998,0.0,8714840.765555533,0.05,all_sample,0.0
4,BTTUSDT,0.6193047355182552,2.61497456392401,6.755704504697265,0.023566492464020025,7436527.056254799,0.0,12992082.611810405,0.05,all_sample,0.0
5,DASHUSDT,0.3027339434722731,1.4980028971027681,1.7306094333888278,0.03637836001479379,3635188.030000002,0.0,9190743.585555568,0.05,all_sample,0.0
6,DOGEUSDT,0.3427361917533609,1.9844089579445683,4.041331704490924,0.02565815357844589,4115529.5881900014,0.0,9671085.143745648,0.05,all_sample,0.0
7,EOSUSDT,0.25154800074793,1.397515721916599,2.6321918181116346,0.036386112765147534,3020554.1895999983,0.0,8576109.745155573,0.05,all_sample,0.0
8,ETCUSDT,0.6796319394182322,3.297147232942059,11.121357081038267,0.036924342760459056,8160927.917899999,0.0,13716483.473455612,0.05,all_sample,0.0
9,ETHUSDT,0.43597693125213965,2.863320575472451,5.859685504292137,0.036792115071541474,5235151.710000001,0.0,10790707.265555564,0.05,all_sample,0.0
10,LINKUSDT,0.18096810432382593,0.9251289978603389,0.9758897842115432,0.03682694702150002,2173040.3901999993,0.0,7728595.945755531,0.05,all_sample,0.0
11,LTCUSDT,0.19722725910256972,1.1813692615446865,1.3263538810560798,0.036464236944982166,2368278.1100000013,0.0,7923833.665555591,0.05,all_sample,0.0
12,NEOUSDT,0.35060171992609923,1.8010747418655648,4.286832700179379,0.036453161892050376,4209977.781000003,0.0,9765533.336555533,0.05,all_sample,0.0
13,QTUMUSDT,0.44644434449920334,2.0176414541918697,5.204164132333097,0.036461962678563886,5360842.985000001,0.0,10916398.540555503,0.05,all_sample,0.0
14,TRXUSDT,0.42788433228115935,2.555638110987078,8.713772792189092,0.03622665618626581,5137976.881919999,0.0,10693532.437475566,0.05,all_sample,0.0
15,XLMUSDT,0.2760231793670902,1.353877503688727,1.1757082470177271,0.03615138977355908,3314448.8065299983,0.0,8870004.362085545,0.05,all_sample,0.0
16,XMRUSDT,0.22744539774416134,1.3061898376464907,2.302968911965795,0.03613500502322231,2731133.41,0.0,8286688.965555525,0.05,all_sample,0.0
17,XRPUSDT,0.5788382815323382,2.7280658750645443,8.379565036934222,0.03637874132023438,6950611.3790799985,0.0,12506166.934635522,0.05,all_sample,0.0
18,ZECUSDT,0.31462989762881644,1.5679792055967845,2.872969553757875,0.03658166805014797,3778033.029999998,0.0,9333588.585555563,0.05,all_sample,0.0
