,type,Ret,IR,Calmar,Turnover,PNL,Cost,Asset,threshold,Sample,fee
0,ALL,0.008535161629090834,0.3741139064052967,0.3824851417664288,0.04876506465340506,95375000.00000003,56255509.2,1039119490.7999997,0.05,all_sample,0.0005
1,IC.CFE,-0.00234584100654498,-0.07930582214078075,-0.03394990830305534,0.04863016334115436,15140360.00000003,18724283.76,329749409.57333404,0.05,all_sample,0.0005
2,IF.CFE,0.024571447514181586,0.8769671254292871,1.1303680026940406,0.048710599806292235,56263560.0,18723848.519999996,370873044.813333,0.05,all_sample,0.0005
3,IH.CFE,0.003379878379635993,0.10441532044209736,0.05953209936606264,0.04895443081276859,23971080.0,18807376.92,338497036.41333276,0.05,all_sample,0.0005
4,ALL,0.018306602949818312,0.5318098541308535,0.41447743485618277,0.09498674692432209,193613800.00000006,109708536.48,1083905263.5200007,0.1,all_sample,0.0005
5,IC.CFE,0.007104546353454534,0.15167049863048584,0.10047958389237753,0.09480037790407493,47384560.00000006,36530391.96,344187501.3733333,0.1,all_sample,0.0005
6,IF.CFE,0.03806143257600031,0.9165392224380123,0.720062972593228,0.09444295656239088,94465200.0,36315789.12,391482744.2133338,0.1,all_sample,0.0005
7,IH.CFE,0.009753829920000196,0.22997772072767594,0.19504252642852152,0.09571690630650047,51764040.0,36862355.400000006,348235017.93333364,0.1,all_sample,0.0005
8,ALL,0.026586478468364014,0.5748997017530028,0.418184282956694,0.13820025224904978,281444420.0000001,159589727.02,1121854692.9800017,0.15,all_sample,0.0005
9,IC.CFE,0.006916954673455403,0.11597194462021591,0.0656052985875411,0.13874904375572772,63994040.00000008,53426470.36,343900902.9733346,0.15,all_sample,0.0005
10,IF.CFE,0.0546410594094546,0.9973928704219044,0.7700168895876525,0.13758309511016847,136391880.0,52912483.68,416812729.6533334,0.15,all_sample,0.0005
11,IH.CFE,0.018201421322182137,0.33018806433270137,0.22671989804430115,0.13826861788125314,81058500.0,53250772.98,361141060.3533338,0.15,all_sample,0.0005
12,ALL,0.04421492032581781,0.7773011448238472,0.6040789710216631,0.17777446546020087,407923320.00000006,205271601.84,1202651718.1599982,0.2,all_sample,0.0005
13,IC.CFE,0.018129971938908376,0.25806013313594944,0.16465802762913645,0.177356440155073,95944560.00000009,68245991.75999999,361031901.5733322,0.2,all_sample,0.0005
14,IF.CFE,0.07092902670545406,1.0792571218742992,0.9866711133008552,0.17829684313676375,176968440.0,68604649.2,441697124.13333255,0.2,all_sample,0.0005
15,IH.CFE,0.043585762333090985,0.6554741105009648,0.6231277599337895,0.1776701130887659,135010320.0,68420960.88,399922692.45333344,0.2,all_sample,0.0005
16,ALL,0.06114834006981826,0.9252887981919564,0.8228584204203716,0.21329566049051868,526612400.0000001,246349174.68,1280263225.3200004,0.25,all_sample,0.0005
17,IC.CFE,0.03574255229672737,0.4489091223840822,0.3206567311076201,0.2104083508292925,135587480.00000012,80980802.88,387940010.4533335,0.25,all_sample,0.0005
18,IF.CFE,0.08574779184872722,1.1265306744236876,1.1133651456591103,0.21555732680287032,213994560.0,82990989.12,464336904.2133332,0.25,all_sample,0.0005
19,IH.CFE,0.061954676064000194,0.8101141213682134,0.7991717647127542,0.21392130383939317,177030360.0,82377382.68,427986310.6533336,0.25,all_sample,0.0005
20,ALL,0.07817885269963605,1.0641524061242884,1.0948126445014523,0.24420172226975545,640281140.0000001,281961398.46,1358319741.5399985,0.3,all_sample,0.0005
21,IC.CFE,0.05378448569890878,0.6229388974621407,0.509551248760671,0.23911836834501585,174207320.00000015,92036577.96,415504075.37333286,0.3,all_sample,0.0005
22,IF.CFE,0.09905843010763599,1.1720823975863224,1.1982560952385193,0.249043002215537,247149180.0,95809911.78,484672601.55333275,0.3,all_sample,0.0005
23,IH.CFE,0.08169364229236338,0.9543123054717809,1.047064249866616,0.24444379624871349,218924640.0,94114908.72,458143064.6133329,0.3,all_sample,0.0005
24,ALL,0.09239448391418148,1.2130307977526327,1.3475749420052892,0.271740783466509,737237780.0000001,313763062.06,1423474717.9399984,0.35,all_sample,0.0005
25,IC.CFE,0.07544742516654525,0.8427826894284824,0.858285641850684,0.26552395373332943,217427720.00000015,102160820.44,448600232.893333,0.35,all_sample,0.0005
26,IF.CFE,0.1079104379563628,1.2310183573770368,1.29871262817325,0.2776851552983487,271716060.0,106852890.9,498196502.433332,0.35,all_sample,0.0005
27,IH.CFE,0.09382558861963645,1.0334952582707184,1.2133294370062244,0.2720132413678489,248094000.0,104749350.72,476677982.6133334,0.35,all_sample,0.0005
28,ALL,0.10340645966399983,1.3271533466675263,1.5460303328982308,0.2965306172176804,816310220.0000001,342363946.53999996,1473946273.4599993,0.4,all_sample,0.0005
29,IC.CFE,0.08671608075927269,0.9440221934311616,1.0795141911117674,0.28954710918275933,243885800.00000018,111402898.84,465816234.4933332,0.4,all_sample,0.0005
30,IF.CFE,0.12027670579636354,1.3326975031033756,1.5039052222409466,0.3025811322325572,300206940.0,116450861.7,517089411.63333315,0.4,all_sample,0.0005
31,IH.CFE,0.1032265924363634,1.1038157901115757,1.3113170681231596,0.2974636102377248,272217480.0,114510186.0,491040627.33333296,0.4,all_sample,0.0005
32,ALL,0.11364529301236324,1.4360924395286665,1.7322643226266337,0.31810450556335684,888065160.0000002,367190900.36,1520874259.6399982,0.45,all_sample,0.0005
33,IC.CFE,0.09464874116072648,1.0049922453270286,1.2326686884379394,0.3094976206885421,263700960.00000018,119098716.56,477935576.7733321,0.45,all_sample,0.0005
34,IF.CFE,0.13761639020945438,1.4878869639111452,1.8859235414466766,0.3235047657266171,334682220.0,124434957.18,543580596.1533331,0.45,all_sample,0.0005
35,IH.CFE,0.10867074766690892,1.1390779438382577,1.3000154686913783,0.3213111302749113,289681980.0,123657226.62,499358086.7133331,0.45,all_sample,0.0005
36,ALL,0.12326103528000004,1.5378058372642773,1.9380200873490088,0.3359703289071411,952714340.0000002,387767928.3,1564946411.7000003,0.5,all_sample,0.0005
37,IC.CFE,0.1018275209803632,1.0521511492207165,1.3340856391277263,0.3273273078323965,281490200.00000024,125920376.28,488903157.0533326,0.5,all_sample,0.0005
38,IF.CFE,0.1515540805527279,1.6127018609013128,2.353277469151546,0.3402528763652606,362418840.0,130877883.60000001,564874289.7333343,0.5,all_sample,0.0005
39,IH.CFE,0.11640150430690921,1.204290118180633,1.3676387360990276,0.34033080252376635,308805300.0,130969668.42000002,511168964.9133335,0.5,all_sample,0.0005
40,ALL,0.1359625851534544,1.6582085580493078,2.202160208764965,0.36563221601950374,1045230580.0000002,422068731.38,1623161848.6199994,0.6,all_sample,0.0005
41,IC.CFE,0.10800673430400004,1.0700261959811177,1.3565473349065365,0.3567567956455142,302263000.00000024,137252711.48000002,498343621.85333335,0.6,all_sample,0.0005
42,IF.CFE,0.16765309116654525,1.7402057153285042,2.7821269084880997,0.3685955999890682,397937460.0,141800792.94,589470000.393333,0.6,all_sample,0.0005
43,IH.CFE,0.132227929989818,1.334402191496891,1.5286273516977473,0.37154425242392897,345030120.0,143015226.96,535348226.37333304,0.6,all_sample,0.0005
44,ALL,0.146413590309818,1.74123985044023,2.3634021201204867,0.3914930767415243,1123063840.0000005,452001551.08000004,1671062288.9199991,0.7,all_sample,0.0005
45,IC.CFE,0.11098397834181857,1.0610243202375857,1.336109536261812,0.38235160656406303,316647160.0000003,147088304.2,502892189.1333339,0.7,all_sample,0.0005
46,IF.CFE,0.18394235929309008,1.8650870661320371,3.2283056340001646,0.39344982404762757,432413760.0,151390711.07999998,614356382.253332,0.7,all_sample,0.0005
47,IH.CFE,0.14431443329454555,1.4157530507819527,1.6325664789146725,0.3986777996128823,374002920.0,153522535.8,553813717.5333334,0.7,all_sample,0.0005
48,ALL,0.15484559218036356,1.798357645643388,2.5380993810603147,0.4135427689861429,1187239880.0000005,477530915.84000003,1709708964.1599996,0.8,all_sample,0.0005
49,IC.CFE,0.1157699179112729,1.07919199436037,1.3816456423989498,0.40317935749145156,331979360.0000003,155108652.07999998,510204041.25333357,0.8,all_sample,0.0005
50,IF.CFE,0.19571501499054475,1.9431622190124318,3.4710689394596654,0.4157661198638361,459018240.0,160009189.32000002,632342384.0133322,0.8,all_sample,0.0005
51,IH.CFE,0.15305184363927296,1.461235560032515,1.742452828184694,0.4216828296031412,396242280.0,162413074.44,567162538.8933337,0.8,all_sample,0.0005
52,ALL,0.16278078212945468,1.84641690458129,2.7176638544674425,0.43366761432940815,1246821160.0000002,500742575.24,1746078584.7600007,0.9,all_sample,0.0005
53,IC.CFE,0.12325705762909103,1.1217574165177417,1.4587699967868704,0.4222184484396156,350750800.0000003,162441406.39999998,521642726.9333335,0.9,all_sample,0.0005
54,IF.CFE,0.20465850449454534,1.991485597039121,3.7032523059326383,0.43614631972942075,480532080.0,167859364.8,646006048.5333331,0.9,all_sample,0.0005
55,IH.CFE,0.16042678426472765,1.4882872742104183,1.7740244515003136,0.4426380748191881,415538280.0,170441804.04,578429809.2933339,0.9,all_sample,0.0005
56,ALL,0.1708836151418184,1.896579332577863,2.8958560518445293,0.4502522801142179,1303153240.0000002,519936670.59999996,1783216569.400001,1.0,all_sample,0.0005
57,IC.CFE,0.1299080571578184,1.1554151742654966,1.5257245776933885,0.43790031430259985,366985120.0000003,168514477.12,531803976.21333367,1.0,all_sample,0.0005
58,IF.CFE,0.21570339182399934,2.0629632106716413,4.057772009565155,0.45286787499227826,503873340.0,174326491.38,662880181.9533323,1.0,all_sample,0.0005
59,IH.CFE,0.16703939644363755,1.5114010449268611,1.7815265214444662,0.4599886510477755,432294780.0,177095702.1,588532411.2333351,1.0,all_sample,0.0005
60,ALL,0.17945662580509097,1.9601305884516658,3.1344400392244878,0.46250901323951116,1356597580.0000002,534088045.05999994,1822509534.9400003,1.1,all_sample,0.0005
61,IC.CFE,0.1391214802123644,1.2142246462736637,1.686447742785231,0.4497708013021411,385640680.00000036,173093974.12,545880039.2133344,1.1,all_sample,0.0005
62,IF.CFE,0.22546459111418107,2.1238400074019554,4.394573773213423,0.4657785985296829,523763580.0,179303788.02,677793125.3133322,1.1,all_sample,0.0005
63,IH.CFE,0.17378380608872754,1.5493173543121488,1.8466190572919803,0.4719776398867097,447193320.0,181690282.92000002,598836370.4133337,1.1,all_sample,0.0005
64,ALL,0.184800095589818,1.9975345935843394,3.2040892305799966,0.47097882084667314,1390928000.0000002,543927561.88,1847000438.1199992,1.2,all_sample,0.0005
65,IC.CFE,0.14494316839854576,1.252278330815681,1.8076999164871206,0.4579712269854455,397703960.00000036,176263008.28,554774285.0533338,1.2,all_sample,0.0005
66,IF.CFE,0.23120274524072626,2.1552949632950065,4.570735949150403,0.4742650848532457,535823700.0,182597283.66000003,686559749.6733317,1.2,all_sample,0.0005
67,IH.CFE,0.17825437313018208,1.57127711938277,1.8683677148063516,0.48070015070132804,457400340.0,185067269.94,605666403.3933337,1.2,all_sample,0.0005
68,ALL,0.1890847229759997,2.02516675477826,3.2468381782889284,0.4768307473974482,1417330600.0000002,550692286.36,1866638313.6399987,1.3,all_sample,0.0005
69,IC.CFE,0.14932856877381778,1.280409726959199,1.9040853464224254,0.463151748760194,406407520.00000036,178266651.04000002,561474202.2933327,1.3,all_sample,0.0005
70,IF.CFE,0.23677287551999923,2.184478050444679,4.660380406123102,0.4803594837194016,546671160.0,184934822.40000004,695069670.9333321,1.3,all_sample,0.0005
71,IH.CFE,0.18115272463418222,1.5811271254673624,1.8620386948854741,0.486981009712749,464251920.0,187490812.92000002,610094440.4133339,1.3,all_sample,0.0005
72,ALL,0.19204858471418151,2.0429841127499926,3.2794321326782976,0.48013221646578835,1434728140.0000002,554505460.0600001,1880222679.9399986,1.4,all_sample,0.0005
73,IC.CFE,0.15210610853236314,1.2976503854577532,1.9297207960417366,0.465727229980374,411649120.00000036,179264787.52,565717665.8133326,1.4,all_sample,0.0005
74,IF.CFE,0.2404796799534539,2.203849563642951,4.747275148503191,0.48417547245029124,553792320.0,186392808.96,700732844.3733323,1.4,all_sample,0.0005
75,IH.CFE,0.18355996565672755,1.5901178452559246,1.8662756027476433,0.4904939469666997,469286700.0,188847863.58,613772169.7533337,1.4,all_sample,0.0005
76,ALL,0.19276600596218157,2.0470063060501107,3.2931501464002157,0.4809083927936582,1438912580.0000002,555401719.34,1883510860.659999,1.5,all_sample,0.0005
77,IC.CFE,0.15272518275490898,1.3006818280581716,1.926760443823135,0.46625278227007305,412798640.00000036,179468499.68,566663473.6533331,1.5,all_sample,0.0005
78,IF.CFE,0.24211114107054443,2.2129745977961255,4.789629689672505,0.4854073095872584,556758960.0,186866938.92000002,703225354.4133317,1.5,all_sample,0.0005
79,IH.CFE,0.1834616940610915,1.5884024798598115,1.8640682754741942,0.49106508652364317,469354980.0,189066280.74,613622032.5933342,1.5,all_sample,0.0005
80,ALL,0.01482384895251787,0.6374567230504757,0.7942252327495845,0.04875040610990296,104630120.00000003,47393592.1,1057236527.8999996,0.05,in_sample,0.0005
81,IC.CFE,0.009259356597410541,0.3136964246411485,0.2597391521589217,0.04865414786647444,27713120.00000003,15795985.120000001,345250468.2133339,0.05,in_sample,0.0005
82,IF.CFE,0.024368353510791068,0.8466963745703268,1.121025005589813,0.04875465476284877,47139540.0,15776566.5,364696306.83333296,0.05,in_sample,0.0005
83,IH.CFE,0.01084383674935212,0.3196604534840367,0.19099988057597425,0.04884241570038567,29777460.0,15821040.48,347289752.8533328,0.05,in_sample,0.0005
84,ALL,0.02463624775942448,0.7293044924782539,0.5577861061278429,0.094944343533813,187442320.00000006,92319030.03999999,1095123289.96,0.1,in_sample,0.0005
85,IC.CFE,0.016789636085179718,0.36314281273703836,0.2455737285612904,0.09467560384031158,52356640.00000006,30747756.52,354942216.81333315,0.1,in_sample,0.0005
86,IF.CFE,0.04282318736287775,1.0172926284226826,0.810147950339468,0.09461712554275635,85718280.0,30603251.82,388448361.5133334,0.1,in_sample,0.0005
87,IH.CFE,0.014295919830215978,0.3350404174804564,0.28586845825428014,0.09554030121837107,49367400.0,30968021.700000003,351732711.6333335,0.1,in_sample,0.0005
88,ALL,0.033169704873669555,0.7288215992643968,0.5217332286028857,0.13797401387042785,262256700.0000001,134184783.96000001,1128071916.0400019,0.15,in_sample,0.0005
89,IC.CFE,0.017855020530648535,0.29960528086547233,0.16934966448387936,0.13862236818112864,67982160.0000001,45002087.28,356313406.05333465,0.15,in_sample,0.0005
90,IF.CFE,0.06086873896057568,1.1020782451615825,0.857779068599744,0.13724882450679504,122737800.0,44397478.56,411673654.7733335,0.15,in_sample,0.0005
91,IH.CFE,0.020785355129784515,0.3780922090368378,0.25890580259774837,0.1380508489233599,71536740.0,44785218.120000005,360084855.2133337,0.15,in_sample,0.0005
92,ALL,0.0525619672212945,0.9357745946774448,0.7181191063997848,0.1775845089614277,375613680.0000001,172666084.34,1202947595.6599982,0.2,in_sample,0.0005
93,IC.CFE,0.03001202157237305,0.42983355337335427,0.27257186574374737,0.17673724285256415,95943360.00000009,57316776.68,371959916.653332,0.2,in_sample,0.0005
