,type,Ret,IR,Calmar,Turnover,PNL,Cost,Asset,threshold,Sample,fee
0,ALL,0.24743110372741473,3.020119374988461,3.2486196239966825,0.04675858010858357,5353098.490687187,0.0,15353098.490687175,0.05,all_sample,0.0
1,BATUSDT,0.0184370987948366,0.251177249089833,0.14158956569022524,0.04693251437179278,26592.077348539482,0.0,693258.7440152011,0.05,all_sample,0.0
2,BNBUSDT,0.39811086334100304,2.7943355316333975,3.3675087621656306,0.046754357941220126,574200.6911749472,0.0,1240867.3578416049,0.05,all_sample,0.0
3,BTCUSDT,0.25343710108702033,2.42350805317306,2.7537408487923027,0.04658203513815326,365535.7640640201,0.0,1032202.4307306856,0.05,all_sample,0.0
4,DASHUSDT,0.06912405758788642,1.039430275906475,0.8102861520044728,0.04682403406670594,99698.56464274017,0.0,766365.2313094082,0.05,all_sample,0.0
5,EOSUSDT,0.20952233508033255,1.497563056038627,1.6949629948419453,0.04662515452069684,302196.90216456755,0.0,968863.5688312375,0.05,all_sample,0.0
6,ETCUSDT,0.5395460784184635,3.712000873527512,7.767910402597815,0.04675326415352927,778194.6178224206,0.0,1444861.2844890957,0.05,all_sample,0.0
7,ETHUSDT,0.3704601324937367,2.7192281965870424,3.294987351171788,0.046616236911225475,534319.6675054331,0.0,1200986.3341720926,0.05,all_sample,0.0
8,LINKUSDT,0.1708490062189106,1.0168008417434427,0.8273270300606396,0.04690450222681214,246417.83606247045,0.0,913084.502729132,0.05,all_sample,0.0
9,LTCUSDT,0.20645039287237776,1.4320623810327782,0.8265916065546494,0.046766826526454926,297766.19830420136,0.0,964432.8649708754,0.05,all_sample,0.0
10,NEOUSDT,0.14029525916663396,1.769540179615483,2.7496005716719827,0.04679139205941455,202349.75279498813,0.0,869016.4194616474,0.05,all_sample,0.0
11,QTUMUSDT,0.19455565486184492,2.3762428376949156,5.231081730687745,0.046652770508064656,280610.2565404624,0.0,947276.9232071296,0.05,all_sample,0.0
12,TRXUSDT,0.2663484694036502,2.077254733009506,4.037524180920714,0.04677614082548163,384158.00548994937,0.0,1050824.6721566194,0.05,all_sample,0.0
13,XLMUSDT,0.16272032466972491,1.2729474578616269,0.8674630673125878,0.04684698120636131,234693.72854951007,0.0,901360.3952161815,0.05,all_sample,0.0
14,XRPUSDT,0.5459367177656957,2.9788963158864403,7.666408810238069,0.04672263519076394,787411.9235232583,0.0,1454078.5901899138,0.05,all_sample,0.0
15,ZECUSDT,0.16567306414910588,1.995628188112255,3.217278621553214,0.046829855982076854,238952.50469967874,0.0,905619.1713663512,0.05,all_sample,0.0
16,ALL,0.530535079924982,4.750562291633043,12.266896505621087,0.08588111632967622,11477968.989427263,0.0,21477968.989427235,0.1,all_sample,0.0
17,BATUSDT,0.15197852317059984,1.5229130451845718,2.1308189241561246,0.0858748265513873,219200.68273433603,0.0,885867.3494010051,0.1,all_sample,0.0
18,BNBUSDT,0.9025554767244053,4.781801742559972,13.571119083757816,0.08589913225796265,1301767.990478006,0.0,1968434.6571446673,0.1,all_sample,0.0
19,BTCUSDT,0.520150709826221,3.739632895127115,7.923227852564618,0.0856805430164314,750220.414963962,0.0,1416887.0816306346,0.1,all_sample,0.0
20,DASHUSDT,0.15958126924184873,1.9270445008679447,2.9936561776709563,0.08570713632095683,230166.2263829088,0.0,896832.8930495826,0.1,all_sample,0.0
21,EOSUSDT,0.4748794392684681,2.412153588905265,4.333994987543675,0.08584743916865759,684925.0481747307,0.0,1351591.7148414007,0.1,all_sample,0.0
22,ETCUSDT,0.8708224784613114,4.332570059062003,10.433187277530267,0.0857843929944362,1255999.0572145246,0.0,1922665.723881185,0.1,all_sample,0.0
23,ETHUSDT,0.7226028225466868,3.9256963090405934,9.383640698699049,0.08606141427991931,1042219.839642681,0.0,1708886.506309346,0.1,all_sample,0.0
24,LINKUSDT,0.6704845905530907,2.950609175961159,6.5591348198326,0.08638143139430228,967049.0076227002,0.0,1633715.6742893588,0.1,all_sample,0.0
