Trade_DT,T.CFE,TF.CFE,TS.CFE
2020-07-02,4878763.115,2011449.275,1146034.03
2020-07-03,5088578.265,1632102.52,1196210.57
2020-07-06,6018905.96,2682108.73,1154914.26
2020-07-07,8734370.81,4445021.64,2116863.99
2020-07-08,8600023.605,3589216.705,1883061.68
2020-07-09,8830890.175,3835014.57,2179105.36
2020-07-10,11938430.345,4351581.98,2624964.84
2020-07-13,8564354.33,2989835.48,1943261.6
2020-07-14,7923390.475,2559259.64,2349977.21
2020-07-15,7539375.43,2853339.865,2003844.52
2020-07-16,8804556.205,3272626.72,1608242.95
2020-07-17,8385359.265,3057401.11,1591447.67
2020-07-20,8263183.87,2842409.875,1466966.69
2020-07-21,5670367.665,1918894.495,1080352.86
2020-07-22,6110668.64,2744773.04,1564466.18
2020-07-23,7685039.82,3045284.125,1382549.03
2020-07-24,6242137.795,2342311.36,1097171.54
2020-07-27,7270073.425,2489009.65,1384950.53
2020-07-28,5021373.12,1733103.955,1195608.55
2020-07-29,6531419.41,2218710.32,1060337.42
2020-07-30,5828370.75,1755257.235,1200574.11
2020-07-31,4880186.095,1571691.485,1152880.24
2020-08-03,6739525.695,2198565.695,1544670.92
2020-08-04,5855018.92,1913740.155,1100576.08
2020-08-05,5682167.44,2043711.66,1217492.46
2020-08-06,7111576.86,2258512.865,1209129.91
2020-08-07,5935659.355,2037012.16,1397517.92
2020-08-10,7437521.79,2496599.16,1379383.98
2020-08-11,6041429.195,1968935.435,1530553.5
2020-08-12,6863787.335,2109919.135,1465316.49
2020-08-13,7440094.125,2406327.35,1935108.75
2020-08-14,4938119.165,1498379.135,897703.48
2020-08-17,5109954.605,1887886.21,1383452.9
2020-08-18,4143903.155,990847.735,1015108.28
2020-08-19,3937939.945,1124645.85,1004818.33
2020-08-20,3992231.355,1231556.205,825311.93
2020-08-21,5556167.57,1977464.155,869217.3
2020-08-24,4606007.475,1804750.865,850181.0
2020-08-25,4491313.005,1461430.815,1239580.16
2020-08-26,7516289.625,2586269.065,1451404.67
2020-08-27,5912467.5,1804965.555,1483026.82
2020-08-28,5922585.62,2137099.85,1507544.72
2020-08-31,6889012.17,2475475.825,1725886.2
2020-09-01,4904406.28,1687041.35,1341897.87
2020-09-02,4816828.765,1755448.02,1333151.1
2020-09-03,6599295.845,2424212.175,1171828.03
2020-09-04,7263585.19,2889874.075,1716282.22
2020-09-07,4546356.15,2088840.965,1116770.37
2020-09-08,6002527.13,2751731.14,1184907.68
2020-09-09,6163481.15,2770834.775,1391626.0
2020-09-10,6770087.065,3631550.93,2630281.82
2020-09-11,5768317.0,2827909.53,2107268.63
2020-09-14,6790624.35,2177526.97,1946983.3
2020-09-15,5985198.85,2345928.945,893615.24
2020-09-16,6628215.265,2851617.855,1801841.39
2020-09-17,6477645.955,2781498.965,1519398.18
2020-09-18,5714233.13,2587268.4,1443010.87
2020-09-21,6813707.525,2194201.27,1495901.79
2020-09-22,6955751.72,2493472.79,1490573.47
2020-09-23,7862547.72,2879429.325,1774169.46
2020-09-24,6207705.955,2490801.025,1345610.34
2020-09-25,7182674.155,2756519.18,1521265.85
2020-09-28,6677964.325,2038729.09,944954.0
2020-09-29,4480921.155,1372114.615,863746.48
2020-09-30,4993205.205,1591876.31,731775.5
2020-10-09,4948402.1,1828967.195,870342.74
2020-10-12,4272081.93,1517102.685,1219986.85
2020-10-13,5223887.11,1771870.89,1150566.46
2020-10-14,4557748.11,1530048.33,955034.31
2020-10-15,6494740.29,2241073.19,1298764.35
2020-10-16,5782571.165,2324143.235,1245663.79
2020-10-19,5170963.47,1903270.14,1425550.99
2020-10-20,6487087.65,2174558.86,1528383.8
2020-10-21,5180485.425,1878566.46,1404164.45
2020-10-22,5427613.255,2642919.85,1557532.95
2020-10-23,6330584.495,2422789.21,1690955.51
2020-10-26,6308142.655,1912830.75,1529985.53
2020-10-27,5848208.59,2029254.005,1582999.99
2020-10-28,5805746.135,1912354.31,1326717.25
2020-10-29,7165242.58,2714085.645,1615229.67
2020-10-30,5889445.41,2259285.03,1445652.22
2020-11-02,5449283.22,1978050.25,1372811.08
2020-11-03,5231617.825,1995217.455,1321959.69
2020-11-04,5891094.355,2047745.91,1329376.33
2020-11-05,7171787.485,2446842.105,1348698.79
2020-11-06,6608476.435,2159141.25,1383019.36
2020-11-09,5599318.435,2111305.62,1685246.14
2020-11-10,5671467.84,2030156.37,1462610.17
2020-11-11,5772818.79,2557702.035,1249542.7
2020-11-12,4399522.245,2068299.855,1160738.29
2020-11-13,4603528.615,2070555.385,1409366.82
2020-11-16,7391207.84,3163659.635,1807682.59
2020-11-17,4978944.29,2191237.675,1501158.49
2020-11-18,4514536.15,1623181.16,758546.28
2020-11-19,4799494.195,1932909.01,882219.13
2020-11-20,4409289.275,1544297.39,1077023.69
2020-11-23,6608567.205,3046755.155,1510783.65
2020-11-24,5488306.725,2335452.38,615111.25
2020-11-25,4741156.535,2300600.395,877395.98
2020-11-26,6118057.005,2713940.795,697689.82
2020-11-27,4630047.575,2142396.44,481596.63
2020-11-30,5545652.79,2109235.035,2212859.17
2020-12-01,6896171.53,3144262.365,1945956.78
2020-12-02,4989970.755,2126253.9,1005019.96
2020-12-03,5372837.03,2297649.265,1145316.06
2020-12-04,4387903.075,2011636.55,915633.44
2020-12-07,4765840.35,1714018.955,775136.56
2020-12-08,5081096.54,2186774.625,779563.18
2020-12-09,5275872.305,2107308.705,844999.16
2020-12-10,5778703.525,2452524.24,1705847.25
2020-12-11,4743880.585,2480259.405,1454354.59
2020-12-14,6863269.435,3042540.01,1698100.63
2020-12-15,4906316.105,1669084.64,720485.23
2020-12-16,5275398.19,2558381.755,1767301.94
2020-12-17,4319056.96,2039990.35,1443184.92
2020-12-18,4722687.665,2292558.475,1537149.97
2020-12-21,5234119.85,2257684.675,1558967.9
2020-12-22,3960187.77,1851245.935,1319537.09
2020-12-23,5808498.545,2582987.825,1449397.64
2020-12-24,5228229.48,2205326.16,1589176.53
2020-12-25,4651314.205,2213500.23,1515908.54
2020-12-28,4751738.745,1830281.425,972576.97
2020-12-29,4011524.215,1774098.14,957295.84
2020-12-30,4324392.285,1866641.915,1036871.24
2020-12-31,4790690.335,2092260.42,838514.59
2021-01-04,5934170.18,2195632.89,977208.95
2021-01-05,4570529.155,1811213.43,1211169.15
2021-01-06,4603240.485,1736673.07,1296009.85
2021-01-07,5429791.955,2072288.625,1724740.62
2021-01-08,5334640.405,2313952.23,1581313.28
2021-01-11,5655959.055,2346032.875,2016226.09
2021-01-12,6127218.655,2309931.98,1453049.16
2021-01-13,5029267.975,2203476.285,1323427.23
2021-01-14,5333549.24,3103470.525,1971986.32
2021-01-15,6688112.165,3798912.965,3108766.83
2021-01-18,6081668.09,3449259.1,2231201.39
2021-01-19,5626852.5,2626917.26,1837956.24
2021-01-20,4300948.95,1905517.8,1262051.29
2021-01-21,4818630.12,2033438.21,1347271.58
2021-01-22,5528908.045,2326320.295,1411497.34
2021-01-25,5746618.695,2524100.155,1319931.28
2021-01-26,5928615.945,2165844.455,1423882.0
2021-01-27,6663407.49,3274535.93,2083215.18
2021-01-28,5481064.81,2928433.475,2111277.23
2021-01-29,6172362.685,2753762.63,1836563.4
2021-02-01,9236964.5,4416471.325,2488907.41
2021-02-02,4337408.23,2174623.045,1540447.76
2021-02-03,3921017.375,2022950.56,1263864.28
2021-02-04,6984713.305,3092168.41,1644229.07
2021-02-05,5969946.71,2962051.8,1382620.75
2021-02-08,5933638.465,2775884.67,1179510.38
2021-02-09,6139567.13,2318479.665,1333650.31
2021-02-10,4166616.97,1933407.755,1439515.99
2021-02-18,3062302.51,1610675.795,604775.0
2021-02-19,4755415.215,1552878.81,902738.15
2021-02-22,4737986.28,1438429.65,1084187.33
2021-02-23,5169389.525,2221717.835,975186.09
2021-02-24,4123856.645,2409132.62,1181930.54
2021-02-25,4457735.405,2585918.58,389926.86
2021-02-26,4147951.255,1919326.94,1077027.96
2021-03-01,4901183.825,1866711.68,1141650.38
2021-03-02,4792084.58,1985966.54,1383735.02
