Trade_DT,T.CFE,TF.CFE,TS.CFE
2020-07-02,100.16,101.58,101.18
2020-07-03,100.06,101.56,101.2
2020-07-06,99.48,101.18,101.02
2020-07-07,98.94,100.54,100.78
2020-07-08,98.95,100.6,100.82
2020-07-09,98.24,100.11,100.52
2020-07-10,98.66,100.42,100.66
2020-07-13,98.41,100.24,100.55
2020-07-14,98.72,100.44,100.66
2020-07-15,98.7,100.41,100.66
2020-07-16,99.2,100.8,100.78
2020-07-17,99.32,100.92,100.82
2020-07-20,99.1,100.8,100.79
2020-07-21,99.49,101.18,100.94
2020-07-22,99.14,100.87,100.82
2020-07-23,99.76,101.26,100.96
2020-07-24,99.66,101.2,100.92
2020-07-27,99.86,101.27,100.92
2020-07-28,99.5,101.03,100.85
2020-07-29,99.3,100.92,100.82
2020-07-30,99.19,100.89,100.8
2020-07-31,98.92,100.68,100.7
2020-08-03,98.93,100.79,100.72
2020-08-04,99.17,101.02,100.77
2020-08-05,99.34,101.01,100.76
2020-08-06,99.08,100.6,100.6
2020-08-07,98.8,100.49,100.53
2020-08-10,99.03,100.61,100.61
2020-08-11,99.14,100.6,100.6
2020-08-12,99.26,100.66,100.62
2020-08-13,99.33,100.68,100.62
2020-08-14,99.56,100.83,100.7
2020-08-17,99.59,100.4,100.69
2020-08-18,99.5,100.44,100.68
2020-08-19,98.79,100.32,100.66
2020-08-20,98.45,100.02,100.56
2020-08-21,98.24,99.93,100.34
2020-08-24,98.32,100.02,100.37
2020-08-25,97.94,99.8,100.26
2020-08-26,98.08,99.93,100.3
2020-08-27,97.72,99.59,100.16
2020-08-28,97.72,99.54,100.12
2020-08-31,97.88,99.7,100.18
2020-09-01,97.98,99.78,100.19
2020-09-02,97.72,99.59,100.12
2020-09-03,97.62,99.39,100.05
2020-09-04,97.83,99.5,100.1
2020-09-07,97.54,99.35,100.04
2020-09-08,97.86,99.53,100.12
2020-09-09,98.1,99.69,100.15
2020-09-10,98.29,99.9,100.32
2020-09-11,98.19,99.9,100.3
2020-09-14,97.58,99.54,100.2
2020-09-15,97.82,99.84,100.34
2020-09-16,98.16,100.06,100.42
2020-09-17,98.07,100.04,100.42
2020-09-18,98.08,100.02,100.42
2020-09-21,98.13,100.18,100.5
2020-09-22,98.37,100.2,100.44
2020-09-23,98.44,100.26,100.44
2020-09-24,98.54,100.28,100.46
2020-09-25,98.22,100.0,100.36
2020-09-28,98.13,99.95,100.34
2020-09-29,98.17,99.95,100.34
2020-09-30,98.06,99.88,100.32
2020-10-09,97.55,99.48,100.12
2020-10-12,97.54,99.5,100.12
2020-10-13,97.66,99.62,100.16
2020-10-14,97.46,99.5,100.13
2020-10-15,97.52,99.41,100.1
2020-10-16,97.3,99.29,100.04
2020-10-19,97.66,99.54,100.18
2020-10-20,97.68,99.5,100.15
2020-10-21,97.82,99.64,100.18
2020-10-22,98.05,99.91,100.33
2020-10-23,98.06,99.87,100.3
2020-10-26,97.94,99.8,100.25
2020-10-27,98.04,99.79,100.26
2020-10-28,98.29,100.0,100.32
2020-10-29,98.18,99.92,100.3
2020-10-30,98.04,99.84,100.26
2020-11-02,98.09,99.85,100.25
2020-11-03,98.28,99.97,100.29
2020-11-04,98.27,99.89,100.28
2020-11-05,98.44,99.97,100.3
2020-11-06,98.22,99.74,100.18
2020-11-09,97.88,99.56,100.12
2020-11-10,97.87,99.62,100.14
2020-11-11,98.04,99.74,100.18
2020-11-12,97.91,99.62,100.11
2020-11-13,97.86,99.5,100.04
2020-11-16,97.83,99.5,100.08
2020-11-17,97.6,99.32,100.02
2020-11-18,97.28,99.22,99.96
2020-11-19,97.11,99.06,99.87
2020-11-20,96.88,98.91,99.78
2020-11-23,97.26,99.19,99.85
2020-11-24,97.34,99.28,99.86
2020-11-25,97.44,99.34,99.88
2020-11-26,97.48,99.38,99.97
2020-11-27,97.34,99.32,99.94
2020-11-30,97.44,99.46,100.16
2020-12-01,97.58,99.56,100.23
2020-12-02,97.28,99.37,100.16
2020-12-03,97.3,99.36,100.14
2020-12-04,97.32,99.3,100.11
2020-12-07,97.26,99.26,100.08
2020-12-08,97.56,99.44,100.16
2020-12-09,97.54,99.44,100.14
2020-12-10,97.6,99.5,100.24
2020-12-11,97.3,99.36,100.16
2020-12-14,97.18,99.28,100.14
2020-12-15,97.44,99.54,100.28
2020-12-16,97.42,99.6,100.32
2020-12-17,97.38,99.54,100.27
2020-12-18,97.22,99.38,100.22
2020-12-21,97.28,99.51,100.26
2020-12-22,97.5,99.68,100.32
2020-12-23,97.68,99.72,100.34
2020-12-24,97.74,99.77,100.36
2020-12-25,97.66,99.66,100.34
2020-12-28,97.96,99.9,100.42
2020-12-29,97.95,99.8,100.39
2020-12-30,98.16,99.95,100.46
2020-12-31,98.11,99.88,100.41
2021-01-04,97.91,99.76,100.36
2021-01-05,97.91,99.78,100.36
2021-01-06,98.18,99.96,100.49
2021-01-07,98.22,99.99,100.5
2021-01-08,97.93,99.86,100.5
2021-01-11,97.72,99.71,100.42
2021-01-12,97.9,99.86,100.5
2021-01-13,98.0,99.99,100.59
2021-01-14,98.29,100.3,100.7
2021-01-15,98.12,99.94,100.49
2021-01-18,97.78,99.7,100.36
2021-01-19,97.86,99.8,100.42
2021-01-20,97.9,99.82,100.42
2021-01-21,98.09,99.97,100.5
2021-01-22,98.13,99.96,100.46
2021-01-25,98.21,99.94,100.45
2021-01-26,97.98,99.74,100.34
2021-01-27,97.88,99.66,100.27
2021-01-28,97.84,99.68,100.3
2021-01-29,97.72,99.6,100.28
2021-02-01,97.85,99.67,100.31
2021-02-02,97.85,99.74,100.36
2021-02-03,97.52,99.52,100.26
2021-02-04,97.44,99.45,100.22
2021-02-05,97.3,99.4,100.2
2021-02-08,97.12,99.28,100.18
2021-02-09,97.29,99.38,100.24
2021-02-10,96.83,99.33,100.23
2021-02-18,96.46,98.93,100.19
2021-02-19,96.67,99.04,100.24
2021-02-22,96.46,99.0,100.28
2021-02-23,96.7,99.23,100.4
2021-02-24,96.8,99.36,100.45
2021-02-25,96.57,99.2,100.0
2021-02-26,96.55,99.21,100.02
2021-03-01,96.66,99.26,100.05
2021-03-02,96.88,99.26,100.05
2021-03-03,96.91,99.28,100.08
2021-03-04,96.78,99.17,100.02
2021-03-05,96.76,99.22,100.03
2021-03-08,96.96,99.26,100.04
2021-03-09,97.04,99.33,100.05
2021-03-10,97.02,99.28,100.04
2021-03-11,97.06,99.31,100.02
2021-03-12,96.94,99.28,100.02
2021-03-15,96.72,99.13,99.94
2021-03-16,96.84,99.22,100.02
2021-03-17,96.91,99.29,100.06
2021-03-18,96.77,99.17,100.02
2021-03-19,96.97,99.3,100.08
2021-03-22,97.18,99.45,100.14
2021-03-23,97.14,99.45,100.12
2021-03-24,97.42,99.57,100.17
