Trade_DT,T.CFE,TF.CFE,TS.CFE
2020-07-02,100.22,101.63,101.2
2020-07-03,100.12,101.62,101.22
2020-07-06,99.43,101.12,101.01
2020-07-07,98.98,100.56,100.82
2020-07-08,98.86,100.54,100.8
2020-07-09,98.19,100.06,100.52
2020-07-10,98.74,100.45,100.7
2020-07-13,98.48,100.28,100.58
2020-07-14,98.64,100.42,100.66
2020-07-15,98.96,100.62,100.72
2020-07-16,99.24,100.82,100.78
2020-07-17,99.4,100.96,100.86
2020-07-20,99.1,100.76,100.78
2020-07-21,99.56,101.28,100.97
2020-07-22,99.18,100.89,100.82
2020-07-23,99.72,101.22,100.94
2020-07-24,99.91,101.33,100.96
2020-07-27,99.84,101.28,100.93
2020-07-28,99.54,101.04,100.86
2020-07-29,99.38,100.99,100.83
2020-07-30,99.24,100.96,100.82
2020-07-31,99.04,100.86,100.78
2020-08-03,98.96,100.84,100.74
2020-08-04,99.25,101.02,100.76
2020-08-05,99.32,100.96,100.75
2020-08-06,99.1,100.62,100.62
2020-08-07,98.77,100.5,100.53
2020-08-10,99.13,100.66,100.62
2020-08-11,99.1,100.57,100.6
2020-08-12,99.26,100.66,100.62
2020-08-13,99.34,100.68,100.62
2020-08-14,99.58,100.84,100.7
2020-08-17,99.7,100.44,100.7
2020-08-18,99.52,100.42,100.68
2020-08-19,98.8,100.32,100.64
2020-08-20,98.32,100.0,100.56
2020-08-21,98.33,99.98,100.35
2020-08-24,98.38,100.08,100.39
2020-08-25,98.0,99.89,100.26
2020-08-26,98.14,99.98,100.3
2020-08-27,97.85,99.67,100.18
2020-08-28,97.69,99.54,100.12
2020-08-31,97.92,99.72,100.18
2020-09-01,98.1,99.84,100.21
2020-09-02,97.69,99.58,100.14
2020-09-03,97.6,99.38,100.04
2020-09-04,97.84,99.5,100.1
2020-09-07,97.68,99.44,100.07
2020-09-08,97.9,99.54,100.12
2020-09-09,98.1,99.68,100.16
2020-09-10,98.35,99.98,100.35
2020-09-11,98.15,99.88,100.3
2020-09-14,97.64,99.62,100.24
2020-09-15,97.91,99.9,100.36
2020-09-16,98.11,100.06,100.41
2020-09-17,98.02,99.97,100.36
2020-09-18,98.14,100.09,100.44
2020-09-21,98.22,100.22,100.5
2020-09-22,98.36,100.19,100.43
2020-09-23,98.37,100.21,100.44
2020-09-24,98.56,100.3,100.48
2020-09-25,98.22,100.02,100.36
2020-09-28,98.17,100.0,100.35
2020-09-29,98.2,99.98,100.34
2020-09-30,98.06,99.88,100.32
2020-10-09,97.54,99.48,100.12
2020-10-12,97.5,99.48,100.12
2020-10-13,97.58,99.58,100.16
2020-10-14,97.44,99.48,100.12
2020-10-15,97.42,99.34,100.08
2020-10-16,97.4,99.38,100.1
2020-10-19,97.72,99.59,100.18
2020-10-20,97.76,99.59,100.17
2020-10-21,97.86,99.64,100.18
2020-10-22,98.1,99.94,100.34
2020-10-23,98.12,99.9,100.3
2020-10-26,97.92,99.8,100.25
2020-10-27,98.23,99.94,100.29
2020-10-28,98.3,100.02,100.34
2020-10-29,98.2,99.92,100.3
2020-10-30,98.02,99.82,100.26
2020-11-02,98.18,99.88,100.24
2020-11-03,98.3,99.98,100.3
2020-11-04,98.27,99.89,100.26
2020-11-05,98.48,100.01,100.3
2020-11-06,98.22,99.76,100.19
2020-11-09,97.85,99.56,100.12
2020-11-10,97.9,99.64,100.16
2020-11-11,98.0,99.72,100.18
2020-11-12,97.88,99.6,100.1
2020-11-13,97.85,99.5,100.04
2020-11-16,97.76,99.44,100.06
2020-11-17,97.64,99.35,100.04
2020-11-18,97.26,99.18,99.94
2020-11-19,97.04,99.02,99.86
2020-11-20,97.0,99.0,99.8
2020-11-23,97.28,99.2,99.86
2020-11-24,97.36,99.3,99.86
2020-11-25,97.41,99.3,99.86
2020-11-26,97.44,99.35,99.95
2020-11-27,97.39,99.34,99.94
2020-11-30,97.56,99.56,100.22
2020-12-01,97.54,99.53,100.22
2020-12-02,97.28,99.36,100.15
2020-12-03,97.26,99.32,100.14
2020-12-04,97.32,99.32,100.12
2020-12-07,97.33,99.3,100.11
2020-12-08,97.56,99.44,100.16
2020-12-09,97.6,99.48,100.15
2020-12-10,97.6,99.53,100.24
2020-12-11,97.4,99.43,100.2
2020-12-14,97.21,99.32,100.14
2020-12-15,97.48,99.56,100.29
2020-12-16,97.41,99.58,100.32
2020-12-17,97.27,99.46,100.24
2020-12-18,97.18,99.36,100.21
2020-12-21,97.3,99.55,100.28
2020-12-22,97.56,99.7,100.31
2020-12-23,97.74,99.76,100.35
2020-12-24,97.68,99.73,100.34
2020-12-25,97.63,99.65,100.34
2020-12-28,98.0,99.92,100.44
2020-12-29,98.0,99.84,100.4
2020-12-30,98.16,99.99,100.47
2020-12-31,98.06,99.86,100.41
2021-01-04,97.97,99.84,100.38
2021-01-05,97.98,99.82,100.39
2021-01-06,98.18,99.96,100.46
2021-01-07,98.23,99.98,100.5
2021-01-08,97.96,99.88,100.5
2021-01-11,97.76,99.75,100.43
2021-01-12,97.86,99.84,100.48
2021-01-13,98.0,99.99,100.6
2021-01-14,98.3,100.28,100.68
2021-01-15,98.11,99.94,100.48
2021-01-18,97.88,99.76,100.36
2021-01-19,97.86,99.78,100.4
2021-01-20,97.91,99.82,100.4
2021-01-21,98.07,99.95,100.48
2021-01-22,98.23,100.02,100.48
2021-01-25,98.28,99.99,100.46
2021-01-26,98.04,99.78,100.36
2021-01-27,97.94,99.7,100.3
2021-01-28,97.84,99.66,100.28
2021-01-29,97.78,99.64,100.3
2021-02-01,97.9,99.72,100.34
2021-02-02,97.8,99.72,100.35
2021-02-03,97.49,99.5,100.26
2021-02-04,97.4,99.42,100.2
2021-02-05,97.39,99.46,100.23
2021-02-08,97.12,99.25,100.18
2021-02-09,97.26,99.35,100.26
2021-02-10,96.84,99.32,100.23
2021-02-18,96.51,98.98,100.19
2021-02-19,96.75,99.12,100.28
2021-02-22,96.46,99.03,100.3
2021-02-23,96.68,99.2,100.38
2021-02-24,96.86,99.37,100.47
2021-02-25,96.62,99.23,100.03
2021-02-26,96.55,99.22,100.03
2021-03-01,96.72,99.26,100.06
2021-03-02,96.96,99.34,100.1
2021-03-03,96.88,99.24,100.06
2021-03-04,96.78,99.18,100.02
2021-03-05,96.72,99.18,100.01
2021-03-08,96.96,99.28,100.05
2021-03-09,97.02,99.28,100.04
2021-03-10,96.99,99.26,100.02
2021-03-11,97.06,99.32,100.02
2021-03-12,96.95,99.29,100.02
2021-03-15,96.76,99.14,99.95
2021-03-16,96.85,99.23,100.02
2021-03-17,96.98,99.32,100.08
2021-03-18,96.8,99.2,100.02
2021-03-19,97.04,99.38,100.11
2021-03-22,97.19,99.46,100.14
2021-03-23,97.25,99.5,100.14
2021-03-24,97.48,99.6,100.18
2021-03-25,97.5,99.58,100.18
2021-03-26,97.48,99.57,100.18
2021-03-29,97.37,99.48,100.14
2021-03-30,97.54,99.59,100.2
2021-03-31,97.45,99.56,100.2
2021-04-01,97.4,99.52,100.18
2021-04-02,97.56,99.64,100.22
2021-04-06,97.3,99.47,100.18
2021-04-07,97.29,99.44,100.15
2021-04-08,97.16,99.36,100.09
2021-04-09,97.28,99.45,100.14
2021-04-12,97.4,99.52,100.18
2021-04-13,97.78,99.78,100.3
2021-04-14,97.8,99.82,100.31
2021-04-15,97.77,99.8,100.28
2021-04-16,97.79,99.8,100.28
2021-04-19,97.92,99.88,100.32
2021-04-20,97.93,99.88,100.33
2021-04-21,97.88,99.9,100.36
2021-04-22,97.84,99.86,100.34
2021-04-23,97.86,99.9,100.37
2021-04-26,97.64,99.73,100.3
2021-04-27,97.76,99.84,100.34
2021-04-28,97.73,99.88,100.36
2021-04-29,97.79,99.94,100.39
2021-04-30,97.76,99.88,100.38
2021-05-06,98.12,100.1,100.44
2021-05-07,98.1,100.12,100.48
2021-05-10,97.97,100.14,100.5
2021-05-11,98.16,100.27,100.56
2021-05-12,98.28,100.26,100.56
2021-05-13,98.09,100.08,100.48
2021-05-14,98.36,100.2,100.52
2021-05-17,98.3,100.17,100.52
2021-05-18,97.88,100.16,100.22
2021-05-19,98.04,100.24,100.28
2021-05-20,98.28,99.98,100.33
2021-05-21,98.5,100.11,100.38
2021-05-24,98.54,100.1,100.38
2021-05-25,98.37,100.03,100.32
2021-05-26,98.57,100.14,100.38
2021-05-27,98.46,100.06,100.33
2021-05-28,98.26,99.96,100.28
2021-05-31,98.41,100.0,100.31
2021-06-01,98.52,100.1,100.36
2021-06-02,98.39,100.07,100.33
2021-06-03,98.28,99.98,100.3
2021-06-04,98.27,99.94,100.3
2021-06-07,97.88,99.73,100.16
2021-06-08,97.92,99.76,100.21
2021-06-09,97.8,99.7,100.18
2021-06-10,97.96,99.82,100.22
2021-06-11,97.9,99.76,100.22
