Trade_DT,T.CFE,TF.CFE,TS.CFE
2020-07-02,100.16,101.58,101.17
2020-07-03,100.01,101.52,101.18
2020-07-06,99.39,101.09,100.99
2020-07-07,98.94,100.53,100.78
2020-07-08,98.82,100.51,100.79
2020-07-09,98.17,100.06,100.52
2020-07-10,98.7,100.42,100.68
2020-07-13,98.38,100.2,100.54
2020-07-14,98.62,100.41,100.64
2020-07-15,98.74,100.48,100.66
2020-07-16,99.16,100.78,100.76
2020-07-17,99.34,100.92,100.84
2020-07-20,99.02,100.74,100.77
2020-07-21,99.51,101.19,100.94
2020-07-22,99.12,100.86,100.82
2020-07-23,99.67,101.18,100.92
2020-07-24,99.7,101.2,100.94
2020-07-27,99.79,101.22,100.9
2020-07-28,99.48,101.02,100.84
2020-07-29,99.32,100.94,100.82
2020-07-30,99.2,100.94,100.82
2020-07-31,98.89,100.71,100.71
2020-08-03,98.88,100.78,100.72
2020-08-04,99.12,100.94,100.74
2020-08-05,99.3,100.95,100.74
2020-08-06,99.04,100.58,100.6
2020-08-07,98.74,100.48,100.52
2020-08-10,99.03,100.62,100.61
2020-08-11,99.03,100.51,100.58
2020-08-12,99.2,100.61,100.61
2020-08-13,99.26,100.63,100.6
2020-08-14,99.52,100.8,100.68
2020-08-17,99.63,100.4,100.68
2020-08-18,99.48,100.41,100.68
2020-08-19,98.76,100.28,100.64
2020-08-20,98.32,99.97,100.56
2020-08-21,98.22,99.9,100.32
2020-08-24,98.27,99.99,100.36
2020-08-25,97.96,99.86,100.26
2020-08-26,98.09,99.92,100.29
2020-08-27,97.65,99.53,100.15
2020-08-28,97.65,99.49,100.12
2020-08-31,97.88,99.7,100.17
2020-09-01,97.98,99.78,100.19
2020-09-02,97.68,99.56,100.13
2020-09-03,97.54,99.32,100.03
2020-09-04,97.79,99.47,100.09
2020-09-07,97.58,99.37,100.05
2020-09-08,97.84,99.5,100.12
2020-09-09,98.06,99.64,100.14
2020-09-10,98.28,99.91,100.32
2020-09-11,98.12,99.86,100.3
2020-09-14,97.55,99.53,100.19
2020-09-15,97.88,99.88,100.35
2020-09-16,98.07,100.02,100.4
2020-09-17,97.98,99.95,100.36
2020-09-18,98.08,100.03,100.44
2020-09-21,98.14,100.15,100.48
2020-09-22,98.31,100.18,100.42
2020-09-23,98.32,100.18,100.44
2020-09-24,98.54,100.28,100.48
2020-09-25,98.2,100.01,100.36
2020-09-28,98.12,99.94,100.34
2020-09-29,98.15,99.92,100.34
2020-09-30,98.04,99.86,100.31
2020-10-09,97.5,99.44,100.11
2020-10-12,97.48,99.46,100.1
2020-10-13,97.56,99.56,100.16
2020-10-14,97.42,99.46,100.11
2020-10-15,97.36,99.32,100.07
2020-10-16,97.36,99.34,100.06
2020-10-19,97.62,99.53,100.16
2020-10-20,97.7,99.54,100.16
2020-10-21,97.8,99.6,100.17
2020-10-22,98.04,99.9,100.32
2020-10-23,98.09,99.88,100.3
2020-10-26,97.85,99.76,100.24
2020-10-27,98.12,99.84,100.26
2020-10-28,98.26,99.98,100.32
2020-10-29,98.11,99.87,100.28
2020-10-30,98.0,99.8,100.26
2020-11-02,98.08,99.84,100.23
2020-11-03,98.24,99.94,100.28
2020-11-04,98.26,99.88,100.26
2020-11-05,98.4,99.96,100.29
2020-11-06,98.18,99.72,100.18
2020-11-09,97.82,99.54,100.12
2020-11-10,97.83,99.6,100.14
2020-11-11,97.98,99.72,100.17
2020-11-12,97.85,99.58,100.1
2020-11-13,97.84,99.49,100.03
2020-11-16,97.73,99.42,100.05
2020-11-17,97.61,99.32,100.02
2020-11-18,97.26,99.17,99.94
2020-11-19,97.01,99.0,99.84
2020-11-20,96.79,98.86,99.76
2020-11-23,97.26,99.2,99.86
2020-11-24,97.34,99.28,99.86
2020-11-25,97.37,99.28,99.86
2020-11-26,97.42,99.34,99.94
2020-11-27,97.33,99.3,99.92
2020-11-30,97.42,99.46,100.17
2020-12-01,97.52,99.5,100.2
2020-12-02,97.26,99.34,100.14
2020-12-03,97.25,99.32,100.14
2020-12-04,97.28,99.3,100.11
2020-12-07,97.24,99.24,100.08
2020-12-08,97.54,99.43,100.16
2020-12-09,97.5,99.41,100.12
2020-12-10,97.58,99.52,100.24
2020-12-11,97.32,99.38,100.17
2020-12-14,97.16,99.26,100.12
2020-12-15,97.42,99.52,100.27
2020-12-16,97.4,99.58,100.31
2020-12-17,97.22,99.44,100.22
2020-12-18,97.16,99.34,100.2
2020-12-21,97.24,99.48,100.24
2020-12-22,97.51,99.66,100.3
2020-12-23,97.65,99.7,100.33
2020-12-24,97.68,99.72,100.34
2020-12-25,97.58,99.61,100.32
2020-12-28,97.94,99.88,100.42
2020-12-29,97.92,99.77,100.36
2020-12-30,98.12,99.95,100.45
2020-12-31,98.05,99.85,100.4
2021-01-04,97.92,99.78,100.37
2021-01-05,97.91,99.76,100.36
2021-01-06,98.13,99.9,100.44
2021-01-07,98.12,99.9,100.46
2021-01-08,97.9,99.82,100.48
2021-01-11,97.72,99.72,100.42
2021-01-12,97.84,99.83,100.48
2021-01-13,97.97,99.97,100.58
2021-01-14,98.2,100.22,100.65
2021-01-15,98.08,99.92,100.48
2021-01-18,97.83,99.72,100.36
2021-01-19,97.84,99.76,100.4
2021-01-20,97.88,99.81,100.4
2021-01-21,98.06,99.95,100.48
2021-01-22,98.15,99.97,100.46
2021-01-25,98.22,99.96,100.46
2021-01-26,97.98,99.74,100.33
2021-01-27,97.9,99.67,100.28
2021-01-28,97.78,99.62,100.27
2021-01-29,97.74,99.61,100.29
2021-02-01,97.86,99.68,100.32
2021-02-02,97.77,99.7,100.34
2021-02-03,97.46,99.46,100.24
2021-02-04,97.39,99.4,100.2
2021-02-05,97.35,99.42,100.21
2021-02-08,97.1,99.23,100.17
2021-02-09,97.22,99.33,100.24
2021-02-10,96.84,99.32,100.23
2021-02-18,96.45,98.93,100.18
2021-02-19,96.68,99.06,100.26
2021-02-22,96.44,99.02,100.29
2021-02-23,96.63,99.18,100.38
2021-02-24,96.82,99.35,100.46
2021-02-25,96.58,99.2,100.01
2021-02-26,96.54,99.22,100.02
2021-03-01,96.67,99.24,100.04
2021-03-02,96.91,99.28,100.06
2021-03-03,96.84,99.22,100.06
2021-03-04,96.76,99.17,100.02
2021-03-05,96.68,99.16,100.0
2021-03-08,96.9,99.24,100.02
2021-03-09,97.02,99.28,100.03
2021-03-10,96.97,99.24,100.02
2021-03-11,96.99,99.28,100.0
2021-03-12,96.9,99.26,100.0
2021-03-15,96.72,99.12,99.94
2021-03-16,96.82,99.21,100.01
2021-03-17,96.93,99.28,100.06
2021-03-18,96.77,99.16,100.02
2021-03-19,96.97,99.32,100.08
2021-03-22,97.16,99.44,100.13
2021-03-23,97.15,99.45,100.13
2021-03-24,97.42,99.57,100.16
2021-03-25,97.43,99.54,100.17
2021-03-26,97.46,99.56,100.18
2021-03-29,97.33,99.46,100.14
2021-03-30,97.51,99.56,100.18
2021-03-31,97.41,99.54,100.18
2021-04-01,97.37,99.51,100.18
2021-04-02,97.52,99.62,100.22
2021-04-06,97.28,99.46,100.16
2021-04-07,97.26,99.41,100.14
2021-04-08,97.14,99.36,100.08
2021-04-09,97.24,99.42,100.13
2021-04-12,97.38,99.5,100.17
2021-04-13,97.74,99.74,100.28
2021-04-14,97.74,99.78,100.28
2021-04-15,97.75,99.78,100.28
2021-04-16,97.74,99.77,100.26
2021-04-19,97.84,99.81,100.29
2021-04-20,97.91,99.87,100.33
2021-04-21,97.82,99.86,100.34
2021-04-22,97.82,99.84,100.33
2021-04-23,97.82,99.86,100.36
2021-04-26,97.62,99.72,100.3
2021-04-27,97.72,99.82,100.34
2021-04-28,97.66,99.84,100.34
2021-04-29,97.76,99.92,100.38
2021-04-30,97.74,99.88,100.37
2021-05-06,98.07,100.07,100.44
2021-05-07,98.1,100.12,100.48
2021-05-10,97.85,100.06,100.48
2021-05-11,98.07,100.24,100.55
2021-05-12,98.24,100.24,100.54
2021-05-13,98.05,100.06,100.46
2021-05-14,98.32,100.18,100.52
2021-05-17,98.26,100.14,100.5
2021-05-18,97.83,100.13,100.18
2021-05-19,97.96,100.2,100.24
2021-05-20,98.23,99.96,100.32
2021-05-21,98.45,100.08,100.36
2021-05-24,98.52,100.1,100.38
2021-05-25,98.32,99.99,100.3
2021-05-26,98.52,100.1,100.36
2021-05-27,98.4,100.04,100.32
2021-05-28,98.25,99.96,100.28
2021-05-31,98.36,99.98,100.3
2021-06-01,98.48,100.08,100.34
2021-06-02,98.34,100.04,100.32
2021-06-03,98.26,99.96,100.3
2021-06-04,98.23,99.92,100.28
2021-06-07,97.82,99.69,100.15
2021-06-08,97.9,99.74,100.2
2021-06-09,97.76,99.67,100.16
2021-06-10,97.93,99.78,100.22
2021-06-11,97.88,99.75,100.22
2021-06-15,97.62,99.62,100.16
2021-06-16,97.76,99.7,100.19
2021-06-17,97.78,99.7,100.18
2021-06-18,97.74,99.68,100.17
2021-06-21,98.12,99.88,100.26
2021-06-22,98.24,99.94,100.29
2021-06-23,98.3,99.98,100.33
2021-06-24,98.37,100.08,100.39
2021-06-25,98.26,100.02,100.38
2021-06-28,98.29,100.08,100.4
2021-06-29,98.22,99.98,100.36
2021-06-30,98.36,100.08,100.4
2021-07-01,98.38,100.08,100.4
2021-07-02,98.36,100.08,100.4
2021-07-05,98.33,100.06,100.41
2021-07-06,98.37,100.07,100.41
2021-07-07,98.31,100.04,100.4
2021-07-08,98.97,100.41,100.58
2021-07-09,99.06,100.41,100.57
2021-07-12,99.12,100.52,100.62
2021-07-13,99.44,100.73,100.72
2021-07-14,99.54,100.82,100.74
2021-07-15,99.25,100.64,100.66
2021-07-16,99.26,100.68,100.68
2021-07-19,99.34,100.74,100.72
2021-07-20,99.56,100.86,100.76
2021-07-21,99.52,100.86,100.78
2021-07-22,99.56,100.86,100.79
2021-07-23,99.72,101.0,100.86
2021-07-26,99.82,101.06,100.9
2021-07-27,99.88,101.04,100.86
2021-07-28,99.68,100.88,100.78
2021-07-29,99.88,101.0,100.83
2021-07-30,100.06,101.1,100.85
2021-08-02,100.55,101.38,100.98
2021-08-03,100.28,101.24,100.9
2021-08-04,100.23,101.21,100.89
2021-08-05,100.36,101.28,100.9
2021-08-06,100.45,101.32,100.9
2021-08-09,100.07,101.07,100.81
2021-08-10,99.85,101.0,100.77
2021-08-11,99.79,100.96,100.78
2021-08-12,99.98,101.08,100.8
2021-08-13,99.9,101.05,100.78
2021-08-16,99.62,101.08,100.78
2021-08-17,99.44,100.67,100.76
2021-08-18,99.84,100.86,100.86
2021-08-19,100.13,101.06,100.77
2021-08-20,100.08,101.04,100.76
2021-08-23,99.88,100.92,100.7
2021-08-24,99.86,100.9,100.72
2021-08-25,100.17,101.08,100.78
2021-08-26,99.85,100.9,100.7
2021-08-27,99.86,100.96,100.74
2021-08-30,99.98,101.06,100.78
2021-08-31,100.16,101.16,100.82
2021-09-01,100.38,101.32,100.88
2021-09-02,100.36,101.28,100.86
