Trade_DT,T.CFE,TF.CFE,TS.CFE
2020-07-02,100.18,101.58,101.17
2020-07-03,100.12,101.64,101.2
2020-07-06,99.54,101.14,101.01
2020-07-07,98.85,100.52,100.78
2020-07-08,98.83,100.49,100.78
2020-07-09,98.36,100.13,100.56
2020-07-10,98.6,100.36,100.64
2020-07-13,98.49,100.32,100.57
2020-07-14,98.62,100.37,100.6
2020-07-15,98.66,100.38,100.65
2020-07-16,98.98,100.65,100.74
2020-07-17,99.17,100.78,100.76
2020-07-20,99.17,100.88,100.85
2020-07-21,99.42,101.1,100.9
2020-07-22,99.22,100.96,100.83
2020-07-23,99.54,101.1,100.9
2020-07-24,99.6,101.15,100.91
2020-07-27,99.9,101.3,100.92
2020-07-28,99.57,101.12,100.88
2020-07-29,99.46,101.0,100.84
2020-07-30,99.15,100.9,100.8
2020-07-31,98.91,100.68,100.71
2020-08-03,98.69,100.62,100.66
2020-08-04,99.02,100.88,100.74
2020-08-05,99.28,100.95,100.75
2020-08-06,99.02,100.61,100.61
2020-08-07,98.88,100.51,100.54
2020-08-10,98.94,100.5,100.56
2020-08-11,99.16,100.62,100.6
2020-08-12,99.26,100.66,100.62
2020-08-13,99.26,100.63,100.6
2020-08-14,99.34,100.66,100.64
2020-08-17,99.6,100.38,100.7
2020-08-18,99.5,100.4,100.68
2020-08-19,98.8,100.35,100.68
2020-08-20,98.48,100.07,100.58
2020-08-21,98.32,99.99,100.36
2020-08-24,98.37,100.03,100.36
2020-08-25,98.04,99.81,100.25
2020-08-26,98.09,99.91,100.3
2020-08-27,97.8,99.68,100.2
2020-08-28,97.74,99.54,100.12
2020-08-31,97.9,99.74,100.18
2020-09-01,97.96,99.75,100.18
2020-09-02,97.73,99.59,100.12
2020-09-03,97.61,99.42,100.06
2020-09-04,97.9,99.58,100.12
2020-09-07,97.58,99.3,100.02
2020-09-08,97.82,99.56,100.1
2020-09-09,98.0,99.62,100.13
2020-09-10,98.18,99.78,100.24
2020-09-11,98.22,99.89,100.32
2020-09-14,97.64,99.54,100.21
2020-09-15,97.83,99.82,100.34
2020-09-16,98.14,100.12,100.45
2020-09-17,98.06,100.06,100.42
2020-09-18,97.97,99.94,100.37
2020-09-21,98.08,100.12,100.48
2020-09-22,98.41,100.31,100.5
2020-09-23,98.54,100.37,100.5
2020-09-24,98.55,100.32,100.49
2020-09-25,98.23,100.0,100.36
2020-09-28,98.11,99.9,100.32
2020-09-29,98.24,99.96,100.35
2020-09-30,98.12,99.93,100.34
2020-10-09,97.58,99.47,100.12
2020-10-12,97.36,99.38,100.06
2020-10-13,97.58,99.58,100.14
2020-10-14,97.5,99.5,100.12
2020-10-15,97.6,99.48,100.12
2020-10-16,97.33,99.31,100.06
2020-10-19,97.49,99.42,100.13
2020-10-20,97.74,99.56,100.18
2020-10-21,97.87,99.69,100.2
2020-10-22,97.96,99.84,100.3
2020-10-23,97.97,99.82,100.26
2020-10-26,98.02,99.88,100.29
2020-10-27,98.08,99.82,100.25
2020-10-28,98.36,100.04,100.36
2020-10-29,98.25,99.98,100.32
2020-10-30,98.03,99.84,100.27
2020-11-02,98.02,99.8,100.23
2020-11-03,98.34,100.04,100.33
2020-11-04,98.31,99.96,100.29
2020-11-05,98.36,99.92,100.28
2020-11-06,98.26,99.78,100.18
2020-11-09,97.98,99.58,100.12
2020-11-10,97.79,99.57,100.13
2020-11-11,97.96,99.68,100.16
2020-11-12,97.96,99.66,100.12
2020-11-13,97.77,99.47,100.02
2020-11-16,97.74,99.45,100.08
2020-11-17,97.62,99.31,100.02
2020-11-18,97.3,99.24,99.98
2020-11-19,96.94,98.96,99.86
2020-11-20,96.81,98.8,99.76
2020-11-23,97.24,99.18,99.84
2020-11-24,97.31,99.24,99.87
2020-11-25,97.28,99.2,99.82
2020-11-26,97.47,99.36,99.98
2020-11-27,97.42,99.36,99.96
2020-11-30,97.41,99.44,100.16
2020-12-01,97.57,99.55,100.23
2020-12-02,97.38,99.42,100.18
2020-12-03,97.34,99.38,100.14
2020-12-04,97.36,99.35,100.14
2020-12-07,97.32,99.3,100.1
2020-12-08,97.5,99.42,100.16
2020-12-09,97.52,99.42,100.16
2020-12-10,97.58,99.48,100.2
2020-12-11,97.34,99.37,100.18
2020-12-14,97.26,99.34,100.16
2020-12-15,97.38,99.48,100.24
2020-12-16,97.4,99.55,100.28
2020-12-17,97.34,99.52,100.27
2020-12-18,97.18,99.34,100.18
2020-12-21,97.22,99.44,100.23
2020-12-22,97.45,99.68,100.34
2020-12-23,97.73,99.75,100.33
2020-12-24,97.7,99.74,100.36
2020-12-25,97.68,99.68,100.34
2020-12-28,97.94,99.86,100.41
2020-12-29,97.97,99.82,100.4
2020-12-30,98.02,99.84,100.41
2020-12-31,98.24,99.98,100.46
2021-01-04,98.04,99.82,100.4
2021-01-05,97.88,99.76,100.36
2021-01-06,98.16,99.92,100.46
2021-01-07,98.26,100.02,100.51
2021-01-08,98.02,99.92,100.51
2021-01-11,97.76,99.74,100.42
2021-01-12,97.9,99.83,100.46
2021-01-13,97.92,99.92,100.54
2021-01-14,98.28,100.3,100.76
2021-01-15,98.2,100.08,100.56
2021-01-18,97.8,99.72,100.36
2021-01-19,97.9,99.8,100.4
2021-01-20,97.96,99.87,100.44
2021-01-21,98.06,99.95,100.48
2021-01-22,98.07,99.9,100.42
2021-01-25,98.26,100.0,100.46
2021-01-26,98.0,99.75,100.34
2021-01-27,97.95,99.69,100.3
2021-01-28,97.86,99.7,100.3
2021-01-29,97.78,99.67,100.32
2021-02-01,97.79,99.62,100.28
2021-02-02,97.8,99.69,100.34
2021-02-03,97.56,99.54,100.28
2021-02-04,97.36,99.38,100.2
2021-02-05,97.23,99.32,100.16
2021-02-08,97.22,99.28,100.18
2021-02-09,97.35,99.42,100.26
2021-02-10,96.82,99.34,100.24
2021-02-18,96.42,98.9,100.12
2021-02-19,96.66,99.04,100.24
2021-02-22,96.5,99.02,100.26
2021-02-23,96.65,99.18,100.36
2021-02-24,96.8,99.36,100.46
2021-02-25,96.6,99.24,100.0
2021-02-26,96.66,99.26,100.04
2021-03-01,96.69,99.28,100.07
2021-03-02,96.8,99.2,100.03
2021-03-03,97.0,99.35,100.12
2021-03-04,96.73,99.14,100.0
2021-03-05,96.68,99.16,100.01
2021-03-08,96.92,99.25,100.05
2021-03-09,97.1,99.36,100.08
2021-03-10,97.08,99.32,100.05
2021-03-11,97.12,99.33,100.03
2021-03-12,96.98,99.32,100.02
2021-03-15,96.78,99.14,99.96
2021-03-16,96.82,99.2,99.99
2021-03-17,96.92,99.28,100.05
2021-03-18,96.84,99.22,100.04
