Trade_DT,T.CFE,TF.CFE,TS.CFE
2020-07-02,127.0,185.0,64.0
2020-07-03,252.0,65.0,55.0
2020-07-06,711.0,163.0,35.0
2020-07-07,395.0,339.0,48.0
2020-07-08,76.0,46.0,142.0
2020-07-09,247.0,199.0,43.0
2020-07-10,448.0,323.0,43.0
2020-07-13,129.0,74.0,100.0
2020-07-14,175.0,164.0,42.0
2020-07-15,268.0,123.0,39.0
2020-07-16,181.0,116.0,22.0
2020-07-17,366.0,179.0,56.0
2020-07-20,135.0,177.0,30.0
2020-07-21,528.0,71.0,34.0
2020-07-22,120.0,83.0,26.0
2020-07-23,180.0,140.0,33.0
2020-07-24,293.0,87.0,21.0
2020-07-27,63.0,176.0,35.0
2020-07-28,136.0,96.0,37.0
2020-07-29,219.0,70.0,13.0
2020-07-30,204.0,64.0,22.0
2020-07-31,141.0,103.0,71.0
2020-08-03,116.0,56.0,22.0
2020-08-04,333.0,112.0,22.0
2020-08-05,196.0,58.0,20.0
2020-08-06,110.0,91.0,115.0
2020-08-07,243.0,160.0,27.0
2020-08-10,229.0,233.0,448.0
2020-08-11,219.0,127.0,65.0
2020-08-12,194.0,48.0,144.0
2020-08-13,88.0,93.0,42.0
2020-08-14,228.0,423.0,39.0
2020-08-17,222.0,58.0,80.0
2020-08-18,448.0,103.0,20.0
2020-08-19,310.0,122.0,89.0
2020-08-20,212.0,19.0,46.0
2020-08-21,326.0,178.0,94.0
2020-08-24,277.0,194.0,21.0
2020-08-25,334.0,237.0,31.0
2020-08-26,290.0,63.0,132.0
2020-08-27,682.0,144.0,36.0
2020-08-28,302.0,36.0,44.0
2020-08-31,127.0,180.0,16.0
2020-09-01,255.0,102.0,53.0
2020-09-02,751.0,299.0,14.0
2020-09-03,655.0,315.0,172.0
2020-09-04,99.0,56.0,33.0
2020-09-07,385.0,99.0,122.0
2020-09-08,305.0,353.0,482.0
2020-09-09,725.0,516.0,387.0
2020-09-10,209.0,252.0,297.0
2020-09-11,370.0,249.0,49.0
2020-09-14,571.0,246.0,78.0
2020-09-15,140.0,338.0,79.0
2020-09-16,307.0,63.0,56.0
2020-09-17,343.0,436.0,196.0
2020-09-18,406.0,49.0,125.0
2020-09-21,590.0,208.0,69.0
2020-09-22,181.0,151.0,31.0
2020-09-23,139.0,98.0,56.0
2020-09-24,609.0,37.0,40.0
2020-09-25,139.0,171.0,35.0
2020-09-28,127.0,65.0,63.0
2020-09-29,160.0,109.0,21.0
2020-09-30,180.0,62.0,13.0
2020-10-09,131.0,152.0,79.0
2020-10-12,79.0,49.0,91.0
2020-10-13,60.0,54.0,79.0
2020-10-14,254.0,37.0,68.0
2020-10-15,281.0,447.0,162.0
2020-10-16,684.0,83.0,76.0
2020-10-19,263.0,77.0,55.0
2020-10-20,129.0,36.0,79.0
2020-10-21,102.0,56.0,60.0
2020-10-22,720.0,159.0,30.0
2020-10-23,503.0,127.0,13.0
2020-10-26,128.0,83.0,79.0
2020-10-27,296.0,119.0,104.0
2020-10-28,149.0,175.0,60.0
2020-10-29,497.0,552.0,41.0
2020-10-30,283.0,96.0,142.0
2020-11-02,175.0,48.0,23.0
2020-11-03,262.0,79.0,43.0
2020-11-04,163.0,101.0,61.0
2020-11-05,246.0,86.0,63.0
2020-11-06,166.0,109.0,33.0
2020-11-09,662.0,372.0,32.0
2020-11-10,228.0,303.0,127.0
2020-11-11,117.0,46.0,61.0
2020-11-12,187.0,187.0,22.0
2020-11-13,540.0,346.0,42.0
2020-11-16,184.0,101.0,56.0
2020-11-17,480.0,137.0,37.0
2020-11-18,744.0,320.0,52.0
2020-11-19,208.0,225.0,133.0
2020-11-20,1113.0,373.0,123.0
2020-11-23,456.0,70.0,16.0
2020-11-24,127.0,382.0,157.0
2020-11-25,204.0,222.0,97.0
2020-11-26,144.0,71.0,16.0
2020-11-27,191.0,84.0,16.0
2020-11-30,588.0,89.0,297.0
2020-12-01,128.0,104.0,67.0
2020-12-02,211.0,128.0,92.0
2020-12-03,236.0,125.0,21.0
2020-12-04,54.0,34.0,21.0
2020-12-07,288.0,324.0,71.0
2020-12-08,216.0,146.0,14.0
2020-12-09,140.0,90.0,151.0
2020-12-10,412.0,105.0,192.0
2020-12-11,516.0,272.0,73.0
2020-12-14,245.0,167.0,224.0
2020-12-15,131.0,128.0,109.0
2020-12-16,405.0,73.0,106.0
2020-12-17,174.0,113.0,82.0
2020-12-18,165.0,74.0,45.0
2020-12-21,235.0,62.0,96.0
2020-12-22,503.0,200.0,88.0
2020-12-23,80.0,199.0,31.0
2020-12-24,559.0,105.0,66.0
2020-12-25,438.0,67.0,30.0
2020-12-28,138.0,74.0,57.0
2020-12-29,85.0,74.0,72.0
2020-12-30,253.0,136.0,39.0
2020-12-31,317.0,153.0,12.0
2021-01-04,581.0,136.0,50.0
2021-01-05,105.0,90.0,97.0
2021-01-06,286.0,55.0,189.0
2021-01-07,400.0,167.0,53.0
2021-01-08,464.0,241.0,137.0
2021-01-11,98.0,136.0,77.0
2021-01-12,160.0,144.0,40.0
2021-01-13,160.0,161.0,56.0
2021-01-14,441.0,142.0,58.0
2021-01-15,177.0,169.0,50.0
2021-01-18,1157.0,198.0,82.0
2021-01-19,170.0,172.0,34.0
2021-01-20,89.0,51.0,89.0
2021-01-21,130.0,127.0,35.0
2021-01-22,172.0,78.0,20.0
2021-01-25,101.0,63.0,49.0
2021-01-26,145.0,49.0,35.0
2021-01-27,475.0,255.0,22.0
2021-01-28,407.0,113.0,70.0
2021-01-29,120.0,188.0,75.0
2021-02-01,355.0,123.0,88.0
2021-02-02,484.0,120.0,40.0
2021-02-03,282.0,73.0,32.0
2021-02-04,446.0,122.0,65.0
2021-02-05,820.0,108.0,46.0
2021-02-08,1071.0,299.0,20.0
2021-02-09,770.0,184.0,91.0
2021-02-10,582.0,27.0,32.0
2021-02-18,957.0,306.0,94.0
2021-02-19,724.0,218.0,37.0
2021-02-22,140.0,332.0,122.0
2021-02-23,225.0,101.0,119.0
2021-02-24,154.0,476.0,57.0
2021-02-25,101.0,96.0,121.0
2021-02-26,127.0,54.0,32.0
2021-03-01,334.0,119.0,18.0
2021-03-02,774.0,159.0,87.0
2021-03-03,194.0,66.0,52.0
2021-03-04,329.0,149.0,107.0
2021-03-05,149.0,192.0,90.0
2021-03-08,464.0,88.0,151.0
2021-03-09,114.0,157.0,149.0
2021-03-10,292.0,207.0,385.0
2021-03-11,170.0,591.0,261.0
2021-03-12,132.0,61.0,16.0
2021-03-15,137.0,92.0,50.0
2021-03-16,376.0,275.0,46.0
2021-03-17,242.0,59.0,93.0
2021-03-18,145.0,64.0,36.0
2021-03-19,221.0,142.0,66.0
2021-03-22,341.0,224.0,108.0
2021-03-23,692.0,150.0,12.0
2021-03-24,413.0,74.0,46.0
2021-03-25,94.0,90.0,50.0
2021-03-26,110.0,30.0,14.0
2021-03-29,105.0,83.0,31.0
2021-03-30,99.0,48.0,1.0
2021-03-31,268.0,247.0,56.0
2021-04-01,171.0,106.0,79.0
2021-04-02,573.0,410.0,56.0
2021-04-06,200.0,36.0,9.0
2021-04-07,188.0,322.0,130.0
2021-04-08,190.0,72.0,112.0
2021-04-09,157.0,26.0,22.0
2021-04-12,240.0,66.0,28.0
2021-04-13,286.0,282.0,50.0
2021-04-14,120.0,386.0,42.0
2021-04-15,165.0,31.0,32.0
2021-04-16,384.0,183.0,118.0
2021-04-19,307.0,83.0,74.0
2021-04-20,103.0,118.0,72.0
2021-04-21,368.0,125.0,186.0
2021-04-22,127.0,31.0,44.0
2021-04-23,456.0,207.0,67.0
2021-04-26,291.0,264.0,45.0
2021-04-27,216.0,229.0,52.0
2021-04-28,115.0,83.0,101.0
2021-04-29,314.0,162.0,355.0
2021-04-30,656.0,198.0,7.0
2021-05-06,226.0,224.0,63.0
2021-05-07,158.0,108.0,35.0
2021-05-10,522.0,107.0,18.0
2021-05-11,636.0,588.0,74.0
2021-05-12,271.0,464.0,35.0
2021-05-13,1256.0,640.0,140.0
2021-05-14,272.0,57.0,105.0
2021-05-17,2244.0,458.0,24.0
2021-05-18,245.0,306.0,241.0
2021-05-19,86.0,43.0,16.0
2021-05-20,1028.0,176.0,291.0
2021-05-21,408.0,589.0,49.0
2021-05-24,236.0,117.0,72.0
2021-05-25,339.0,68.0,89.0
2021-05-26,747.0,77.0,34.0
2021-05-27,345.0,101.0,37.0
2021-05-28,159.0,58.0,38.0
2021-05-31,417.0,126.0,37.0
2021-06-01,328.0,121.0,62.0
2021-06-02,226.0,203.0,44.0
2021-06-03,601.0,49.0,88.0
2021-06-04,254.0,205.0,64.0
2021-06-07,124.0,347.0,75.0
2021-06-08,406.0,62.0,76.0
2021-06-09,195.0,284.0,33.0
2021-06-10,519.0,106.0,87.0
2021-06-11,204.0,48.0,29.0
2021-06-15,302.0,192.0,79.0
2021-06-16,797.0,69.0,89.0
2021-06-17,468.0,53.0,83.0
2021-06-18,121.0,153.0,42.0
2021-06-21,192.0,73.0,109.0
2021-06-22,463.0,281.0,200.0
2021-06-23,540.0,50.0,49.0
2021-06-24,185.0,123.0,47.0
2021-06-25,313.0,28.0,141.0
2021-06-28,147.0,252.0,13.0
2021-06-29,161.0,65.0,123.0
2021-06-30,169.0,165.0,110.0
2021-07-01,316.0,134.0,67.0
2021-07-02,118.0,196.0,27.0
2021-07-05,194.0,36.0,22.0
2021-07-06,221.0,87.0,172.0
2021-07-07,369.0,118.0,28.0
2021-07-08,586.0,141.0,21.0
2021-07-09,117.0,117.0,28.0
2021-07-12,266.0,120.0,46.0
2021-07-13,696.0,102.0,52.0
2021-07-14,131.0,237.0,32.0
2021-07-15,366.0,104.0,310.0
2021-07-16,211.0,43.0,30.0
2021-07-19,95.0,55.0,10.0
2021-07-20,301.0,148.0,56.0
2021-07-21,216.0,96.0,53.0
2021-07-22,367.0,94.0,28.0
2021-07-23,392.0,26.0,80.0
2021-07-26,473.0,139.0,35.0
2021-07-27,157.0,92.0,26.0
2021-07-28,200.0,176.0,84.0
2021-07-29,141.0,68.0,21.0
2021-07-30,44.0,79.0,102.0
2021-08-02,231.0,193.0,57.0
2021-08-03,1327.0,163.0,47.0
2021-08-04,220.0,44.0,83.0
