Trade_DT,T.CFE,TF.CFE,TS.CFE
2020-07-02,100.4,101.815,101.27
2020-07-03,100.33,101.71,101.225
2020-07-06,100.21,101.7,101.25
2020-07-07,99.8,101.465,101.17
2020-07-08,99.06,100.67,100.85
2020-07-09,98.995,100.625,100.835
2020-07-10,98.575,100.315,100.665
2020-07-13,98.79,100.495,100.75
2020-07-14,98.615,100.435,100.68
2020-07-15,98.76,100.5,100.695
2020-07-16,99.035,100.695,100.78
2020-07-17,99.36,100.89,100.825
2020-07-20,99.465,101.0,100.88
2020-07-21,99.255,100.905,100.87
2020-07-22,99.57,101.28,100.97
2020-07-23,99.775,101.335,100.98
2020-07-24,99.79,101.3,100.975
2020-07-27,100.075,101.505,101.03
2020-07-28,99.96,101.385,100.96
2020-07-29,99.715,101.2,100.905
2020-07-30,99.58,101.095,100.89
2020-07-31,99.275,100.96,100.83
2020-08-03,99.085,100.875,100.795
2020-08-04,99.115,101.06,100.795
2020-08-05,99.275,101.045,100.785
2020-08-06,99.39,101.065,100.8
2020-08-07,99.115,100.64,100.625
2020-08-10,99.06,100.675,100.6
2020-08-11,99.275,100.745,100.66
2020-08-12,99.245,100.72,100.635
2020-08-13,99.35,100.695,100.635
2020-08-14,99.445,100.74,100.64
2020-08-17,99.615,100.865,100.725
2020-08-18,99.7,100.44,100.72
2020-08-19,99.565,100.475,100.715
2020-08-20,98.83,100.355,100.685
2020-08-21,98.5,100.1,100.61
2020-08-24,98.46,100.17,100.395
2020-08-25,98.51,100.145,100.395
2020-08-26,98.16,99.955,100.325
2020-08-27,98.135,99.975,100.31
2020-08-28,97.915,99.73,100.23
2020-08-31,97.835,99.67,100.16
2020-09-01,98.08,99.855,100.21
2020-09-02,98.12,99.88,100.21
2020-09-03,97.88,99.7,100.17
2020-09-04,97.885,99.565,100.115
2020-09-07,97.925,99.58,100.17
2020-09-08,97.675,99.44,100.07
2020-09-09,97.97,99.59,100.135
2020-09-10,98.29,99.88,100.295
2020-09-11,98.39,100.06,100.39
2020-09-14,98.235,99.93,100.335
2020-09-15,97.765,99.745,100.29
2020-09-16,98.12,100.055,100.405
2020-09-17,98.23,100.185,100.465
2020-09-18,98.105,100.075,100.43
2020-09-21,98.135,100.09,100.45
2020-09-22,98.305,100.28,100.52
2020-09-23,98.56,100.355,100.545
2020-09-24,98.57,100.38,100.5
2020-09-25,98.595,100.35,100.49
2020-09-28,98.325,100.08,100.39
2020-09-29,98.285,100.025,100.365
2020-09-30,98.275,100.015,100.36
2020-10-09,98.185,99.985,100.345
2020-10-12,97.665,99.55,100.18
2020-10-13,97.68,99.615,100.17
2020-10-14,97.665,99.63,100.165
2020-10-15,97.585,99.56,100.155
2020-10-16,97.62,99.495,100.13
2020-10-19,97.515,99.45,100.13
2020-10-20,97.85,99.655,100.195
2020-10-21,97.895,99.66,100.2
2020-10-22,97.985,99.755,100.265
2020-10-23,98.135,99.945,100.355
2020-10-26,98.16,99.925,100.315
2020-10-27,98.13,99.905,100.295
2020-10-28,98.245,99.935,100.29
2020-10-29,98.365,100.05,100.37
2020-10-30,98.285,100.005,100.33
2020-11-02,98.19,99.935,100.3
2020-11-03,98.315,99.99,100.31
2020-11-04,98.39,100.07,100.36
2020-11-05,98.46,99.99,100.305
2020-11-06,98.485,100.01,100.305
2020-11-09,98.275,99.795,100.205
2020-11-10,98.05,99.66,100.145
2020-11-11,98.06,99.76,100.195
2020-11-12,98.045,99.745,100.215
2020-11-13,97.995,99.675,100.125
2020-11-16,97.925,99.57,100.065
2020-11-17,97.85,99.515,100.095
2020-11-18,97.65,99.365,100.04
2020-11-19,97.35,99.28,100.0
2020-11-20,97.14,99.07,99.885
2020-11-23,97.12,99.095,99.83
2020-11-24,97.35,99.275,99.87
2020-11-25,97.365,99.3,99.88
2020-11-26,97.48,99.375,99.925
2020-11-27,97.51,99.42,100.035
2020-11-30,97.47,99.395,99.995
2020-12-01,97.7,99.67,100.265
2020-12-02,97.625,99.68,100.285
2020-12-03,97.405,99.43,100.2
2020-12-04,97.35,99.395,100.16
2020-12-07,97.485,99.43,100.15
2020-12-08,97.385,99.395,100.13
2020-12-09,97.615,99.49,100.185
2020-12-10,97.61,99.545,100.195
2020-12-11,97.67,99.58,100.26
2020-12-14,97.52,99.455,100.215
2020-12-15,97.295,99.375,100.175
2020-12-16,97.495,99.575,100.305
2020-12-17,97.455,99.615,100.33
2020-12-18,97.425,99.58,100.29
2020-12-21,97.3,99.435,100.23
