Trade_DT,T.CFE,TF.CFE,TS.CFE
2020-07-02,100.18,101.555,101.145
2020-07-03,100.13,101.555,101.11
2020-07-06,99.94,101.485,101.165
2020-07-07,98.92,100.5,100.79
2020-07-08,98.485,100.12,100.6
2020-07-09,98.425,100.205,100.615
2020-07-10,98.025,99.96,100.46
2020-07-13,98.46,100.195,100.565
2020-07-14,98.235,100.07,100.43
2020-07-15,98.55,100.25,100.565
2020-07-16,98.49,100.2,100.55
2020-07-17,98.9,100.58,100.715
2020-07-20,99.045,100.7,100.74
2020-07-21,99.02,100.72,100.74
2020-07-22,99.28,101.0,100.85
2020-07-23,99.085,100.845,100.805
2020-07-24,99.52,101.085,100.885
2020-07-27,99.56,101.125,100.9
2020-07-28,99.73,101.15,100.875
2020-07-29,99.455,101.005,100.84
2020-07-30,99.17,100.86,100.79
2020-07-31,99.075,100.84,100.775
2020-08-03,98.78,100.55,100.66
2020-08-04,98.64,100.555,100.59
2020-08-05,98.925,100.77,100.685
2020-08-06,98.955,100.56,100.6
2020-08-07,98.835,100.435,100.515
2020-08-10,98.655,100.39,100.505
2020-08-11,98.84,100.445,100.52
2020-08-12,98.935,100.45,100.565
2020-08-13,98.86,100.47,100.515
2020-08-14,99.16,100.53,100.57
2020-08-17,99.315,100.65,100.63
2020-08-18,99.47,100.32,100.655
2020-08-19,99.29,100.295,100.645
2020-08-20,98.415,100.09,100.565
2020-08-21,98.11,99.895,100.52
2020-08-24,98.19,99.885,100.32
2020-08-25,98.27,99.975,100.3
2020-08-26,97.875,99.72,100.22
2020-08-27,97.7,99.6,100.185
2020-08-28,97.65,99.53,100.15
2020-08-31,97.575,99.48,100.09
2020-09-01,97.785,99.655,100.135
2020-09-02,97.905,99.72,100.17
2020-09-03,97.565,99.43,100.085
2020-09-04,97.475,99.29,100.02
2020-09-07,97.67,99.385,100.06
2020-09-08,97.44,99.26,100.01
2020-09-09,97.68,99.41,100.075
2020-09-10,97.955,99.6,100.125
2020-09-11,98.105,99.745,100.235
2020-09-14,97.855,99.715,100.27
2020-09-15,97.51,98.7,100.155
2020-09-16,97.705,99.715,100.28
2020-09-17,97.95,99.95,100.385
2020-09-18,97.825,99.825,100.315
2020-09-21,97.78,99.875,100.35
2020-09-22,97.91,100.0,100.385
2020-09-23,98.255,100.105,100.415
2020-09-24,98.28,100.135,100.425
2020-09-25,98.26,100.03,100.36
2020-09-28,98.065,99.91,100.33
2020-09-29,98.04,99.865,100.285
2020-09-30,97.985,99.825,100.29
2020-10-09,97.73,99.615,100.2
2020-10-12,97.455,99.42,100.085
2020-10-13,97.325,99.345,100.04
2020-10-14,97.505,99.52,100.125
2020-10-15,97.35,99.39,100.095
2020-10-16,97.285,99.255,100.05
2020-10-19,97.255,99.25,100.02
2020-10-20,97.455,99.405,100.115
2020-10-21,97.625,99.49,100.145
2020-10-22,97.765,99.59,100.165
2020-10-23,97.92,99.755,100.27
2020-10-26,97.92,99.805,100.265
2020-10-27,97.85,99.76,100.205
2020-10-28,97.99,99.75,100.23
2020-10-29,98.005,99.78,100.225
2020-10-30,97.985,99.77,100.225
2020-11-02,97.93,99.755,100.23
2020-11-03,97.965,99.75,100.205
2020-11-04,98.235,99.93,100.275
2020-11-05,98.19,99.835,100.245
2020-11-06,98.27,99.805,100.2
2020-11-09,98.055,99.65,100.145
2020-11-10,97.78,99.525,100.1
2020-11-11,97.625,99.44,100.09
2020-11-12,97.86,99.615,100.12
2020-11-13,97.81,99.54,100.065
2020-11-16,97.555,99.27,99.97
2020-11-17,97.6,99.335,100.015
2020-11-18,97.455,99.26,99.995
2020-11-19,97.01,99.04,99.835
2020-11-20,96.88,98.92,99.82
2020-11-23,96.755,98.755,99.75
2020-11-24,97.175,99.13,99.84
2020-11-25,97.165,99.13,99.79
2020-11-26,97.16,99.1,99.78
2020-11-27,97.275,99.255,99.915
2020-11-30,97.175,99.165,99.895
