Trade_DT,T.CFE,TF.CFE,TS.CFE
2020-07-02,100.19,101.59,101.18
2020-07-03,100.03,101.54,101.19
2020-07-06,99.43,101.14,101.0
2020-07-07,98.97,100.56,100.8
2020-07-08,98.88,100.55,100.8
2020-07-09,98.2,100.08,100.52
2020-07-10,98.75,100.46,100.71
2020-07-13,98.41,100.23,100.55
2020-07-14,98.66,100.43,100.65
2020-07-15,98.76,100.49,100.68
2020-07-16,99.19,100.83,100.78
2020-07-17,99.38,100.94,100.84
2020-07-20,99.07,100.78,100.78
2020-07-21,99.54,101.24,100.96
2020-07-22,99.15,100.89,100.82
2020-07-23,99.7,101.2,100.93
2020-07-24,99.79,101.26,100.95
2020-07-27,99.83,101.26,100.91
2020-07-28,99.51,101.04,100.85
2020-07-29,99.35,100.96,100.82
2020-07-30,99.24,100.95,100.82
2020-07-31,98.93,100.74,100.72
2020-08-03,98.92,100.81,100.73
2020-08-04,99.14,100.97,100.75
2020-08-05,99.32,100.97,100.76
2020-08-06,99.07,100.6,100.61
2020-08-07,98.8,100.52,100.54
2020-08-10,99.08,100.64,100.62
2020-08-11,99.09,100.57,100.59
2020-08-12,99.23,100.63,100.62
2020-08-13,99.3,100.65,100.61
2020-08-14,99.54,100.82,100.7
2020-08-17,99.65,100.42,100.69
2020-08-18,99.5,100.43,100.69
2020-08-19,98.78,100.31,100.64
2020-08-20,98.36,99.99,100.56
2020-08-21,98.23,99.91,100.33
2020-08-24,98.31,100.01,100.37
2020-08-25,97.99,99.89,100.26
2020-08-26,98.1,99.94,100.29
2020-08-27,97.7,99.58,100.16
2020-08-28,97.68,99.52,100.12
2020-08-31,97.89,99.71,100.18
2020-09-01,98.0,99.79,100.19
2020-09-02,97.7,99.58,100.13
2020-09-03,97.57,99.35,100.04
2020-09-04,97.81,99.49,100.09
2020-09-07,97.6,99.38,100.05
2020-09-08,97.87,99.53,100.12
2020-09-09,98.09,99.68,100.16
2020-09-10,98.29,99.94,100.32
2020-09-11,98.14,99.87,100.3
2020-09-14,97.57,99.54,100.2
2020-09-15,97.91,99.9,100.36
2020-09-16,98.12,100.06,100.41
2020-09-17,98.01,99.97,100.37
2020-09-18,98.11,100.06,100.44
2020-09-21,98.16,100.18,100.49
2020-09-22,98.34,100.18,100.43
2020-09-23,98.36,100.2,100.44
2020-09-24,98.56,100.31,100.48
2020-09-25,98.23,100.03,100.36
2020-09-28,98.16,99.96,100.34
2020-09-29,98.17,99.94,100.34
2020-09-30,98.06,99.88,100.32
2020-10-09,97.52,99.46,100.12
2020-10-12,97.53,99.49,100.11
2020-10-13,97.61,99.6,100.16
2020-10-14,97.43,99.47,100.12
2020-10-15,97.4,99.34,100.08
2020-10-16,97.38,99.36,100.08
2020-10-19,97.66,99.55,100.17
2020-10-20,97.73,99.56,100.17
2020-10-21,97.82,99.62,100.17
2020-10-22,98.06,99.91,100.33
2020-10-23,98.12,99.9,100.31
2020-10-26,97.88,99.78,100.24
2020-10-27,98.16,99.86,100.27
2020-10-28,98.27,100.0,100.33
2020-10-29,98.14,99.89,100.29
2020-10-30,98.01,99.82,100.26
2020-11-02,98.11,99.86,100.24
2020-11-03,98.26,99.95,100.29
2020-11-04,98.3,99.91,100.27
2020-11-05,98.43,99.98,100.3
2020-11-06,98.21,99.74,100.18
2020-11-09,97.83,99.56,100.12
2020-11-10,97.85,99.61,100.15
2020-11-11,98.0,99.72,100.18
2020-11-12,97.89,99.61,100.1
2020-11-13,97.88,99.51,100.04
2020-11-16,97.77,99.45,100.06
2020-11-17,97.63,99.34,100.03
2020-11-18,97.27,99.19,99.94
2020-11-19,97.05,99.02,99.85
2020-11-20,96.87,98.92,99.77
2020-11-23,97.29,99.21,99.86
2020-11-24,97.35,99.29,99.86
2020-11-25,97.39,99.3,99.86
2020-11-26,97.45,99.36,99.95
2020-11-27,97.35,99.31,99.93
2020-11-30,97.46,99.5,100.18
2020-12-01,97.54,99.53,100.22
2020-12-02,97.27,99.36,100.15
2020-12-03,97.27,99.34,100.14
2020-12-04,97.31,99.31,100.11
2020-12-07,97.27,99.26,100.09
2020-12-08,97.55,99.44,100.16
2020-12-09,97.52,99.43,100.13
2020-12-10,97.6,99.52,100.25
2020-12-11,97.36,99.4,100.18
2020-12-14,97.18,99.29,100.13
2020-12-15,97.43,99.53,100.28
2020-12-16,97.41,99.58,100.31
2020-12-17,97.26,99.46,100.24
2020-12-18,97.17,99.35,100.2
2020-12-21,97.26,99.49,100.25
2020-12-22,97.52,99.68,100.31
2020-12-23,97.67,99.72,100.34
2020-12-24,97.69,99.74,100.34
2020-12-25,97.6,99.63,100.33
2020-12-28,97.96,99.89,100.43
2020-12-29,97.93,99.78,100.37
2020-12-30,98.14,99.96,100.46
2020-12-31,98.08,99.87,100.41
2021-01-04,97.94,99.8,100.37
2021-01-05,97.93,99.78,100.37
2021-01-06,98.16,99.94,100.46
2021-01-07,98.16,99.93,100.47
2021-01-08,97.92,99.85,100.48
2021-01-11,97.75,99.74,100.43
2021-01-12,97.86,99.84,100.48
2021-01-13,98.0,99.98,100.59
2021-01-14,98.22,100.24,100.66
2021-01-15,98.11,99.95,100.49
2021-01-18,97.85,99.75,100.36
2021-01-19,97.85,99.78,100.4
2021-01-20,97.9,99.82,100.41
2021-01-21,98.08,99.96,100.49
2021-01-22,98.19,99.99,100.47
2021-01-25,98.25,99.98,100.46
2021-01-26,98.01,99.76,100.35
2021-01-27,97.94,99.69,100.29
2021-01-28,97.8,99.63,100.27
2021-01-29,97.76,99.63,100.29
2021-02-01,97.88,99.69,100.33
2021-02-02,97.79,99.71,100.35
2021-02-03,97.49,99.48,100.25
2021-02-04,97.4,99.42,100.2
2021-02-05,97.37,99.44,100.23
2021-02-08,97.12,99.26,100.18
2021-02-09,97.24,99.34,100.25
2021-02-10,96.86,99.35,100.24
2021-02-18,96.48,98.95,100.19
2021-02-19,96.7,99.07,100.26
2021-02-22,96.47,99.02,100.29
2021-02-23,96.66,99.19,100.38
2021-02-24,96.84,99.37,100.46
2021-02-25,96.6,99.21,100.02
2021-02-26,96.56,99.23,100.03
2021-03-01,96.68,99.25,100.05
2021-03-02,96.93,99.31,100.07
2021-03-03,96.88,99.24,100.06
2021-03-04,96.79,99.19,100.02
2021-03-05,96.71,99.17,100.01
2021-03-08,96.92,99.25,100.03
2021-03-09,97.04,99.31,100.04
2021-03-10,97.0,99.26,100.02
2021-03-11,97.02,99.29,100.01
2021-03-12,96.93,99.27,100.01
2021-03-15,96.74,99.13,99.95
2021-03-16,96.84,99.22,100.01
2021-03-17,96.95,99.3,100.07
2021-03-18,96.78,99.18,100.02
2021-03-19,96.98,99.33,100.09
2021-03-22,97.17,99.45,100.14
2021-03-23,97.17,99.46,100.13
2021-03-24,97.45,99.58,100.17
2021-03-25,97.46,99.56,100.18
2021-03-26,97.48,99.57,100.18
2021-03-29,97.35,99.47,100.14
2021-03-30,97.52,99.57,100.19
2021-03-31,97.42,99.55,100.19
2021-04-01,97.39,99.52,100.19
2021-04-02,97.54,99.63,100.22
2021-04-06,97.31,99.48,100.17
2021-04-07,97.27,99.42,100.15
2021-04-08,97.16,99.37,100.09
2021-04-09,97.26,99.44,100.14
2021-04-12,97.39,99.51,100.17
2021-04-13,97.75,99.75,100.28
