Trade_DT,T.CFE,TF.CFE,TS.CFE
2020-07-01,100.28,101.8,101.255
2020-07-02,100.295,101.61,101.11
2020-07-03,100.16,101.65,101.2
2020-07-06,99.77,101.43,101.115
2020-07-07,98.6,100.15,100.77
2020-07-08,98.905,100.565,100.81
2020-07-09,98.405,100.24,100.635
2020-07-10,98.49,100.195,100.58
2020-07-13,98.59,100.43,100.65
2020-07-14,98.56,100.29,100.62
2020-07-15,98.6,100.21,100.6
2020-07-16,98.99,100.62,100.755
2020-07-17,99.21,100.865,100.85
2020-07-20,99.17,100.785,100.8
2020-07-21,99.495,101.05,100.85
2020-07-22,99.325,101.01,100.885
2020-07-23,99.7,101.235,100.935
2020-07-24,99.62,101.175,100.925
2020-07-27,99.93,101.385,100.96
2020-07-28,99.625,101.2,100.9
2020-07-29,99.51,101.04,100.865
2020-07-30,99.13,100.84,100.785
2020-07-31,99.055,100.875,100.775
2020-08-03,98.64,100.58,100.59
2020-08-04,98.995,100.9,100.745
2020-08-05,99.235,100.89,100.735
2020-08-06,98.88,100.555,100.58
2020-08-07,98.84,100.45,100.52
2020-08-10,98.865,100.5,100.545
2020-08-11,99.245,100.705,100.635
2020-08-12,99.165,100.6,100.605
2020-08-13,99.175,100.56,100.59
2020-08-14,99.45,100.705,100.65
2020-08-17,99.65,100.375,100.705
2020-08-18,99.495,100.34,100.685
2020-08-19,98.72,100.295,100.665
2020-08-20,98.43,100.06,100.585
2020-08-21,98.195,99.935,100.33
2020-08-24,98.33,100.0,100.36
2020-08-25,98.125,99.78,100.27
2020-08-26,97.99,99.86,100.27
2020-08-27,97.74,99.645,100.19
2020-08-28,97.71,99.565,100.15
2020-08-31,97.805,99.67,100.16
2020-09-01,98.045,99.77,100.19
2020-09-02,97.81,99.67,100.17
2020-09-03,97.58,99.35,100.07
2020-09-04,97.86,99.545,100.15
2020-09-07,97.605,99.3,100.05
2020-09-08,97.685,99.41,100.095
2020-09-09,98.0,99.65,100.15
2020-09-10,98.145,99.785,100.24
2020-09-11,98.21,99.88,100.33
2020-09-14,97.76,98.7,100.235
2020-09-15,97.8,99.76,100.3
2020-09-16,98.1,100.055,100.42
2020-09-17,97.94,99.915,100.385
2020-09-18,97.895,99.905,100.375
2020-09-21,97.94,100.01,100.385
2020-09-22,98.38,100.275,100.5
2020-09-23,98.48,100.29,100.5
2020-09-24,98.455,100.31,100.48
2020-09-25,98.275,100.055,100.34
2020-09-28,98.09,99.9,100.31
2020-09-29,98.265,100.01,100.35
2020-09-30,98.11,99.91,100.33
2020-10-09,97.54,99.5,100.175
2020-10-12,97.425,99.4,100.07
2020-10-13,97.63,99.54,100.135
2020-10-14,97.51,99.56,100.145
2020-10-15,97.445,99.415,100.05
2020-10-16,97.35,99.295,100.075
2020-10-19,97.485,99.425,100.15
2020-10-20,97.74,99.58,100.17
2020-10-21,97.82,99.63,100.165
2020-10-22,97.925,99.755,100.27
2020-10-23,98.045,99.85,100.295
2020-10-26,97.9,99.8,100.25
2020-10-27,98.02,99.75,100.25
2020-10-28,98.315,99.985,100.31
2020-10-29,98.21,99.935,100.31
2020-10-30,98.02,99.8,100.245
2020-11-02,98.03,99.845,100.245
2020-11-03,98.325,100.0,100.33
2020-11-04,98.3,99.985,100.27
2020-11-05,98.345,99.915,100.265
2020-11-06,98.2,99.71,100.205
2020-11-09,98.03,99.61,100.11
2020-11-10,97.695,99.5,100.1
2020-11-11,98.005,99.7,100.165
2020-11-12,97.82,99.635,100.12
2020-11-13,97.8,99.535,100.055
2020-11-16,97.74,99.5,100.015
2020-11-17,97.63,99.36,100.015
2020-11-18,97.35,99.265,100.0
2020-11-19,97.0,98.925,99.88
2020-11-20,96.84,98.84,99.79
2020-11-23,97.215,99.18,99.84
2020-11-24,97.295,99.2,99.86
