Trade_DT,T.CFE,TF.CFE,TS.CFE
2020-07-02,100.21,101.6,101.18
2020-07-03,100.07,101.58,101.19
2020-07-06,99.52,101.18,101.02
2020-07-07,98.83,100.51,100.77
2020-07-08,98.85,100.52,100.79
2020-07-09,98.24,100.07,100.52
2020-07-10,98.59,100.35,100.64
2020-07-13,98.48,100.32,100.57
2020-07-14,98.62,100.37,100.61
2020-07-15,98.63,100.35,100.64
2020-07-16,99.01,100.68,100.75
2020-07-17,99.22,100.82,100.78
2020-07-20,99.18,100.86,100.83
2020-07-21,99.4,101.12,100.92
2020-07-22,99.17,100.91,100.82
2020-07-23,99.61,101.15,100.91
2020-07-24,99.62,101.17,100.92
2020-07-27,99.82,101.21,100.89
2020-07-28,99.59,101.14,100.89
2020-07-29,99.42,100.96,100.83
2020-07-30,99.18,100.92,100.81
2020-07-31,98.86,100.67,100.7
2020-08-03,98.75,100.66,100.68
2020-08-04,99.02,100.9,100.75
2020-08-05,99.34,101.0,100.77
2020-08-06,99.01,100.59,100.6
2020-08-07,98.87,100.52,100.53
2020-08-10,98.98,100.55,100.57
2020-08-11,99.16,100.62,100.6
2020-08-12,99.25,100.65,100.63
2020-08-13,99.29,100.65,100.61
2020-08-14,99.34,100.67,100.64
2020-08-17,99.57,100.37,100.7
2020-08-18,99.5,100.43,100.69
2020-08-19,98.78,100.34,100.67
2020-08-20,98.46,100.07,100.58
2020-08-21,98.3,99.98,100.35
2020-08-24,98.38,100.05,100.37
2020-08-25,97.97,99.78,100.24
2020-08-26,98.09,99.92,100.3
2020-08-27,97.8,99.69,100.2
2020-08-28,97.76,99.57,100.13
2020-08-31,97.91,99.73,100.18
2020-09-01,97.94,99.74,100.18
2020-09-02,97.74,99.6,100.13
2020-09-03,97.57,99.39,100.06
2020-09-04,97.85,99.53,100.11
2020-09-07,97.54,99.28,100.02
2020-09-08,97.82,99.55,100.11
2020-09-09,98.01,99.62,100.13
2020-09-10,98.18,99.81,100.25
2020-09-11,98.22,99.9,100.31
