Trade_DT,T.CFE,TF.CFE,TS.CFE
2020-07-02,2723.0,880.0,336.0
2020-07-03,2248.0,1099.0,332.0
2020-07-06,3590.0,679.0,336.0
2020-07-07,5433.0,2656.0,332.0
2020-07-08,2510.0,1132.0,237.0
2020-07-09,4419.0,1798.0,468.0
2020-07-10,5480.0,2558.0,597.0
2020-07-13,3046.0,806.0,521.0
2020-07-14,4533.0,1811.0,649.0
2020-07-15,4608.0,1526.0,401.0
2020-07-16,4526.0,1483.0,316.0
2020-07-17,4593.0,1805.0,421.0
2020-07-20,3465.0,1210.0,177.0
2020-07-21,3689.0,1505.0,416.0
2020-07-22,1795.0,1261.0,312.0
2020-07-23,2892.0,1397.0,353.0
2020-07-24,3015.0,924.0,270.0
2020-07-27,2930.0,1025.0,369.0
2020-07-28,3347.0,1303.0,236.0
2020-07-29,3607.0,1131.0,381.0
2020-07-30,2932.0,952.0,211.0
2020-07-31,4591.0,1354.0,407.0
2020-08-03,3172.0,636.0,164.0
2020-08-04,2891.0,950.0,202.0
2020-08-05,3625.0,739.0,164.0
2020-08-06,3444.0,1248.0,567.0
2020-08-07,3353.0,1066.0,202.0
2020-08-10,3656.0,1087.0,670.0
2020-08-11,3120.0,901.0,537.0
2020-08-12,2855.0,967.0,704.0
2020-08-13,2641.0,655.0,195.0
2020-08-14,2747.0,1586.0,638.0
2020-08-17,2584.0,707.0,731.0
2020-08-18,2568.0,906.0,362.0
2020-08-19,1520.0,424.0,237.0
2020-08-20,2031.0,589.0,281.0
2020-08-21,2099.0,973.0,248.0
2020-08-24,2075.0,775.0,492.0
2020-08-25,3787.0,2645.0,586.0
2020-08-26,2236.0,871.0,609.0
2020-08-27,4054.0,1103.0,238.0
2020-08-28,2983.0,1086.0,441.0
2020-08-31,1689.0,914.0,181.0
2020-09-01,2169.0,745.0,131.0
2020-09-02,3423.0,1250.0,250.0
2020-09-03,3982.0,1781.0,377.0
2020-09-04,2391.0,1155.0,261.0
2020-09-07,5580.0,1967.0,433.0
2020-09-08,5034.0,1659.0,440.0
2020-09-09,8041.0,3947.0,1021.0
2020-09-10,3635.0,1448.0,695.0
2020-09-11,4674.0,1622.0,489.0
2020-09-14,4867.0,1580.0,377.0
2020-09-15,6274.0,2516.0,825.0
2020-09-16,4212.0,1640.0,657.0
2020-09-17,3777.0,2214.0,1016.0
2020-09-18,3881.0,1065.0,554.0
2020-09-21,4845.0,1535.0,376.0
2020-09-22,3579.0,1032.0,338.0
2020-09-23,2235.0,868.0,232.0
2020-09-24,4393.0,1177.0,219.0
2020-09-25,2106.0,890.0,230.0
2020-09-28,1995.0,746.0,173.0
2020-09-29,1755.0,976.0,170.0
2020-09-30,2045.0,795.0,62.0
2020-10-09,3143.0,716.0,520.0
2020-10-12,2522.0,860.0,432.0
2020-10-13,2515.0,823.0,365.0
2020-10-14,3307.0,768.0,538.0
2020-10-15,5605.0,2673.0,548.0
2020-10-16,4568.0,1307.0,372.0
2020-10-19,2959.0,989.0,390.0
2020-10-20,2865.0,1012.0,370.0
2020-10-21,2241.0,809.0,117.0
2020-10-22,6161.0,1962.0,240.0
2020-10-23,2706.0,707.0,173.0
2020-10-26,2474.0,929.0,246.0
2020-10-27,3560.0,1141.0,508.0
2020-10-28,2192.0,1090.0,331.0
2020-10-29,2771.0,817.0,176.0
2020-10-30,2690.0,1134.0,438.0
2020-11-02,1834.0,616.0,222.0
2020-11-03,2532.0,1159.0,585.0
2020-11-04,4270.0,1384.0,445.0
2020-11-05,3645.0,1181.0,469.0
2020-11-06,1815.0,960.0,525.0
2020-11-09,4406.0,1533.0,368.0
2020-11-10,2305.0,1203.0,724.0
2020-11-11,2260.0,791.0,424.0
2020-11-12,2486.0,769.0,176.0
2020-11-13,3635.0,1520.0,492.0
2020-11-16,2833.0,1075.0,237.0
2020-11-17,1990.0,841.0,142.0
2020-11-18,2565.0,1401.0,584.0
2020-11-19,2927.0,1232.0,533.0
2020-11-20,3794.0,1056.0,453.0
2020-11-23,3026.0,800.0,126.0
2020-11-24,2959.0,1224.0,339.0
2020-11-25,3599.0,1623.0,238.0
2020-11-26,2041.0,1238.0,53.0
2020-11-27,1971.0,841.0,35.0
2020-11-30,4790.0,2015.0,982.0
2020-12-01,2679.0,1255.0,430.0
2020-12-02,3263.0,1279.0,271.0
2020-12-03,2795.0,1041.0,177.0
2020-12-04,1511.0,469.0,70.0
2020-12-07,2320.0,1447.0,177.0
