Year,Ret,Std,MDD,IR,Calmar,Win_Ratio,Turnover
2015,0.053642479212545995,0.026144809868099236,0.011985347681671366,2.051744858087426,4.475671514692806,0.5365853658536586,1.268041237113402
2016,0.07816994974193449,0.031142531164131265,0.014697267578214768,2.510070531195857,5.3186722855752455,0.6012658227848101,1.2950819672131146
2017,0.02886448098641847,0.0315368292632662,0.03323132157406761,0.9152626202672677,0.8685926294590449,0.564935064935065,1.262295081967213
2018,0.046335632610142015,0.019834183628624477,0.011517186333588558,2.3361502281984996,4.023172958052214,0.6013986013986014,1.176954732510288
2019,0.03829278370229678,0.01869971051858855,0.019142203448590966,2.0477741441094306,2.0004376092406155,0.6078431372549019,1.2540983606557377
2020,0.08194309037084221,0.022257317240719637,0.008505429419098265,3.6816247656715695,9.634209671629927,0.5958904109589042,1.2016460905349793
2021,0.026279769596369858,0.016615361226856105,0.008300897992049805,1.5816550261870181,3.165894776871049,0.5961538461538461,1.2839506172839505
2022,0.03241372673697842,0.016741487187765247,0.012342552730422618,1.9361318605354556,2.6261768894114783,0.6111111111111112,1.309090909090909
All,0.048296114595597205,0.023565124352541444,0.03323132157406761,2.0494742091351865,1.4533311438713759,0.5904842820730671,1.2554666666666665
2015,0.04641585161727114,0.030089624350528192,0.022013560629022377,1.5425866098077876,2.108511766882324,0.5947712418300654,1.2540983606557377
2016,0.03793153460791677,0.0179512406481328,0.0073031775191138015,2.113031369331134,5.193839874307142,0.5454545454545454,1.262295081967213
2017,0.03107911989579121,0.015369642317945312,0.008206716446614859,2.022110811225828,3.7870346926158094,0.5751633986928104,1.2540983606557377
2018,0.018629592824831495,0.012804565680669778,0.006767386356281047,1.4549179792138818,2.75284900906252,0.5804195804195804,1.176954732510288
2019,0.03407649358994122,0.013376856052980467,0.009039798374990804,2.5474217151606946,3.7696077032222397,0.6036585365853658,1.3442622950819674
2020,0.05024544735730845,0.019468971039516086,0.011285091586960672,2.580796245231732,4.452373910315838,0.6428571428571429,1.2674897119341564
2021,0.020698881770579297,0.010666728232679997,0.005889870580483736,1.9405089657354793,3.5143186064504826,0.5570469798657718,1.2263374485596708
2022,0.023552393657793397,0.014567626890028567,0.013251068877307537,1.6167625540927903,1.7773957614941451,0.6376811594202898,1.2545454545454544
All,0.032948946269449296,0.017740441744107067,0.022013560629022377,1.857278795235982,1.4967567866331382,0.5918874172185431,1.2550649350649352
2015,,,0.0,,,,
2016,,,0.0,,,,
2017,,,0.0,,,,
2018,0.0035760869444631956,0.005868541188212665,0.0033817782157389287,0.609365569700012,1.057457561178893,0.6086956521739131,0.8679245283018868
2019,0.006468601554198613,0.005234255830768781,0.0024983511691433202,1.2358206712354252,2.5891482486894284,0.5777777777777777,0.661764705882353
2020,0.01407342544898666,0.009065201221574778,0.005980440668973963,1.5524669673622389,2.353242215410386,0.5862068965517241,1.1983471074380165
2021,0.0067078186131930406,0.005196344477822791,0.0032078383391728194,1.2908725820278066,2.0910712772772504,0.626984126984127,1.0543933054393304
2022,0.008026726923301593,0.006131348901472468,0.003304771254279415,1.309129043590056,2.42882980566586,0.5420560747663551,0.9727272727272727
All,0.008813572977260471,0.0067072714352915475,0.007140761597077883,1.314032548449766,1.234262320263868,0.5874439461883408,1.0022471910112358
