Year,Ret,Std,MDD,IR,Calmar,Win_Ratio
2015,0.03732698377943904,0.02158774902681113,0.011039010560773166,1.7290817923202835,3.3813704202874395,0.5029585798816568
2016,0.05771662728584048,0.02949298065341747,0.01209163714537298,1.9569614873480963,4.7732682176893215,0.5135135135135135
2017,0.04042151080181932,0.022824977280394922,0.013815637787214285,1.7709332327151364,2.925779571264347,0.5069124423963134
2018,0.03081032166515776,0.020022713888124388,0.014908934563431231,1.5387685124658141,2.0665676366123167,0.5
2019,0.02366500532260024,0.019339264234067795,0.018410327444152275,1.2236766112803958,1.2854201205485363,0.5213270142180095
2020,0.0398001946170216,0.021554034788814878,0.010750358184235864,1.8465310558780055,3.702220329308088,0.5428571428571428
2021,0.0024271430316864353,0.016515843914068146,0.010947517260988304,0.14695846269284502,0.22170716645824418,0.4840182648401826
2022,-0.016875649115290645,0.019553803139583912,0.019157182841867515,-0.8630366683567698,-0.880904528321845,0.45217391304347826
All,0.02960646606521714,0.021776383069290035,0.02129762503762689,1.3595676550606521,1.390129932934347,0.5060471037555697
2015,0.03887786449702331,0.02279655554860493,0.010732685830348698,1.7054271385048125,3.622379813549447,0.5314009661835749
2016,-0.00030318941667315923,0.019412733010536455,0.020720830337314755,-0.01561806967151921,-0.014632107484957576,0.4772727272727273
2017,-0.0073933780392951,0.020183672001239314,0.019428397863348934,-0.36630490422362855,-0.38054491632799414,0.5185185185185185
2018,0.0012621865869419278,0.011683907268538896,0.008737484516814886,0.1080277819681607,0.144456517721194,0.4975369458128079
2019,0.02140241160626188,0.013082111445454752,0.015225228275899338,1.6360059074177917,1.4057202439546124,0.5350877192982456
2020,0.0497895486564466,0.01910025361447207,0.009097282704288778,2.606748039131876,5.4730132364661,0.6074766355140186
2021,0.0017114381106373257,0.010726144298772375,0.010268100121816781,0.15955762508557736,0.16667524569623238,0.4748858447488584
2022,-0.017304697450248343,0.013476766343548921,0.01907783037246258,-1.2840392872531905,-0.9070579364845585,0.49572649572649574
All,0.012722660928879593,0.017063954669574017,0.02305634575717308,0.7455868920915975,0.5518073446188425,0.5184729064039408
2015,0.0,0.0,0.0,,,
2016,0.0,0.0,0.0,,,
2017,0.0,0.0,0.0,,,
2018,-0.0041381806857297854,0.002802948068165639,0.0051519135183822895,-1.4763672337454243,-0.8032317838730302,0.3698630136986301
2019,0.005284336711355264,0.004658882507599022,0.0030560800000005717,1.1342498341042244,1.7291225070529161,0.37055837563451777
2020,-0.004772362890053841,0.009506715960884394,0.011485255312468912,-0.5019991035484641,-0.4155208360821329,0.46543778801843316
2021,-0.013554305386826478,0.006365318629528665,0.013515696324698179,-2.1293993554302464,-1.0028566091750484,0.4212962962962963
2022,-0.026419200817784174,0.006781051453926117,0.01425457820512599,-3.896033085324532,-1.8533835542242667,0.38524590163934425
All,-0.004158308145762015,0.004970444269566319,0.036086948744857406,-0.8366069349621408,-0.11523025055850966,0.4109090909090909
