Year,Ret,Std,MDD,IR,Calmar,Win_Ratio,Turnover
2015,0.03173018558453269,0.018363097064632225,0.013185395349232909,1.7279321387265225,2.406464481656871,0.5,0.6597938144329898
2016,0.07005098424434943,0.02233939523159247,0.0031898947841929592,3.1357601008501352,21.960280505638142,0.5925925925925926,0.6639344262295082
2017,0.037120179216635546,0.019106271375941113,0.009739341601361029,1.9428269643117182,3.8113643340580814,0.5789473684210527,0.6229508196721312
2018,0.014100225111152073,0.014494019995771115,0.010389522181287414,0.9728305270219071,1.3571581892907465,0.5285714285714286,0.5761316872427984
2019,0.023778444782170376,0.012440134639722251,0.007486926615077993,1.9114298575390076,3.175995439074124,0.6282051282051282,0.639344262295082
2020,0.06214535180304267,0.019175443307630442,0.006836328260303337,3.2408821431686694,9.090457543401405,0.6216216216216216,0.6090534979423867
2021,0.004515772979020016,0.00959798181066239,0.006442989506328822,0.470491929251569,0.700881628719752,0.5915492957746479,0.5843621399176955
2022,0.022831732098068894,0.012579356074225884,0.003369307712393632,1.8150159645173989,6.776386737870468,0.6086956521739131,0.6272727272727272
All,0.03346951973352298,0.016543579827039204,0.013185395349232909,2.0231122939195805,2.538378171229439,0.5831903945111492,0.6218666666666666
2015,0.0022014539820750323,0.024894164709871373,0.02455469605252847,0.08843253058424899,0.08965511026345374,0.5584415584415584,0.6311475409836065
2016,0.03349905268608243,0.016491544578523337,0.00549207221303849,2.0312865496969694,6.0995288092814555,0.5121951219512195,0.6721311475409837
2017,0.023156047968858524,0.012502921634727568,0.006197336042093715,1.852050956197414,3.736451890227895,0.5897435897435898,0.639344262295082
2018,0.002489637060626396,0.00973917998339187,0.008535836569903865,0.25563107621708914,0.2916687825777381,0.5064935064935064,0.6337448559670782
2019,0.02543219989422314,0.009681887590099865,0.006024461686215177,2.6267811578631246,4.221489191709131,0.6091954022988506,0.7131147540983607
2020,0.04071286896707234,0.013311635122985523,0.002426345509621841,3.0584423769828577,16.779501849848934,0.6619718309859155,0.5843621399176955
2021,0.007502529607525888,0.007259571029966935,0.003639717540962706,1.0334673462875479,2.0612944612019173,0.5882352941176471,0.559670781893004
2022,0.007363115931522276,0.011357154067279475,0.00934025443132147,0.6483240332836356,0.7883207021460692,0.5633802816901409,0.6454545454545455
All,0.017926059880476276,0.014159978565891065,0.02455469605252847,1.2659665971286884,0.7300460914738294,0.5728314238952537,0.6348051948051947
2015,,,0.0,,,,
2016,,,0.0,,,,
2017,,,0.0,,,,
2018,-0.003388188733770282,0.005164994438113075,0.0030364552337471817,-0.6559907807002571,-1.115836879830775,0.5,0.5283018867924529
2019,0.006531351282431852,0.0028191514670798173,0.0008047586351845881,2.3167791297135483,8.115913265017344,0.6,0.36764705882352944
2020,0.0075888116427357,0.0070210042300388855,0.004378741949250475,1.0808726777670192,1.7331031905259233,0.6133333333333333,0.6198347107438016
2021,0.002393210263449214,0.0030924577018941273,0.0019951273007110526,0.773886175381922,1.1995276003672983,0.5671641791044776,0.5560165975103735
2022,0.0028030085414021064,0.0043792198930795835,0.002755186379665431,0.6400702887360508,1.0173571421845091,0.47619047619047616,0.5779816513761469
All,0.004194383960202097,0.00484027442428907,0.004984515408830492,0.8665591230022376,0.8414827954531728,0.5573770491803278,0.548314606741573
