Year,Ret,Std,MDD,IR,Calmar,Win_Ratio
2015,0.016344439188019356,0.021078490223100415,0.014395442422092009,0.7754084384140141,1.135389848313124,0.46987951807228917
2016,0.04069344901937606,0.030703961610171623,0.01801069617719131,1.3253484855157946,2.259404557104801,0.4863636363636364
2017,-0.000131257152529978,0.029195219831187606,0.032596215884659774,-0.0044958439528433826,-0.0040267604372981654,0.5023041474654378
2018,0.01441940794203523,0.019761007751060843,0.018372765868330365,0.7296899087173904,0.784825107192508,0.4926829268292683
2019,0.0006913357871205541,0.01900832582137363,0.02157638530157735,0.03637015661543385,0.03204131634922249,0.5144230769230769
2020,0.05065162625617297,0.021892818569908302,0.010256690319320194,2.313618326230213,4.938398711401294,0.5314009661835749
2021,-0.005954325888165324,0.017499248063303822,0.01701801638120748,-0.3402618139148294,-0.34988366180799546,0.4697674418604651
2022,0.005448501239393758,0.019201597026678726,0.019893017779037514,0.28375250411846487,0.27389013069375406,0.49238578680203043
All,0.01538027966935221,0.022798362339695843,0.032596215884659774,0.6746221259310593,0.4718424900538955,0.4954128440366973
2015,0.016120300259644584,0.028129731668636672,0.023037682428248996,0.5730698198453831,0.6997361956807661,0.49760765550239233
2016,0.004598791450506007,0.018625381151010954,0.01295137688166248,0.24690992432422745,0.355081277652982,0.46919431279620855
2017,-0.0006881167016470929,0.014813554808108104,0.014784822864294833,-0.04645182811018842,-0.04654209982514476,0.47641509433962265
2018,-0.011598039492371764,0.011637986585060224,0.018513081491299044,-0.9965675254567022,-0.6264780662161901,0.46464646464646464
2019,-0.0034638339820038722,0.012673647500896399,0.016645858849808848,-0.27330995135842917,-0.20808983262787004,0.45739910313901344
2020,0.014962140303251414,0.01958200263553503,0.01673784959907465,0.7640761050710895,0.8939105477491323,0.5450236966824644
2021,-0.00583202845122768,0.010565012569972143,0.01487887958611056,-0.5520133944566672,-0.39196690970413395,0.4265402843601896
2022,-0.011078955679482763,0.013369539418527216,0.02308241172077652,-0.8286714547645365,-0.4799739218545598,0.4895833333333333
All,0.0005081072667200007,0.017072966762964426,0.041104648674516464,0.029760924025355313,0.012361309075851817,0.47810437912417514
2015,0.0,0.0,0.0,,,
2016,0.0,0.0,0.0,,,
2017,0.0,0.0,0.0,,,
2018,-0.00786368374128491,0.003681316500186668,0.009032857893381818,-2.1361064013067517,-0.8705643146502352,0.32857142857142857
2019,-0.009191427058462867,0.004668901918661561,0.011733378580416898,-1.9686485641784015,-0.7833572398152593,0.2289156626506024
2020,-0.018364850915739153,0.009680399880031623,0.018166046150621784,-1.8971169727834798,-1.010943755370266,0.41148325358851673
2021,-0.02601024711161629,0.0055732774881423535,0.025277539714772757,-4.666957130154638,-1.0289864996796076,0.2926829268292683
2022,-0.02357129256299774,0.005978711012367334,0.022923948152184348,-3.9425375326285317,-1.028238783586313,0.32460732984293195
All,-0.010465448222580283,0.004963741637879463,0.08247256861453123,-2.108378917773645,-0.1268961110147396,0.31985731272294887
