Year,Ret,Std,MDD,IR,Calmar,Win_Ratio,Turnover
2015,0.010438461758780403,0.02563048934986365,0.023441417430453138,0.40726736100479227,0.4452999392954635,0.5052083333333334,1.5802469135802468
2016,0.029197936999751668,0.020454148203852485,0.021803730837386404,1.4274824211087076,1.3391257311655385,0.5643153526970954,1.9754098360655739
2017,-0.05328366971849813,0.024021927824889103,0.05724606006386246,-2.2181262930650782,-0.9307831780747186,0.4560669456066946,1.959016393442623
2018,0.004423214563772495,0.020798051970646277,0.018363571794502542,0.21267446441692145,0.24086896673863098,0.5291666666666667,1.9753086419753085
2019,0.010889566062631624,0.01886240280135862,0.015607969138077604,0.5773159537154657,0.6976926957181865,0.5021097046413502,1.9426229508196722
2020,-0.005366016047510644,0.023760690658998353,0.026182038793241658,-0.22583586161366456,-0.2049502748768277,0.48945147679324896,1.9506172839506173
2021,0.0012114268059044038,0.014959634710857858,0.014327056888568501,0.08097970500744497,0.08455517524125951,0.502127659574468,1.9341563786008231
2022,-0.01902113404511566,0.014237433747296108,0.021922826826512476,-1.3359945607281962,-0.8676405737107024,0.4666666666666667,1.9004524886877827
All,-0.002504786040203918,0.020788634063072346,0.06179800503404298,-0.12048824528848032,-0.04053182685790737,0.5024576734025122,1.9023376623376624
2015,-0.008186907527198988,0.025490805013095388,0.03259532727434433,-0.32117100746693283,-0.2511681339565157,0.5208333333333334,1.9753086419753085
2016,0.02066826854637475,0.013824483835117621,0.01311789812668418,1.495048118460106,1.5755777600019436,0.5327510917030568,1.8770491803278688
2017,-0.035311411823664304,0.015303391289959318,0.042725688627825,-2.307423966008921,-0.8264679390250445,0.4482758620689655,1.901639344262295
2018,0.00372956860686747,0.012375212640492425,0.010772443843994894,0.30137410283069416,0.34621378963572136,0.5276595744680851,1.9341563786008231
2019,0.009556869706329145,0.01087308486323679,0.008164758859135257,0.8789474032932525,1.170502383623529,0.5062761506276151,1.959016393442623
2020,0.0017791194852993417,0.01891008765863095,0.02720946515490541,0.09408309032810407,0.06538605133069278,0.49583333333333335,1.9753086419753085
2021,0.002245311332077282,0.009579323624400386,0.008609222918630421,0.2343914267974036,0.260803019424484,0.508695652173913,1.8930041152263375
2022,-0.017275072585755766,0.010772576387985535,0.01880176939887912,-1.6036156963363333,-0.9188003649691412,0.44651162790697674,1.9457013574660633
All,-0.0026826173827451446,0.015507085736319074,0.043059147320534286,-0.17299300644622084,-0.062300754884336576,0.4989247311827957,1.9324675324675324
2015,0.0,0.0,0.0,,,,0.0
2016,0.0,0.0,0.0,,,,0.0
2017,0.0,0.0,0.0,,,,0.0
2018,0.0013571493974719772,0.002035882087960525,0.0016476645833336523,0.6666149309420576,0.8236806272342836,0.22077922077922077,0.6337448559670782
2019,0.004831283171321816,0.003575971791924576,0.0034237384079713884,1.3510406268394066,1.4111134075177247,0.22842639593908629,1.6147540983606556
2020,-0.001939111139918276,0.008981143832002804,0.013152032905956457,-0.2159091510157735,-0.14743813019507176,0.5260869565217391,1.8930041152263375
2021,0.002847808386023317,0.005296393617269839,0.004208208259928625,0.5376882066955009,0.6767270558210486,0.5067264573991032,1.8353909465020577
2022,-0.0024053859973606393,0.005350135775300016,0.005875072590002306,-0.4495934492850799,-0.409422345087943,0.4925373134328358,1.8190045248868778
All,0.0006222563754675519,0.004370694505746746,0.015211453224915905,0.14237013697694653,0.040907095874857934,0.42564655172413796,0.9641558441558442
