Year,Ret,Std,MDD,IR,Calmar,Win_Ratio,Turnover
2015,0.019757713184764217,0.026388215202765446,0.025225889588075923,0.7487324562478799,0.7832315730939983,0.5416666666666666,1.5737704918032787
2016,-0.014006526231561907,0.020860744789387747,0.023725362022880003,-0.6714298253956537,-0.5903609065292428,0.47717842323651455,1.9754098360655739
2017,-0.020611103331767505,0.025557632151697256,0.03759907607108981,-0.8064559036388957,-0.548181112025131,0.46443514644351463,1.959016393442623
2018,-0.01240986001153725,0.021879736453225017,0.04641453480809721,-0.5671850773005115,-0.2673701258204208,0.45,1.9753086419753085
2019,-0.030144156264033942,0.019240880157826795,0.030737728815385945,-1.5666724191809862,-0.9806891213427946,0.4177215189873418,1.9426229508196722
2020,0.027504617900582656,0.023662048762276375,0.017106575568348936,1.1623937629793224,1.6078389149651007,0.4641350210970464,1.9506172839506173
2021,-0.042848081672517295,0.014902844852679443,0.0501734665094028,-2.875161225664472,-0.8539988295304913,0.39574468085106385,1.9341563786008231
2022,-0.0487462627078779,0.013855646656451184,0.04623333444939892,-3.5181514018460955,-1.0543531693832144,0.38571428571428573,1.9004524886877827
All,-0.01479645662648955,0.021330900225210964,0.1346230079616768,-0.6936630179818495,-0.10991031065582538,0.4483888585472419,1.90134994807892
2015,0.01772732045224019,0.026049351506557378,0.014900315085215166,0.6805282829316388,1.1897278917162042,0.5062240663900415,1.9754098360655739
2016,-0.03326955621734651,0.013768423387865094,0.041398873951792425,-2.416366440813324,-0.8036343272545956,0.462882096069869,1.8770491803278688
2017,-0.033574205872500096,0.01565988304915787,0.03722092795396781,-2.1439627465356828,-0.9020249552623266,0.44396551724137934,1.901639344262295
2018,-0.0032512851252263753,0.012648540435279123,0.0172832412059718,-0.25704824535785475,-0.18811778916231137,0.46808510638297873,1.9341563786008231
2019,-0.04266089600389112,0.010617044033978326,0.041204174960055684,-4.018151932624659,-1.0353537243555444,0.3807531380753138,1.959016393442623
2020,-0.013787202336854269,0.01859228193725056,0.019721886452031323,-0.7415551454838324,-0.699081316099668,0.43333333333333335,1.9753086419753085
2021,-0.03151221064838485,0.009350854166298344,0.03542080496652622,-3.3699820452722733,-0.8896525835074862,0.391304347826087,1.8930041152263375
2022,-0.04585476461622071,0.010258709965428431,0.04146060500226234,-4.4698373158759725,-1.1059839723447982,0.32558139534883723,1.9457013574660633
All,-0.023014222744316352,0.01558886407116079,0.19778962248423726,-1.4763245506061207,-0.11635707907855711,0.4277270284793122,1.9325025960539979
2015,0.0,0.0,0.0,,,,0.0
2016,0.0,0.0,0.0,,,,0.0
2017,0.0,0.0,0.0,,,,0.0
2018,-0.0008190269629970982,0.002261729587813913,0.0023783837977783273,-0.36212417585637774,-0.3443628247729234,0.48484848484848486,0.33165829145728654
2019,-0.034175966733363025,0.004467163214134443,0.017359221197898678,-7.650485351694264,-1.9687500000000002,0.19753086419753085,1.265625
2020,-0.029925011161171848,0.008710874331978388,0.028797233625299068,-3.435362515943376,-1.0391627039786906,0.34210526315789475,1.892116182572614
2021,-0.03632980953781277,0.004774596472322841,0.03778051889239009,-7.608980098822533,-0.9616016561681071,0.26244343891402716,1.83402489626556
2022,-0.038194976265326926,0.004724823951674031,0.03327944665105009,-8.0838940574271,-1.1477046678635725,0.24,1.8181818181818181
All,-0.016415568809956902,0.004409532118321115,0.11571872045608267,-3.722746171130502,-0.1418575036541897,0.28309305373525556,0.8665530948324816
