Year,Ret,Std,MDD,IR,Calmar,Win_Ratio,Turnover
2015,0.07473351773577759,0.029604578326170125,0.013967449773601537,2.5243905490697016,5.350548521536397,0.578125,1.9793814432989691
2016,0.03578059709131226,0.02086226441705977,0.010834245886406801,1.7150869328476765,3.3025461547078625,0.5518672199170125,1.9754098360655739
2017,0.02874477905575645,0.025558494201169752,0.015230696223702656,1.124666376254704,1.887292519892991,0.5313807531380753,1.959016393442623
2018,0.037369264256825,0.02188152572714665,0.01918278663851647,1.7077997541306709,1.9480623415678573,0.5416666666666666,1.9753086419753085
2019,0.018812663414855154,0.019239220887479487,0.011175322547034683,0.9778287553784505,1.6834112246582988,0.5147679324894515,1.9426229508196722
2020,0.07665947493186004,0.023672681697843617,0.00733031812076701,3.238309706958256,10.457864675024329,0.5443037974683544,1.9506172839506173
2021,0.005892584371231536,0.014894394953854978,0.01980073098898516,0.3956242861484221,0.2975942844993697,0.4723404255319149,1.9341563786008231
2022,-0.0008589069645295315,0.013838383820758643,0.0147553508956616,-0.06206699970563794,-0.05820986370321218,0.4857142857142857,1.9004524886877827
All,0.033999918592616724,0.02161506955028485,0.01980073098898516,1.5729728980755773,1.717104212542979,0.5270344074276352,1.9520255863539446
2015,0.06750593513925128,0.026052342965786037,0.011379794753061279,2.5911656094772484,5.932087230403827,0.5560165975103735,1.9754098360655739
2016,0.014036814671002944,0.013760232278435399,0.01446220796995501,1.0201001252719402,0.9705858676741606,0.5502183406113537,1.8770491803278688
2017,0.014339898851328761,0.01565381978744289,0.009676728546362034,0.9160638774461857,1.481895330909106,0.5431034482758621,1.901639344262295
2018,0.04549076686850193,0.012659797693801508,0.005010078462662992,3.593324946320045,9.079851185468732,0.5957446808510638,1.9341563786008231
2019,0.006708737501766873,0.010609799305820152,0.008271419896932919,0.6323152124175151,0.8110744691192021,0.497907949790795,1.959016393442623
2020,0.03599089883996303,0.01859268055210114,0.013160328398791776,1.9357563176061634,2.7348024873959287,0.5541666666666667,1.9753086419753085
2021,0.016191688740152713,0.009341786586877213,0.0069173664934352175,1.7332539755187553,2.340730212215747,0.5130434782608696,1.8930041152263375
2022,0.0031731452678406256,0.010247517387532707,0.00965723973591881,0.3096501472347951,0.32857683505966373,0.4883720930232558,1.9457013574660633
All,0.02568441768383398,0.015589099900924426,0.01446220796995501,1.6475882409548808,1.7759679391413068,0.53788285867813,1.9325025960539979
2015,,,0.0,,,,
2016,,,0.0,,,,
2017,,,0.0,,,,
2018,0.0394819438138501,0.005316990933966832,0.00042467088006803433,7.4256180430222996,92.97068781246526,0.7272727272727273,1.736842105263158
2019,-0.002834103586458978,0.004634810285225242,0.002783316377256595,-0.6114821129774131,-1.0182470126707053,0.5185185185185185,1.5728155339805825
2020,0.017755840074794,0.008703003885548507,0.0036058303919387358,2.04019673072626,4.924202789595789,0.5286343612334802,1.883817427385892
2021,0.009887680808611868,0.004727831094985352,0.0027955207349363853,2.0913777607451736,3.5369728026134175,0.5248868778280543,1.83402489626556
2022,0.007656798202066253,0.004675782949812839,0.003286040953301317,1.6375435481607923,2.3300982278914875,0.535,1.82648401826484
All,0.011338869993675001,0.00614922134451706,0.005670724466747434,1.8439521621359882,1.9995452186338818,0.536745406824147,1.809976247030879
