Year,Ret,Std,MDD,IR,Calmar,Win_Ratio,Turnover
2015,0.00966104018725731,0.013201749505616863,0.006338518966511719,0.7317999923530506,1.5241794239789228,0.4696969696969697,0.5432098765432098
2016,0.02600477646925557,0.016602496354631305,0.008556983398290807,1.5663172521643998,3.0390121446828826,0.5813953488372093,0.3524590163934427
2017,0.01472331477600226,0.011825192901167427,0.00653766070726336,1.2450803043178027,2.252076917917232,0.48,0.4098360655737705
2018,0.004069148676150397,0.00465584713734683,0.0026278852027263877,0.873986743144929,1.5484499368270432,0.5294117647058824,0.13991769547325106
2019,0.0019424292570764789,0.004502840155965277,0.004707971991820381,0.43137868318580785,0.41258301036014033,0.47619047619047616,0.1721311475409837
2020,0.018006353069971948,0.009682652375846592,0.005862286271746342,1.85965088604119,3.0715581319791054,0.5641025641025641,0.32098765432098775
2021,0.0028374616535426153,0.002814926527691193,0.0019585619699094003,1.0080055822522322,1.4487474469209016,0.6153846153846154,0.10699588477366251
2022,0.004781864189591535,0.0021479549465713323,0.0,2.2262404512834753,inf,1.0,0.045248868778280604
All,0.010322016550696839,0.009657144284325653,0.008556983398290807,1.0688477097158349,1.2062681520170513,0.5275590551181102,0.26389610389610385
2015,0.018488985398471932,0.022641706496609362,0.01938259740601911,0.8165897478284463,0.9538961683603008,0.5555555555555556,0.5925925925925926
2016,0.009226997578263875,0.0072426234630840105,0.0023628170833334128,1.273985542020003,3.905083319122875,0.5454545454545454,0.0901639344262295
2017,0.002497653104547988,0.003780144566189498,0.0014434645575520655,0.6607295199468255,1.7303182759012068,0.4,0.12295081967213117
2018,-0.001322208084443055,0.0008763854799919722,0.0012749863671415174,-1.5087060598666773,-1.037037037037037,0.0,0.024691358024691468
2019,0.0014605653591579467,0.0022247274969491235,0.0010829757608694646,0.6565142747419136,1.348659325473116,0.5384615384615384,0.10655737704918034
2020,0.011758060802597246,0.00862663823396608,0.002945296728789515,1.3629945389736717,3.9921481213302683,0.5172413793103449,0.23868312757201648
2021,4.894814814817407e-05,4.8066127289340035e-05,0.0,1.0183501544346314,inf,1.0,0.008230452674897082
2022,0.002107971972405514,0.0013934084198259594,0.0,1.5128170193408228,inf,1.0,0.018099547511312153
All,0.0055707452376531985,0.009131383048074345,0.01938259740601911,0.6100658803080192,0.2874096345788645,0.5273972602739726,0.15168831168831165
2015,0.0,0.0,0.0,,,,0.0
2016,0.0,0.0,0.0,,,,0.0
2017,0.0,0.0,0.0,,,,0.0
2018,-3.0074074074363203e-06,0.00014434318307287797,0.00010145999999988664,-0.02083511907810637,-0.029641310934749462,0.5,0.016460905349794164
2019,-0.0003127433606556926,0.0003062122732884873,0.0003028149999999563,-1.0213286270242088,-1.0327868852459017,0.0,0.016393442622950838
2020,-0.0005404467852284532,0.0017449677417073412,0.0015610501143275002,-0.3097173502472086,-0.3462071974936419,0.5,0.06584362139917688
2021,0.0,0.0,0.0,,,,0.0
2022,0.0,0.0,0.0,,,,0.0
All,-0.00010824350587558968,0.0006305554975081191,0.0015610501143275002,-0.17166372556159645,-0.0693401863797441,0.4166666666666667,0.012467532467532516
