Date,T.CFE,TF.CFE,TS.CFE
2015-01-05,1.0,1.0,1.0
2015-01-06,1.0,1.0,1.0
2015-01-07,1.0,1.0,1.0
2015-01-08,1.0,1.0,1.0
2015-01-09,1.0,1.0,1.0
2015-01-12,1.0,1.0,1.0
2015-01-13,1.0,1.0,1.0
2015-01-14,1.0,1.0,1.0
2015-01-15,1.0,1.0,1.0
2015-01-16,1.0,1.0,1.0
2015-01-19,1.0,1.0,1.0
2015-01-20,1.0,1.0,1.0
2015-01-21,1.0,1.0,1.0
2015-01-22,1.0,1.0,1.0
2015-01-23,1.0,1.0,1.0
2015-01-26,1.0,1.0,1.0
2015-01-27,1.0,1.0,1.0
2015-01-28,1.0,1.0,1.0
2015-01-29,1.0,1.0,1.0
2015-01-30,1.0,1.0,1.0
2015-02-02,1.0,1.0,1.0
2015-02-03,1.0,1.0,1.0
2015-02-04,1.0,1.0,1.0
2015-02-05,1.0,1.0,1.0
2015-02-06,1.0,1.0,1.0
2015-02-09,1.0,1.0,1.0
2015-02-10,1.0,1.0,1.0
2015-02-11,1.0,1.0,1.0
2015-02-12,1.0,1.0,1.0
2015-02-13,1.0,1.0,1.0
2015-02-16,1.0,1.0,1.0
2015-02-17,1.0,1.0,1.0
2015-02-25,1.0,1.0,1.0
2015-02-26,1.0,1.0,1.0
2015-02-27,1.0,1.0,1.0
2015-03-02,1.0,1.0,1.0
2015-03-03,1.0,1.0,1.0
2015-03-04,1.0,1.0,1.0
2015-03-05,1.0,1.0,1.0
2015-03-06,1.0,1.0,1.0
2015-03-09,1.0,1.0,1.0
2015-03-10,1.0,1.0,1.0
2015-03-11,1.0,1.0,1.0
2015-03-12,1.0,1.0,1.0
2015-03-13,1.0,1.0,1.0
2015-03-16,1.0,1.0,1.0
2015-03-17,1.0,1.0,1.0
2015-03-18,1.0,1.0,1.0
2015-03-19,1.0,1.0,1.0
2015-03-20,1.0,1.0,1.0
2015-03-23,1.0,1.0,1.0
2015-03-24,1.0,1.0,1.0
2015-03-25,1.0,1.0,1.0
2015-03-26,1.0,1.0,1.0
2015-03-27,1.0,1.0,1.0
2015-03-30,1.0,1.0,1.0
2015-03-31,1.0,1.0,1.0
2015-04-01,1.0,1.0,1.0
2015-04-02,1.0,1.0,1.0
2015-04-03,1.0,1.0,1.0
2015-04-07,1.0,1.0,1.0
2015-04-08,1.0,1.0,1.0
2015-04-09,1.0,1.0,1.0
2015-04-10,1.0,1.0,1.0
2015-04-13,1.0,1.0,1.0
2015-04-14,1.0,1.0,1.0
2015-04-15,1.0,1.0,1.0
2015-04-16,1.0,1.0,1.0
2015-04-17,1.0,1.0,1.0
2015-04-20,1.0,1.0,1.0
2015-04-21,1.0,1.0,1.0
2015-04-22,1.0,1.0,1.0
2015-04-23,1.0,1.0,1.0
2015-04-24,1.0,1.0,1.0
2015-04-27,1.0,1.0,1.0
2015-04-28,1.0,1.0,1.0
2015-04-29,1.0,1.0,1.0
2015-04-30,1.0,1.0,1.0
2015-05-04,1.0,1.0,1.0
2015-05-05,1.0,1.0,1.0
2015-05-06,1.0,1.0,1.0
2015-05-07,1.0,1.0,1.0
2015-05-08,1.0,1.0,1.0
2015-05-11,1.0,1.0,1.0
2015-05-12,1.0,1.0,1.0
2015-05-13,1.0,1.0,1.0
2015-05-14,1.0,1.0,1.0
2015-05-15,1.0,1.0,1.0
2015-05-18,1.0,1.0,1.0
2015-05-19,1.0,1.0,1.0
2015-05-20,1.0,1.0,1.0
2015-05-21,1.0,1.0,1.0
2015-05-22,1.0,1.0,1.0
2015-05-25,1.0,1.0,1.0
2015-05-26,1.0,1.0,1.0
2015-05-27,1.0,1.0,1.0
2015-05-28,1.0,1.0,1.0
2015-05-29,1.0,1.0,1.0
2015-06-01,1.0,1.0,1.0
2015-06-02,1.0,1.0,1.0
2015-06-03,1.0,1.0,1.0
2015-06-04,1.0,1.0,1.0
2015-06-05,0.9999942092499999,1.0015693789346594,1.0
2015-06-08,0.9994863970277776,1.0011397675804927,1.0
2015-06-09,0.9991878570277777,1.0008399175804927,1.0
2015-06-10,0.9991878570277777,1.0008399175804927,1.0
2015-06-11,0.9991878570277777,0.999879485501841,1.0
2015-06-12,0.9991878570277777,1.000230330501841,1.0
2015-06-15,0.9991878570277777,1.000230330501841,1.0
2015-06-16,1.0004126748433118,0.9997436820242769,1.0
2015-06-17,1.0000145748433118,1.000544322024277,1.0
2015-06-18,0.9993162648433118,1.0008409505307705,1.0
2015-06-19,0.9992180148433119,1.0003914705307704,1.0
2015-06-23,0.9992180148433119,1.0003914705307704,1.0
2015-06-24,0.9992180148433119,1.0003914705307704,1.0
2015-06-25,0.9993606847477704,0.9993353111124881,1.0
2015-06-26,0.9992628847477704,0.999236311112488,1.0
2015-06-29,0.9992628847477704,0.999236311112488,1.0
2015-06-30,0.9990817880811037,0.9992627367841298,1.0
2015-07-01,0.9996339680811036,0.9989637967841299,1.0
2015-07-02,0.9996339680811036,0.9989637967841299,1.0
2015-07-03,0.9999357880811036,0.9991319198276082,1.0
2015-07-06,1.0026372880811036,1.003644725779989,1.0
2015-07-07,1.0020573630064769,1.005494515779989,1.0
2015-07-08,0.9975853264418509,1.005494515779989,1.0
2015-07-09,0.9952837674254573,1.0031481487575171,1.0
2015-07-10,0.9936847674254574,1.001298248757517,1.0
2015-07-13,0.9936847674254574,1.0006797333871467,1.0
2015-07-14,0.9936847674254574,1.0024296033871467,1.0
2015-07-15,0.9936847674254574,1.0039633800538135,1.0
2015-07-16,0.9936847674254574,1.0057557745274976,1.0
2015-07-17,0.9936847674254574,1.0052557845274976,1.0
2015-07-20,0.9936847674254574,1.0052557845274976,1.0
2015-07-21,0.9936847674254574,1.0052557845274976,1.0
2015-07-22,0.9936847674254574,1.0052557845274976,1.0
2015-07-23,0.9936847674254574,1.0050909569468527,1.0
2015-07-24,0.9936847674254574,1.0057405769468526,1.0
2015-07-27,0.9936847674254574,1.0057405769468526,1.0
2015-07-28,0.9936847674254574,1.0057405769468526,1.0
2015-07-29,0.9936847674254574,1.0057405769468526,1.0
2015-07-30,0.9936847674254574,1.0057405769468526,1.0
2015-07-31,0.9936847674254574,1.0057405769468526,1.0
2015-08-03,0.9932486786754575,1.005347685810489,1.0
2015-08-04,0.9925354529936392,1.0042541470226103,1.0
2015-08-05,0.9925867279936393,1.0041543170226102,1.0
2015-08-06,0.9949199143572757,1.0041543170226102,1.0
2015-08-07,0.9949985631708355,1.0041543170226102,1.0
2015-08-10,0.9950496331708356,1.0041543170226102,1.0
2015-08-11,0.9950496331708356,1.0041543170226102,1.0
2015-08-12,0.9950496331708356,1.0041543170226102,1.0
2015-08-13,0.9950496331708356,1.0041543170226102,1.0
2015-08-14,0.9950496331708356,1.0041543170226102,1.0
2015-08-17,0.9950629522406029,1.0041543170226102,1.0
2015-08-18,0.996014527240603,1.0052761322928805,1.0
2015-08-19,0.996014527240603,1.0051748522928805,1.0
2015-08-20,0.9963268325977458,1.0052636462928806,1.0
2015-08-21,0.9970572466412239,1.0059123462928805,1.0
2015-08-24,0.9976668588826032,1.006164371943768,1.0
2015-08-25,0.9992179088826033,1.006962721943768,1.0
2015-08-26,0.9992179088826033,1.0077238339205121,1.0
2015-08-27,0.9992179088826033,1.0091091222131952,1.0
2015-08-28,0.9992179088826033,1.0053093092965284,1.0
2015-08-31,0.9990829968529004,1.0047451132965282,1.0
2015-09-01,0.9999173052529005,1.0053428332965284,1.0
2015-09-02,1.0000673652529004,1.0053428332965284,1.0
2015-09-07,1.0000673652529004,1.0053428332965284,1.0
2015-09-08,1.0000673652529004,1.0053428332965284,1.0
2015-09-09,1.0000673652529004,1.0053428332965284,1.0
2015-09-10,1.001377341945208,1.0064741858881512,1.0
2015-09-11,1.002127861945208,1.0067723908881512,1.0
2015-09-14,1.002127861945208,1.0067723908881512,1.0
2015-09-15,1.0028369834669473,1.0074001700160582,1.0
2015-09-16,1.0029873034669474,1.0075482000160583,1.0
2015-09-17,1.0029873034669474,1.0075482000160583,1.0
2015-09-18,1.0029873034669474,1.0075482000160583,1.0
2015-09-21,1.0029873034669474,1.0075482000160583,1.0
2015-09-22,1.0029873034669474,1.0075482000160583,1.0
2015-09-23,1.0026513081336144,1.0075482000160583,1.0
2015-09-24,1.0024020181336144,1.0075482000160583,1.0
2015-09-25,1.0024020181336144,1.0075482000160583,1.0
2015-09-28,1.0030371566336143,1.0077378958493917,1.0
2015-09-29,1.0028560302169476,1.0077145362905682,1.0
2015-09-30,1.0025558202169476,1.007612376290568,1.0
2015-10-08,1.0025558202169476,1.007612376290568,1.0
2015-10-09,1.0052128172417407,1.00991880810875,1.0
2015-10-12,1.0051116872417407,1.0107158181087499,1.0
2015-10-13,1.009348689358858,1.0135041758441188,1.0
2015-10-14,1.009246969358858,1.0135008858441188,1.0
2015-10-15,1.009246969358858,1.0135008858441188,1.0
2015-10-16,1.009246969358858,1.0135008858441188,1.0
2015-10-19,1.0103246866852467,1.014118485557312,1.0
2015-10-20,1.0157600593620146,1.016739331641228,1.0
2015-10-21,1.0156578943620147,1.0166360316412282,1.0
2015-10-22,1.0187551943620146,1.0166360316412282,1.0
2015-10-23,1.0187028993620144,1.0166360316412282,1.0
2015-10-26,1.0187028993620144,1.0166360316412282,1.0
2015-10-27,1.0187028993620144,1.0166360316412282,1.0
2015-10-28,1.0147890471728254,1.0127298840299717,1.0
2015-10-29,1.0122868971728254,1.0123766940299717,1.0
2015-10-30,1.0117230901965046,1.0111737323274401,1.0
2015-11-02,1.0122711951965047,1.01142078232744,1.0
2015-11-03,1.0122711951965047,1.01142078232744,1.0
2015-11-04,1.0122711951965047,1.01142078232744,1.0
2015-11-05,1.0122711951965047,1.01142078232744,1.0
2015-11-06,1.0122711951965047,1.01142078232744,1.0
2015-11-09,1.0122711951965047,1.01142078232744,1.0
2015-11-10,1.014141186787414,1.01245268636757,1.0
2015-11-11,1.0164193193860611,1.0136564860231958,1.0
2015-11-12,1.0145183243860612,1.013303861023196,1.0
2015-11-13,1.0145183243860612,1.013303861023196,1.0
2015-11-16,1.0149495606010144,1.0144650851898624,1.0
2015-11-17,1.0142985556010142,1.0143623751898625,1.0
2015-11-18,1.0142985556010142,1.0143623751898625,1.0
2015-11-19,1.0127532006559594,1.0133756470999749,1.0
2015-11-20,1.015620201067724,1.0143985365583081,1.0
2015-11-23,1.015718946067724,1.013695896558308,1.0
2015-11-24,1.015718946067724,1.013695896558308,1.0
2015-11-25,1.015718946067724,1.013695896558308,1.0
2015-11-26,1.015718946067724,1.013695896558308,1.0
2015-11-27,1.015718946067724,1.013695896558308,1.0
2015-11-30,1.015718946067724,1.013695896558308,1.0
2015-12-01,1.015718946067724,1.013695896558308,1.0
2015-12-02,1.015718946067724,1.013695896558308,1.0
2015-12-03,1.015718946067724,1.013695896558308,1.0
2015-12-04,1.0130240731691733,1.0123683315281875,1.0
2015-12-07,1.0129222131691733,1.0121153015281876,1.0
2015-12-08,1.0129222131691733,1.0121153015281876,1.0
2015-12-09,1.0129222131691733,1.0121153015281876,1.0
2015-12-10,1.0113193483521001,1.0110312895098392,1.0
2015-12-11,1.0131995645589968,1.0119445443312676,1.0
2015-12-14,1.0108974145589968,1.0112912593312675,1.0
2015-12-15,1.0108119058020906,1.0110934370753752,1.0
2015-12-16,1.0107098208020906,1.0108902470753753,1.0
2015-12-17,1.0104396540020906,1.010804737931949,1.0
2015-12-18,1.011480360841171,1.0123975982286524,1.0
2015-12-21,1.0112850730046326,1.0120143994005273,1.0
2015-12-22,1.0109391690046325,1.0115614828411215,1.0
2015-12-23,1.0107862690046325,1.0113077228411216,1.0
2015-12-24,1.0107862690046325,1.0119798076125164,1.0
2015-12-25,1.0107862690046325,1.0120258326125167,1.0
2015-12-28,1.0107862690046325,1.0120258326125167,1.0
2015-12-29,1.0107862690046325,1.0120258326125167,1.0
2015-12-30,1.0107862690046325,1.0120258326125167,1.0
2015-12-31,1.008949896559624,1.0107465753777218,1.0
2016-01-04,1.008496896559624,1.0105429053777217,1.0
2016-01-05,1.008496896559624,1.0105429053777217,1.0
2016-01-06,1.010227259879624,1.011350038208604,1.0
2016-01-07,1.010774174879624,1.0118463582086041,1.0
2016-01-08,1.0122284566876596,1.0126486560280485,1.0
2016-01-11,1.0109311212794962,1.0120570171088088,1.0
2016-01-12,1.0115778162794964,1.0124531771088088,1.0
2016-01-13,1.0115778162794964,1.0124531771088088,1.0
2016-01-14,1.0115778162794964,1.0124531771088088,1.0
2016-01-15,1.012927709475925,1.0131417739331332,1.0
2016-01-18,1.0124740994759251,1.0126877589331331,1.0
2016-01-19,1.0124740994759251,1.0126877589331331,1.0
2016-01-20,1.0124740994759251,1.0126877589331331,1.0
2016-01-21,1.0124740994759251,1.0126877589331331,1.0
2016-01-22,1.0124740994759251,1.0126877589331331,1.0
2016-01-25,1.0124740994759251,1.0126877589331331,1.0
2016-01-26,1.0120635789307124,1.0123856496684271,1.0
2016-01-27,1.0098108839307123,1.0110822096684273,1.0
2016-01-28,1.0097907935966606,1.011057911100051,1.0
2016-01-29,1.0120375935966606,1.0119542311000513,1.0
2016-02-01,1.0120375935966606,1.01129629197634,1.0
2016-02-02,1.0120375935966606,1.01119253197634,1.0
2016-02-03,1.0130709882066884,1.01119253197634,1.0
2016-02-04,1.0061863877379384,1.01119253197634,1.0
2016-02-05,1.0061838427379384,1.01119253197634,1.0
2016-02-15,1.0075262568288477,1.0116513982263398,1.0
2016-02-16,1.0067731368288475,1.0106477982263398,1.0
2016-02-17,1.00603742200517,1.0100490759391056,1.0
2016-02-18,1.00533470200517,1.0097456359391057,1.0
2016-02-19,1.00533470200517,1.0097456359391057,1.0
2016-02-22,1.00533470200517,1.0097456359391057,1.0
2016-02-23,1.00533470200517,1.0097456359391057,1.0
2016-02-24,1.0033349434757584,1.008799098180485,1.0
2016-02-25,1.0000245787949074,1.0064377172713943,1.0
2016-02-26,0.9999222337949074,1.0074455404917333,1.0
2016-02-29,1.000473685333369,1.0071421554917332,1.0
2016-03-01,1.002271035333369,1.0071421554917332,1.0
2016-03-02,1.002271035333369,1.0071421554917332,1.0
2016-03-03,1.002271035333369,1.0071421554917332,1.0
2016-03-04,1.0011181360425887,1.0067291391455793,1.0
2016-03-07,1.0000661460425888,1.0063757941455793,1.0
2016-03-08,0.9994779526237852,1.0062962794660923,1.0
2016-03-09,1.0013275666978594,1.0064787700494258,1.0
2016-03-10,1.0028752666978593,1.0072752700494256,1.0
2016-03-11,1.0062564545024282,1.0072752700494256,1.0
2016-03-14,1.005153764502428,1.0072752700494256,1.0
2016-03-15,1.005153764502428,1.0072752700494256,1.0
2016-03-16,1.0076148331959567,1.0072752700494256,1.0
2016-03-17,1.0076618331959566,1.0072752700494256,1.0
2016-03-18,1.0076618331959566,1.0072752700494256,1.0
2016-03-21,1.0076618331959566,1.0072752700494256,1.0
