Year,Ret,Std,MDD,IR,Calmar,Win_Ratio,Turnover
2015,0.03404358963306931,0.020748667600457568,0.010706455856874797,1.6407602786175317,3.179725400092071,0.4968944099378882,1.3251028806584362
2016,0.05549546528210987,0.029168872711667827,0.018656911876425486,1.9025577652821377,2.9745257762745223,0.5323383084577115,1.6475409836065573
2017,0.019542780055332873,0.02791226331705682,0.031643785884660325,0.7001503186375622,0.6175866606658609,0.5129533678756477,1.581967213114754
2018,0.020192861026162825,0.017229531195078907,0.01923962198829532,1.1719913210366573,1.049545621969466,0.4682080924855491,1.4238683127572016
2019,0.021035442717693108,0.01736499662926946,0.017930793266830003,1.211370388764542,1.1731462409198796,0.5245901639344263,1.5
2020,0.06055526985191225,0.02045530754316181,0.009576424118258764,2.9603695629673297,6.323369673702665,0.5628415300546448,1.5061728395061729
2021,0.01807172854576842,0.015333251829615601,0.007749790325859429,1.1785972569017324,2.331899030283031,0.4945054945054945,1.4979423868312756
2022,0.018481339162828053,0.018258799653542802,0.01837314913782917,1.012188068958962,1.005888485647576,0.5031055900621118,1.4570135746606336
All,0.031071259200658684,0.021373472683506343,0.031643785884660325,1.4537300353927047,0.9819071369624208,0.5128740431454419,1.492987012987013
2015,0.046840941890269557,0.026790120927889044,0.01950821240099576,1.7484408531171358,2.4010883687056146,0.5561224489795918,1.6131687242798354
2016,0.026984663638244248,0.016115520788400218,0.008272973400542671,1.6744518525065306,3.26178537410433,0.4797687861271676,1.418032786885246
2017,0.011184466077689232,0.011754830349919336,0.00937180618743394,0.9514783067682455,1.193416280064111,0.5428571428571428,1.4344262295081966
2018,0.0027250835437570954,0.009496938616254995,0.00999921964063355,0.2869433671070415,0.2725296214799853,0.47794117647058826,1.1193415637860082
2019,0.013813060566442891,0.010337568103378589,0.00960788864051243,1.3362001999221094,1.437679086766162,0.5664739884393064,1.418032786885246
2020,0.03920484977556885,0.01834534327325253,0.014791415213291748,2.1370463987299404,2.650513775067236,0.5674157303370787,1.4650205761316872
2021,0.010559711744184208,0.007761304794747207,0.005419538479106256,1.3605588265688189,1.9484522132086837,0.5,1.1522633744855968
2022,0.00885373438770511,0.008779464933488737,0.007853512360297188,1.0084594510917262,1.1273598336031743,0.5289256198347108,1.0950226244343892
All,0.020144240186156435,0.014998957078010605,0.01950821240099576,1.3430427249964687,1.032603078748938,0.5301857585139319,1.3423376623376624
2015,0.0,0.0,0.0,,,,0.0
2016,0.0,0.0,0.0,,,,0.0
2017,0.0,0.0,0.0,,,,0.0
2018,0.0025533970457515716,0.002327597536725308,0.0008060449999998109,1.0970096872262292,3.167809546305939,0.4642857142857143,0.2304526748971194
2019,0.005843975350786812,0.002750237202798958,0.0008045300000001365,2.124898661409754,7.263837707463762,0.46153846153846156,0.319672131147541
2020,0.006800693591271733,0.006257315642656689,0.003985285162776631,1.0868388266864446,1.7064509347515673,0.5258620689655172,0.9547325102880659
2021,-0.003654845270076596,0.0020242213893517796,0.003671315081859472,-1.805556096434192,-0.9955139203757651,0.4230769230769231,0.42798353909465026
2022,-0.0018983973439544836,0.001962456941181913,0.0030660482556295054,-0.9673574508142592,-0.6191674708540145,0.45,0.3619909502262444
All,0.0012422341801278398,0.0027501110033791147,0.006617189021267622,0.45170328710422325,0.18772838075734327,0.48,0.2857142857142858
