Date,T.CFE,TF.CFE,TS.CFE
2015-01-05,,524.0,
2015-01-06,,312.0,
2015-01-07,,323.0,
2015-01-08,,189.0,
2015-01-09,,204.0,
2015-01-12,,236.0,
2015-01-13,,583.0,
2015-01-14,,313.0,
2015-01-15,,640.0,
2015-01-16,,512.0,
2015-01-19,,744.0,
2015-01-20,,646.0,
2015-01-21,,478.0,
2015-01-22,,1287.0,
2015-01-23,,423.0,
2015-01-26,,279.0,
2015-01-27,,469.0,
2015-01-28,,793.0,
2015-01-29,,322.0,
2015-01-30,,332.0,
2015-02-02,,299.0,
2015-02-03,,286.0,
2015-02-04,,238.0,
2015-02-05,,610.0,
2015-02-06,,457.0,
2015-02-09,,261.0,
2015-02-10,,566.0,
2015-02-11,,626.0,
2015-02-12,,971.0,
2015-02-13,,335.0,
2015-02-16,,484.0,
2015-02-17,,110.0,
2015-02-25,,427.0,
2015-02-26,,928.0,
2015-02-27,,389.0,
2015-03-02,,1400.0,
2015-03-03,,743.0,
2015-03-04,,808.0,
2015-03-05,,716.0,
2015-03-06,,1232.0,
2015-03-09,,387.0,
2015-03-10,,685.0,
2015-03-11,,441.0,
2015-03-12,,942.0,
2015-03-13,,520.0,
2015-03-16,,888.0,
2015-03-17,,1207.0,
2015-03-18,,714.0,
2015-03-19,,1157.0,
2015-03-20,,639.0,
2015-03-23,39.0,332.0,
2015-03-24,44.0,378.0,
2015-03-25,21.0,389.0,
2015-03-26,17.0,470.0,
2015-03-27,121.0,1291.0,
2015-03-30,19.0,1884.0,
2015-03-31,227.0,1087.0,
2015-04-01,28.0,936.0,
2015-04-02,106.0,1392.0,
2015-04-03,36.0,545.0,
2015-04-07,97.0,730.0,
2015-04-08,37.0,517.0,
2015-04-09,95.0,540.0,
2015-04-10,37.0,526.0,
2015-04-13,45.0,362.0,
2015-04-14,57.0,769.0,
2015-04-15,191.0,1984.0,
2015-04-16,241.0,394.0,
2015-04-17,206.0,465.0,
2015-04-20,416.0,1855.0,
2015-04-21,197.0,587.0,
2015-04-22,133.0,322.0,
2015-04-23,53.0,324.0,
2015-04-24,96.0,247.0,
2015-04-27,136.0,543.0,
2015-04-28,156.0,609.0,
2015-04-29,85.0,285.0,
2015-04-30,119.0,274.0,
2015-05-04,340.0,1102.0,
2015-05-05,420.0,442.0,
2015-05-06,138.0,507.0,
2015-05-07,259.0,820.0,
2015-05-08,147.0,406.0,
2015-05-11,835.0,1935.0,
2015-05-12,126.0,388.0,
2015-05-13,276.0,590.0,
2015-05-14,264.0,344.0,
2015-05-15,216.0,223.0,
2015-05-18,136.0,1026.0,
2015-05-19,201.0,320.0,
2015-05-20,109.0,213.0,
2015-05-21,80.0,342.0,
2015-05-22,75.0,278.0,
2015-05-25,40.0,247.0,
2015-05-26,85.0,447.0,
2015-05-27,137.0,410.0,
2015-05-28,168.0,454.0,
2015-05-29,59.0,236.0,
2015-06-01,88.0,279.0,
2015-06-02,526.0,656.0,
2015-06-03,189.0,651.0,
2015-06-04,43.0,375.0,
2015-06-05,130.0,506.0,
2015-06-08,177.0,505.0,
2015-06-09,70.0,265.0,
2015-06-10,191.0,516.0,
2015-06-11,100.0,251.0,
2015-06-12,88.0,260.0,
2015-06-15,89.0,389.0,
2015-06-16,509.0,822.0,
2015-06-17,379.0,458.0,
2015-06-18,149.0,269.0,
2015-06-19,173.0,354.0,
2015-06-23,288.0,750.0,
2015-06-24,182.0,420.0,
2015-06-25,259.0,749.0,
2015-06-26,131.0,500.0,
2015-06-29,545.0,1041.0,
2015-06-30,92.0,370.0,
2015-07-01,48.0,255.0,
2015-07-02,179.0,651.0,
2015-07-03,119.0,219.0,
2015-07-06,427.0,799.0,
2015-07-07,421.0,770.0,
2015-07-08,297.0,772.0,
2015-07-09,277.0,500.0,
2015-07-10,389.0,537.0,
2015-07-13,372.0,497.0,
2015-07-14,31.0,128.0,
2015-07-15,101.0,239.0,
2015-07-16,50.0,240.0,
2015-07-17,35.0,130.0,
2015-07-20,39.0,164.0,
2015-07-21,154.0,337.0,
2015-07-22,102.0,235.0,
2015-07-23,111.0,357.0,
2015-07-24,277.0,472.0,
2015-07-27,32.0,149.0,
2015-07-28,250.0,197.0,
2015-07-29,21.0,159.0,
2015-07-30,36.0,184.0,
2015-07-31,219.0,237.0,
2015-08-03,457.0,317.0,
2015-08-04,35.0,159.0,
2015-08-05,105.0,138.0,
2015-08-06,39.0,120.0,
2015-08-07,94.0,200.0,
2015-08-10,86.0,111.0,
2015-08-11,93.0,355.0,
2015-08-12,183.0,442.0,
2015-08-13,29.0,271.0,
2015-08-14,65.0,217.0,
2015-08-17,304.0,311.0,
2015-08-18,166.0,161.0,
2015-08-19,59.0,93.0,
2015-08-20,111.0,208.0,
2015-08-21,200.0,250.0,
2015-08-24,146.0,181.0,
2015-08-25,342.0,411.0,
2015-08-26,434.0,557.0,
2015-08-27,109.0,199.0,
2015-08-28,540.0,453.0,
2015-08-31,103.0,153.0,
2015-09-01,208.0,200.0,
2015-09-02,59.0,101.0,
2015-09-07,388.0,399.0,
2015-09-08,316.0,583.0,
2015-09-09,327.0,341.0,
2015-09-10,304.0,546.0,
2015-09-11,145.0,361.0,
2015-09-14,434.0,497.0,
2015-09-15,316.0,363.0,
2015-09-16,251.0,320.0,
2015-09-17,214.0,305.0,
2015-09-18,348.0,519.0,
2015-09-21,136.0,379.0,
2015-09-22,118.0,328.0,
2015-09-23,329.0,650.0,
2015-09-24,124.0,463.0,
2015-09-25,99.0,352.0,
2015-09-28,103.0,261.0,
2015-09-29,337.0,606.0,
2015-09-30,280.0,494.0,
2015-10-08,367.0,470.0,
2015-10-09,340.0,860.0,
2015-10-12,641.0,1449.0,
2015-10-13,278.0,756.0,
2015-10-14,684.0,1335.0,
2015-10-15,541.0,986.0,
2015-10-16,602.0,1575.0,
2015-10-19,557.0,1183.0,
2015-10-20,1283.0,2255.0,
2015-10-21,1096.0,1777.0,
2015-10-22,715.0,1561.0,
2015-10-23,1271.0,1547.0,
2015-10-26,2262.0,3753.0,
2015-10-27,1161.0,2090.0,
2015-10-28,1321.0,2518.0,
2015-10-29,2053.0,3510.0,
2015-10-30,927.0,2039.0,
2015-11-02,1125.0,2326.0,
2015-11-03,607.0,2026.0,
2015-11-04,972.0,2644.0,
2015-11-05,1025.0,1717.0,
2015-11-06,954.0,2500.0,
2015-11-09,3455.0,5112.0,
2015-11-10,1878.0,3439.0,
2015-11-11,1285.0,3108.0,
2015-11-12,1597.0,2843.0,
2015-11-13,462.0,3470.0,
2015-11-16,523.0,3738.0,
2015-11-17,193.0,2295.0,
2015-11-18,388.0,219.0,
2015-11-19,308.0,287.0,
2015-11-20,497.0,570.0,
2015-11-23,488.0,522.0,
2015-11-24,700.0,904.0,
2015-11-25,876.0,1489.0,
2015-11-26,839.0,1140.0,
2015-11-27,680.0,1535.0,
2015-11-30,571.0,1179.0,
2015-12-01,1071.0,1230.0,
2015-12-02,768.0,1480.0,
2015-12-03,769.0,1524.0,
2015-12-04,729.0,1289.0,
2015-12-07,1080.0,1499.0,
2015-12-08,639.0,1146.0,
